,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
0,A,"Agilent Technologies, Inc.",123.41,0.19,0.23,122.57,125.74,129.34,61.13,37688057856.0,122.54813,108.56847,2065166.0,1819819.0,NYSE,123.92,123.18,2.3,53.656525,2021-02-16T21:00:00.000+0000,305389011.0,1612826399
1,AAL,American Airlines Group Inc.,17.77,3.37,0.58,17.24,18.09,30.78,8.25,11043699712.0,16.058437,13.83489,43695766.0,81988301.0,NASDAQ,17.32,17.19,-18.362,,2021-01-28T07:00:01.000+0000,621480006.0,1612826399
2,AAP,"Advance Auto Parts, Inc.",158.44,0.74,1.16,157.56,160.02,177.92,71.33,10750866432.0,160.87125,155.26912,957769.0,1087816.0,NYSE,158.38,157.28,6.869,23.065948,2021-02-16T13:30:00.000+0000,67854497.0,1612826399
3,AAPL,Apple Inc.,136.91,0.11,0.15,134.93,136.95,145.09,53.1525,2298458931200.0,133.31032,120.10845,68005611.0,106825349.0,NASDAQ,136.03,136.76,3.687,37.13317,2021-01-27T16:30:00.000+0000,16788101170.0,1612826399
4,ABBV,AbbVie Inc.,106.84,-1.74,-1.89,105.83,108.98,113.41,62.55,188622798848.0,107.00531,96.95723,9197283.0,7858960.0,NYSE,108.885,108.73,2.72,39.27941,2021-02-03T07:38:05.000+0000,1765469851.0,1612826399
5,ABC,AmerisourceBergen Corporation,108.49,-1.09,-1.2,107.7,110.42,112.88,72.06,22208552960.0,103.844376,100.75956,1105089.0,1180224.0,NYSE,109.7,109.69,-15.76,,2021-02-04T06:30:00.000+0000,204705991.0,1612826399
6,ABMD,"Abiomed, Inc.",325.86,-0.61,-1.99,323.65,331.47,387.4,119.01,14738972672.0,327.73343,292.2957,199866.0,312665.0,NASDAQ,330.4,327.85,4.387,74.27855,2021-01-28T07:00:00.000+0000,45230997.0,1612826399
7,ABT,Abbott Laboratories,124.5,0.38,0.47,123.77,125.8,125.8,61.61,220658810880.0,113.0575,107.84496,3454709.0,5141255.0,NYSE,125.0,124.03,2.503,49.74031,2021-01-27T07:30:09.000+0000,1772359927.0,1612826399
8,ACN,Accenture plc,257.31,1.49,3.77,253.76,257.35,271.18,137.15,170483826688.0,255.70718,239.59044,1508363.0,1956649.0,NYSE,253.92,253.54,8.124,31.672823,2021-03-18T12:30:00.000+0000,662561994.0,1612826399
9,ADBE,Adobe Inc.,493.76,0.33,1.64,489.21,497.86,536.88,255.13,236362924032.0,480.01968,477.16058,1650784.0,2692068.0,NASDAQ,494.26,492.12,10.83,45.591877,2021-03-23T10:59:00.000+0000,478700024.0,1612826399
