,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-11-02,16.230098636534798,3.6924658591889643,6.103762058661784,5.357765358285496,1.7563371467736562,31.720783565815033,13.32456594235682,31.720783565815033,15.498462613746264,4.0227339160700005E10,4.5070936160700005E10,29.513583647307325,6.714555619192915,17.854218259597886,20.340177800334526,3.4355361926634025,3.4355361926634025,7.523025732603469,17.87176065134018,20.00396616248724,22.789249158984454,0.03388270336636111,0.04916377869536388,0.8269961162123283,0.45265346153380503,1.920608126862677,1.3158450834928597,7.467458256029684,1.6530314135395825,0.019327179381517685,0.5704143253429356,0.10817675989160525,0.10817675989160525,0.7700827588328154,8.182022863617217,21.756260621994976,2.946196417936464,0.025087359259163437,51.33593266639483,0.08602933140897291,0.2771171590251329,-22.360059924200762,4.76494E8,-4.764916E9,-7.698327E9,,6.374265E8,2.430945E8,5.98323E8,38.695063398577716,41.58343511276655,112.58114665594506,9.432727793732367,8.777533626315089,3.2421059017586895,0.1164052537204117,0.7459967003762872
1,2018-11-03,16.73984828442621,4.037016440353103,6.593313176578571,5.905258753340712,2.2044407850336096,29.664282050589854,9.229768107334719,29.664282050589854,17.78004751235051,3.3401895357999996E10,3.8917978358E10,22.33595065372414,5.386584063840622,13.676068098860078,15.269542583377714,3.039702759238261,3.039702759238261,6.276139715223913,14.51731102380709,15.93457247229218,17.791197817585036,0.04477087254995645,0.06548984650585349,0.8610096518736793,0.4626572737045227,2.0576272438281435,1.5020758986671294,7.420412557327014,1.6332143487634343,0.021055900944002955,0.47030356445495347,0.1204534730368386,0.1204534730368386,0.8328107604488049,9.58254602237951,24.329250302107692,3.135104913761986,0.02437774776800041,51.90849518541074,0.09881172408154512,0.43739088495029077,-21.24957549334557,7.05988E8,-6.042256E9,-7.349113E9,7871905000.0,6.39717E8,2.60919E8,5.8676E8,37.655037734589364,48.40084314203818,108.84480900977822,9.693258112571653,7.541190944316052,3.353398322994069,0.13609014482360715,0.6880544232378587
2,2017-10-28,14.74575816104697,2.099653261964772,3.212139584434032,2.6228927941426967,3.025189753183725,29.337155824246256,10.406223384752188,29.337155824246256,23.390884340779106,2.84774459586E10,3.52806919586E10,39.157227285740014,5.575610226484448,25.595587563635185,31.345772188478954,2.802473439911667,2.802473439911667,6.907620408367846,17.658728715893243,31.710359196003566,38.83425972939832,0.025538069708121863,0.031902228919010234,1.080520669111178,0.5193510860782694,3.405167779658625,1.4729630177181188,4.206402487641524,1.5298428757842804,0.021143714955173643,0.8279292521646346,0.14320246116350788,0.14320246116350788,0.8295083545974055,5.451263608658586,25.024757714431303,4.619271134455016,0.02039900906568239,37.228372725259135,0.053984960421002606,0.20176899767895698,-26.38729353785392,7.55006E8,-7.37534E9,-8.628416E9,8811328000.0,6.64335E8,2.48774E8,5.68788E8,49.23498723348767,42.21579231118521,98.26831815913431,7.413427331037095,8.646053526828918,3.7143202085632954,0.07156976206362421,0.589246790291335
3,2016-10-29,11.08198914282753,2.7909411276948592,4.148835898631841,3.736195325456053,2.9835587686567164,16.73150523424544,18.597746942371476,16.73150523424544,5.898029384328358,2.1053016576E10,2.1864061576E10,24.432976863371337,6.153317705074137,16.436176717061116,18.251454771486383,4.075604618072804,4.075604618072804,6.390367704065781,17.662191010273833,17.069362887668387,18.954572592236833,0.040928291529598614,0.054790153032747035,0.5429476202073015,0.3518898587978989,0.6551770657127947,6.354128189604743,11.58344693939633,1.4865365153934713,0.024375604234550145,0.5955685742934601,0.14321935787273607,0.14321935787273607,0.2795992812295882,10.05435763793496,26.856276050456447,1.6467420739891834,0.018536515219314615,32.41411015200312,0.14304477425875262,0.15006877641378286,5.822506121735074,4.191929E9,2.937134E9,2.170203E9,5769905000.0,5.58663E8,2.16179E8,4.816575E8,50.95189876451486,52.3977128473769,115.08828656982372,7.163619194780668,6.965952904531641,3.1714782701066246,0.16680753396786213,0.41264057317578773
4,2015-10-31,10.986669225356618,2.2288684193692827,2.90346702488326,2.4110471438623424,2.8284814175142325,16.225161517303142,15.486902705814623,16.225161517303142,2.8796967952408368,1.721943684E10,1.720841984E10,24.709399407069817,5.0128022306243905,18.96835732178304,22.84235716427137,3.394357581048851,3.394357581048851,5.009595038502608,16.341022048636336,18.956221362021065,22.827742618440567,0.040470429229205844,0.04377831905912667,0.3921220337085318,0.28167216969042697,-0.010461683384279082,3.662630742572924,30.737735849056605,1.3026641679031337,0.02851771544928179,0.7046556212134693,0.14225878084196872,0.14225878084196872,0.31435670412158967,5.896323720446869,22.311587425305273,1.4434918160561185,0.020063218103037708,28.52515341526426,0.13967592346648178,0.14391957266784178,5.103822842704536,2.965718E9,2.852916E9,2.090329E9,3710731000.0,5.53122E8,2.17583E8,4.99537E8,49.57141031448357,54.089583528231124,127.99010911441279,7.363115103734618,6.748064529088019,2.8517828645158785,0.1373711082624559,0.49241988102091727
5,2014-11-01,9.146930825843324,2.009355194048436,2.78293714778333,2.214878909305704,1.8175034722776544,15.191484538386629,14.514439885694216,15.191484538386629,2.8977889174475964,1.48820554955E10,1.51856114955E10,23.647834957573256,5.1948463265675855,17.0743705217519,21.453497886661026,3.127864158366606,3.127864158366606,5.300807950752119,16.977520918347953,17.422644160408076,21.89109456182814,0.042287169281843645,0.046612445452159215,0.4417483186374148,0.306397665200614,0.3393757532528224,5.376001331347594,21.63304967801288,1.384990148096358,0.03052165745097157,0.7217711180321617,0.17033670730630315,0.17033670730630315,0.33730970349972084,4.899034921562786,16.102100464833935,0.7979742908050564,0.01773683290089651,26.207145746085317,0.12234250973151711,0.1384383558630399,3.9786466897619692,3.10283E9,2.444057E9,1.710093E9,4140350000.0,5.18161E8,1.99943E8,4.773435E8,50.531342273890466,49.027344297471934,129.80408086334134,7.223239747355682,7.444825030402901,2.811930083956872,0.13226852115546006,0.5680582384776257
6,2013-11-02,8.557523159054208,2.1883299811868224,2.964440169870972,2.5645415465796733,1.2739965492928,15.400083830739888,19.719998830268747,15.400083830739888,2.9221933760718475,1.2587168160699999E10,1.3067320160699999E10,18.68954881192955,4.779291769339507,13.7965004035754,15.9478406791837,2.6557582705077416,2.6557582705077416,4.96160334826929,15.13312838315628,14.322783772257203,16.55618939591091,0.053505839550374766,0.06270441372701158,0.34648120422586326,0.2573234614329925,0.5560590672051011,9.592129525759319,27.786694708877572,1.3546586645325003,0.0322514957150953,0.6027659034250105,0.16122822398544398,0.16122822398544398,0.048993457907313825,7.412979183255603,21.39923135674472,0.8971513073435494,0.021599361200202453,27.536529666807443,0.12958942655592492,0.11097008676430026,11.132801863771798,4.901913E9,4.426912E9,3.830251E9,5978726000.0,4.824305E8,1.904565E8,4.350485E8,45.06134171498609,46.53015368467127,109.86977811018637,8.100069507664296,7.844375552110939,3.3221146549868177,0.14209857590636799,0.3998986232912988
7,2012-11-03,9.041146602133479,2.1797891960463383,2.726400032132708,2.283986196324152,1.770087126499108,13.94211091809172,17.765846278463385,13.94211091809172,2.838456157262829,9.9087969543E9,1.02015619543E10,15.215370394603491,3.6683732118859353,12.164869281510345,14.521234871461942,2.3788578497795747,2.3788578497795747,3.776758850256669,10.923835000712081,12.524292122812573,14.95027881562094,0.0657230139040634,0.06886466673473231,0.3493067464292994,0.2588786777755893,0.3134928325985859,8.943768461507696,31.187949436075996,1.2507631641985395,0.034787371422563496,0.5293027412489482,0.1553402227650379,0.1553402227650379,0.055620231277535,6.162555985958116,20.435949037646775,0.8309602348383973,0.019806437425355646,26.149462936359907,0.1617280975210725,0.12269548896687141,9.563370888435907,4.171106E9,3.852754E9,3.241197E9,5075428000.0,4.89799E8,1.889765E8,4.502415E8,45.92745031545917,44.490767501856496,119.26258226656293,7.947316855016903,8.203949279696499,3.060473730010232,0.15634570753685337,0.442413835808556
8,2011-10-29,9.9972,2.8969,3.0076,2.5968,4.6928,12.676,16.667,12.676,2.9603,10950444734.4,8244358734.4,12.6103,3.6583,12.16,14.0826,2.8801,3.1159,2.7543,6.84,9.155,10.6032,0.0793,0.071,0.2335,0.1679,-2.2451,8.355,56.7791,1.0382,0.0257,0.324,0.1359,0.1689,0.0544,0.1366,0.0411,-1.0404,0.0025,28.7844,0.5704,0.1999,0.2652,3861343000.0,4990348000.0,2904126000.0,3946619000.0,367792500.0,123083500.0,286279500.0,42.4852,13.7858,-106.9794,8.1386,5.8183,10.4559,0.2285,-0.4108
9,2010-10-30,9.2859,2.3945,3.3329,2.9578,3.598,10.759,13.692,10.7594,1.3472,10075424593.0,7788291593.0,14.1423,3.6485,10.1651,11.4273,3.1503,3.4253,2.8203,7.5332,7.8576,8.8542,0.0707,0.0873,0.1252,0.0926,-2.2122,5.407,87.5398,1.3919,0.0249,0.351,0.1414,0.1783,0.0594,0.1126,0.0404,-0.9226,0.0186,24.0198,0.5639,0.2152,0.2332,2835532000.0,4071908000.0,2349885000.0,2759076000.0,344102500.0,120222500.0,265319500.0,51.1738,17.5939,-105.2713,8.0252,6.4047,10.4082,0.2225,-0.3751
