,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,6.189455584288983,3.2093786810002842,2.5350465075346267,2.5350465075346267,0.9673973381713806,12.054380644200435,46.228211863144644,12.054380644200435,33.505713589406845,7.6170934418E9,1.22547814418E10,16.067003967237806,8.331120451189662,20.340889150056615,20.340889150056615,4.277706297984611,4.277706297984611,13.40354573233555,13.727894326150563,32.725494674635215,32.725494674635215,0.062239357259081904,0.04916205936834461,2.8349719680857937,0.7392419010303366,5.19517145891304,0.5196436363636364,2.990942318742706,0.7898870029087733,0.03167717474435775,0.5089572922884811,0.05144625251833655,0.05144625251833655,0.0,,,,0.008909606756688768,29.50354429002701,0.07703877130291578,0.0694246770889911,-33.20643388077282,-1.32098E8,,-4.905188E9,,4.8465E7,,,0.0,0.0,0.0,22.137869249394672,,,0.2662416905296889,0.0
1,2018-12-31,6.238756367649135,4.274357460895898,2.54313320416255,2.54313320416255,0.0,10.903077002040215,39.71362580678275,10.903077002040215,28.464572132472764,6.9809108214E9,1.12169358214E10,10.478276655554339,7.178978847811108,17.611307157128874,17.611307157128874,4.10782203882621,4.10782203882621,11.535191762116803,10.28713327989655,28.2978693134,28.2978693134,0.09543554086920569,0.05678170229375679,2.642423675385529,0.7254575279757493,3.884889282226003,0.0,3.506763559516333,0.594974385607308,0.03402192150513238,0.3564911058843307,0.04758075297456834,0.04758075297456834,0.0,0.0,-0.1217,0.3133,0.008792587488816445,32.381817304373826,0.11668615924920277,0.10762949426203924,-28.810548804742535,-2.3761E7,6190004000.0,-4.351368E9,10193074000.0,5.563E7,0.0,0.0,0.0,0.0,0.0,17.479956857810535,0.0,0.0,0.3920322180698227,0.0
2,2017-12-31,6.431791866839813,2.020009851397427,2.521311643200297,2.521311643200297,0.4912009109344114,10.639150988658098,38.887687672319494,10.639150988658098,26.623177651401264,5.5938778643E9,9.4842918643E9,17.714814596198547,5.563628416598951,14.192652501528649,14.192652501528649,3.36343567622527,3.36343567622527,9.433004618190896,16.761644980586144,24.063317419235343,24.063317419235343,0.056449927520810274,0.07045899277054046,2.655149524033998,0.7264133810601674,6.875551620354416,0.9635950656945298,0.9967525627521003,1.248167993565018,0.040289939370745084,0.7137288060448296,0.043420920455483535,0.043420920455483535,0.0,0.0,-0.0145,0.0399,0.007834404343583934,21.989810610163648,0.03233398668156383,0.05194471495499289,-27.757335772726982,-2901000.0,6079040000.0,-4.33911E9,10025410000.0,3.35235E7,0.0,0.0,0.0,0.0,0.0,88.06490321450468,0.0,0.0,0.18986570014382398,0.0
3,2016-12-31,6.383638566419446,2.7590207755078495,2.4212921712040307,2.4212921712040307,0.3925872270049551,11.499304491637874,39.95370542496522,11.499304491637874,26.373670681598195,5.7880427026E9,9.6447287026E9,13.447742158871772,5.812139834353229,15.323470848026602,15.323470848026602,3.226508179427762,3.226508179427762,9.684882224301957,16.48891425284055,25.533799024155204,25.533799024155204,0.07436192545826571,0.06525936649194479,2.4744453852856036,0.7121842800479654,6.59350477499564,0.5890375385917498,1.25666916171476,0.8775911340349899,0.03563881792152968,0.47926163425570967,0.045124084454146896,0.045124084454146896,0.0,0.2906,0.1099,-0.3285,0.0076607615172505205,26.718036041543016,0.040267946081194744,0.06905544169587496,-28.061813706322397,-4.2729E7,6232818000.0,-4.377671E9,9986300000.0,0.0,18061500.0,0.0,0.0,37.98546933123739,0.0,0.0,9.608937481255282,0.0,0.23992936072909182,0.0
4,2015-12-31,6.323810874034168,1.6027504075990644,2.3192290094537205,2.3192290094537205,0.32729721543785484,10.455099660387814,39.59474664415474,10.455099660387814,26.42044246247833,4.9728797305E9,8.8222507305E9,19.99469153029633,5.067593044501738,13.817738511104753,13.817738511104752,3.065154904397276,3.065154904397276,8.99027904586726,15.540284745341745,24.513674224973673,24.513674224973673,0.0500132746976757,0.0723707428097833,2.7871228329052613,0.7359473024452028,6.780619057181409,0.3993630823668174,1.2830958760047073,1.4470306783000282,0.037017183196886086,0.7401471593422058,0.0440003668565489,0.0440003668565489,0.0,0.4883,0.1791,-0.5737,0.006766465235246762,19.417275631482052,0.042581716959843405,0.04047886508791877,-28.81234976832907,-7.6386E7,6118681000.0,-4.471014E9,9830077000.0,0.0,39021000.0,0.0,0.0,36.68656595982671,0.0,0.0,9.949145973479501,0.0,0.15329843422454884,0.0
5,2014-12-31,6.758924463914199,2.123394145798859,2.206991259209415,2.206991259209415,0.1989233653073696,8.429987846661952,41.86397874195786,8.429987846661952,30.6816168746009,4.6065178783E9,8.8250158783E9,14.895821419956086,4.6796942574030105,14.331592781808451,14.331592781808453,3.7520457413855595,3.7520457413855595,8.965204785531354,16.08138877038187,27.45599543997959,27.45599543997959,0.06713292082437895,0.06977591501688017,3.966078184624532,0.7986338589883465,7.687159694736612,0.12269037102286443,1.187259866679338,1.0393695695054794,0.03299715837770615,0.4915197785603187,0.04489705525299102,0.04489705525299102,0.0,0.0616,0.0201,-0.0701,0.005872833497398825,20.068736979741505,0.04476277266090839,0.05072126944471962,-33.235067529988534,-2.0716E8,6097028000.0,-4.840322E9,10111751000.0,0.0,42540000.0,0.0,0.0,40.98521092050702,0.0,0.0,8.905651375271356,0.0,0.251885789685885,0.0
6,2013-12-31,6.704152356305621,1.426722921584957,2.2409922156224407,2.2409922156224407,0.3837195696911715,6.658753811316599,41.84301161118032,6.658753811316599,2.3253195311478345,3.1074984371000004E9,3.1525474371000004E9,14.991067765449372,3.1902765425495327,9.544031367400091,9.544031367400093,3.2120274462844347,3.2120274462844347,3.2365255659599637,5.6073598707614165,9.682389946743818,9.682389946743818,0.06670638914092214,0.1047775265508596,5.283910292653833,0.840863418886001,0.0801275666291959,0.2925259268089164,1.0505003206101717,1.570727000820107,0.0450690492159025,0.6756331709199672,0.046925577971629884,0.046925577971629884,0.0,0.1695,0.0566,-0.189,0.005795372531063505,14.620342867574042,0.04236402483329157,0.03409704193480522,-34.7843035700766,-1.4244E8,6079413000.0,-5.05306E9,10284810000.0,2.93875E7,36954000.0,0.0,1.1785036337858412,41.93489267233118,0.0,309.7147853736089,8.70396886077709,0.0,0.21426275276317192,0.0
7,2012-12-31,7.682961652005146,0.984956759047881,2.3559589229545135,2.3559589229545135,0.6277039537771697,6.807196662675957,47.601335524505686,6.807196662675957,1.8349407714215602,2.75950908E9,2.67509608E9,20.833401884399347,2.670845037296856,8.709829275913984,8.709829275913984,3.0144567605210693,3.0144567605210693,2.5891442580650157,4.67244470993457,8.443396806459045,8.443396806459045,0.0479998420588636,0.11481281300947921,5.992795695988202,0.8569956790567034,-0.1474395922630588,1.1756546408576234,0.8111492496788391,2.391941474904874,0.037690037243870926,0.7852116929395422,0.04800826947813437,0.04800826947813437,0.0,0.0,-0.1222,0.3195,0.004714492976654017,12.28242130726244,0.03206635762319338,0.020691788333140667,-39.59257021542397,2.7986E7,6401380000.0,-5.298645E9,10584465000.0,7.92635E7,31677000.0,0.0,36.35067174991798,27.901435763565168,0.0,10.041079914866323,13.081764074543859,0.0,0.14469344839828496,0.0
8,2011-12-31,7.9026,-0.4934,2.2369,2.768,2.3771,7.851,59.392,7.8505,41.2502,2721576585.53,10758614995.8,0.0,2.9765,10.5154,8.3836,2.9842,2.9842,10.6757,12.0792,26.8836,36.018,-0.0382,0.1177,5.2545,0.6945,,,0.7685,-2.5089,0.0213,-0.558,0.0557,0.0,0.0,0.0,-0.0673,0.1556,0.0059,0.0,,,-0.675,,6871862000.0,,11369600000.0,45825500.0,29965000.0,0.0,16.6845,13.0163,0.0,19.953,5.356,0.0,-0.0628,0.5316
9,2010-12-31,8.494,-0.6356,2.2818,2.633,2.7516,9.269,65.384,9.2694,45.9156,2932679766.16,10758614995.8,0.0,3.0595,11.389,9.8136,2.7952,2.7952,10.6757,0.0,26.8836,36.018,-0.0431,0.1013,4.9535,0.7022,0.0,,0.6797,-2.0548,0.012,-0.277,0.0557,0.0,0.0,0.0,-0.0414,0.0907,0.0076,0.0,,,-0.675,,7378566000.0,,12249589000.0,66710500.0,28571000.0,0.0,18.9842,10.4043,0.0,14.3687,5.1197,0.0,-0.0686,0.3513
