,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,22.202402135231317,10.695284697508896,9.274466192170818,8.515124555160142,11.9461743772242,50.1414590747331,40.76023131672598,50.1414590747331,11.23532028469751,2.254744E10,2.230984E10,9.377964480306119,4.5175292019795235,10.814638591778982,11.779040852575488,2.000340673184407,2.000340673184407,4.469924465548677,8.471876661350345,10.700676291428845,11.654915891756348,0.10663294813069688,0.08489655588394958,0.5565038414450221,0.35753451204359177,-0.09022556390977443,4.250523319099054,27.254498714652957,0.8671546811961902,,-0.0,0.25266975215884274,0.25266975215884274,0.4777367395095927,-12.213825424721733,-29.239015817223198,-2.2073813708260106,0.04748452244996093,109.84642255866657,0.12968569384047998,0.2623950932565018,-10.129448398576512,3.8821E9,2.8901E9,-1.1964E9,,1.08275E9,7.42E7,5.5005E8,90.91542946444672,68.46641318124209,580.6692015209126,4.014720077220077,5.331081081081081,0.628585086042065,0.21330222324739614,-0.7593416370106761
1,2018-12-31,18.401781737193765,0.34565701559020046,1.8975501113585747,0.9487750556792873,6.082405345211582,40.82538975501114,23.39955456570156,40.82538975501114,14.302449888641425,2.723634E10,2.898354E10,350.9837628865979,6.5928398528272645,63.935070422535205,127.87014084507042,2.9716801414028997,2.9716801414028997,7.015767815646785,36.130067314884066,68.03647887323943,136.07295774647886,0.002849134648781738,0.007820434023073584,0.5200702650213305,0.34213567424400115,2.1780104712041886,2.8833049403747872,2.745417515274949,5.489690721649485,0.0,-0.0,0.26912277304415183,0.26912277304415183,0.6229372878071189,-2.0,-19.39530516431925,-1.9028169014084506,0.04913826491092177,17.818827223418428,0.0211320044834965,0.014771948526612351,-10.132850779510022,2.211E9,4.866E8,-1.3816E9,5920200000.0,9.223E8,7.44E7,4.725E8,81.48709817970565,72.55142933475821,460.7600854929201,4.479236690881492,5.030913978494624,0.7921693121693122,0.008466716855967617,-0.9487750556792873
2,2017-12-31,15.754658385093167,1.9667258207630878,4.949423247559894,3.3642413487133984,2.5927240461401952,39.4547471162378,20.37045252883762,39.4547471162378,14.028393966282165,2.7579944E10,3.0059144E10,62.21507782540041,7.766591760299626,24.72207242739333,36.37075563761044,3.10127447121926,3.10127447121926,8.464741629354284,27.398727554461765,26.944374327716027,39.640174073585655,0.016073274115422424,0.027494617102920876,0.527397645365508,0.3452916448874721,2.2597757724911127,3.1012073490813648,6.376016260162602,2.5165801939995487,0.0,-0.0,0.30818619582664525,0.30818619582664525,0.6619746306125904,-3.1223061852784775,-9.93870696893367,-1.3901483347327177,0.0684576610064487,41.784268246154724,0.04967222978750356,0.0965479690732876,-10.8297471162378,2.0014E9,-9.87E7,-1.7363E9,6285600000.0,8.244E8,7.26E7,4.6645E8,74.67334065500832,56.89564068692206,369.9823866138265,4.887955953200275,6.415254237288136,0.9865334491746307,0.049847634683068895,-1.5851818988464952
3,2016-12-31,13.628369421122404,1.7649138311975254,4.800265134776845,3.3300927971718957,4.2686699072028285,38.418029164825455,17.291206363234643,38.418029164825455,14.220061864781265,2.8977715000000004E10,3.1132715000000004E10,72.55311717576365,9.395841574527415,26.67560986836049,38.452381900212316,3.3330705083965952,3.3330705083965952,10.094586751402355,29.10687640239342,28.65940808248182,41.31198911889597,0.013783005319777627,0.02600619130942519,0.5243846330802853,0.34399758545235043,2.0147718773373224,3.132442284325638,6.876288659793815,2.7198297446169253,0.0,-0.0,0.3090042475924905,0.3090042475924905,0.7047460952237229,-3.265103697024346,-9.269912834385332,-1.1914637811842501,0.06225479070069064,39.058949018219664,0.05366049879324215,0.10207002300025556,-11.449403446752099,1.755E9,-6.46E8,-1.981E9,5412400000.0,7.8615E8,6.92E7,4.2375E8,76.92681819655654,90.43747580332946,529.9070847851335,4.744769230769231,4.0359375,0.6888,0.0459397285484242,-1.4701723376049491
4,2015-12-31,12.059513830678961,0.668656481408585,3.1268912116258285,1.8008548948053331,4.6778908272473405,38.246196736950814,15.477402712878531,38.246196736950814,15.993789740336123,3.151110269E10,3.390683469E10,218.24360349066734,12.100819489817196,46.66935627866747,81.03373593338546,3.8155427846506003,3.8155427846506003,13.020822853811778,47.58807238385026,50.21754281330393,87.19458394194372,0.0045820357802274034,0.012340539264067245,0.5859656145775515,0.3694693057602218,3.36239784310891,3.4056692713654586,11.2405956769437,4.6763791252553935,0.0,-0.0,0.3312517016781955,0.3312517016781955,0.7448379627208401,-2.3580735851362915,-9.094406901007561,-0.5819093020413152,0.0872230800749756,23.987606489420237,0.04332091351606431,0.04320211173753367,-13.474962141034487,1.707099E9,-1.497183E9,-2.422551E9,5193000000.0,7.27566E8,6.588E7,3.81187E8,74.6851650527045,89.82148449733792,453.92107735671783,4.887182076151582,4.063615760111576,0.8041045419734091,0.017482953560257555,-1.3260363168204952
5,2014-12-31,11.07986111111111,3.2584325396825395,3.1750992063492065,2.4970238095238093,4.682539682539683,16.378968253968253,16.671626984126984,16.378968253968253,0.5951488095238096,3.6941184E10,3.6114184E10,56.23562794945959,16.538113444061423,57.711582565224184,73.38336114421931,11.187517867958814,11.187517867958814,16.167875721896404,39.17016167343831,56.41959693797844,71.74053237981724,0.01778232121634217,0.013627067286202846,0.2725620835857056,0.21418372203712518,-0.8969806351967826,4.606260296540363,291.31656606304495,0.9744253311006241,0.0,-0.0,0.2821327841697632,0.2821327841697632,0.20014278914802475,-4.682516459400146,-16.340160936356988,-0.34308705193855155,0.05124278103594932,34.65284505370436,0.24164283727399166,0.19544778339779828,7.315228174603175,2.189E9,2.461E9,1.896E9,1974703000.0,6.7765E8,5.92E7,3.2425E8,70.75480145050813,92.35192639447958,369.4077055779183,5.158660508083141,3.952272727272727,0.9880681818181818,0.19894003634161114,-0.6780753968253969
6,2013-12-31,7.7681522283425135,1.2663995993990986,2.4902353530295445,2.343515272909364,2.6539809714571856,11.927891837756635,12.28843264897346,11.927891837756635,0.5063194792188283,3.23514E10,3.19184E10,127.92170818505338,20.854380197253917,65.05409209732555,69.12692307692308,13.581612090680101,13.581612090680101,20.575259459807903,57.08766758717395,64.18339030766137,68.20170940170941,0.007817281477772213,0.014466143659934346,0.3929471032745592,0.2820976491862568,-0.7744423299803975,3.7577319587628866,128.40710116731518,1.966389877421906,0.0,-0.0,0.3156707277767034,0.3156707277767034,0.2603978300180832,-16.97269624573379,-52.94539249146758,-0.9795221843003413,0.049122026687294526,18.435651399197766,0.1929861111111111,0.10305623471882641,4.742113169754632,1.605E9,1.518E9,1.251E9,1486848000.0,6.7215E8,4.82E7,2.8775E8,99.2909172951718,47.68408551068884,223.24821852731594,3.6760663507109004,7.654545454545454,1.6349514563106795,0.10617128463476071,-0.14672008012018026
7,2012-12-31,5.713350125944585,1.2836272040302268,2.068513853904282,1.958690176322418,4.987405541561713,9.929471032745592,8.629722921914357,9.929471032745592,0.5461057934508816,1.8926975E10,1.8037975E10,74.28169152276294,16.688982453046467,46.09589624939113,48.680491255144034,9.602727042110603,9.602727042110603,15.90510096111454,42.0659768377946,43.930772040915734,46.393968621399175,0.013462267478030697,0.020542109872285455,0.32623033992897005,0.24598316755929608,-2.073217942080494,4.155555555555556,54.62550661983248,1.6114599686028257,0.0,-0.0,0.33921170972577375,0.33921170972577375,0.34468247895944915,-18.834862385321102,-52.022935779816514,-1.0963302752293578,0.047626311612732564,16.934554338198655,0.1793868677905945,0.1487448920023351,3.1057934508816123,1.136E9,1.07E9,8.53E8,512647000.0,6.0915E8,4.77E7,2.8375E8,95.26496781588925,60.73692551505547,274.7622820919176,3.831418918918919,6.0095238095238095,1.328421052631579,0.12927447995941146,-0.10982367758186398
8,2011-12-31,4.084462982273201,0.9139728884254432,1.408237747653806,1.2935349322210636,2.820646506777894,5.912408759124087,6.376433785192909,5.912408759124087,0.00410844629822732,1.4386918000000002E10,1.3845918000000002E10,82.07026811180833,18.364715343375035,53.26515364679749,57.988383716243455,12.686876543209879,12.686876543209879,17.674135818228237,55.81051078649512,51.26219178082192,55.80781136638453,0.012184680554931918,0.01724483311853171,0.2292768959435626,0.1863799283154122,-2.1806778239979363,4.091304347826087,292.9263959390863,1.5407872219053051,0.0,-0.0,0.3934133265254021,0.3934133265254021,0.12329749103942653,-12.277272727272727,-35.60909090909091,-0.8,0.05713939239213684,11.026562451661533,0.19813390557939914,0.14333605887162715,2.704640250260688,7.11E8,9.63E8,6.81E8,454858000.0,5.9265E8,4.52E7,2.7675E8,122.53637988256318,62.72824919441461,317.561761546724,2.9787072243346007,5.81875,1.1493827160493828,0.15458553791887125,-0.11470281543274244
9,2010-12-31,2.907039226222461,0.5212251477700162,0.8645889306824288,0.7958087049973133,1.4347125201504567,4.6211714132187,5.201504567436862,4.6211714132187,0.025276732939279956,7.661737E9,7.398737E9,78.98697938144329,14.162175600739372,47.61800497203232,51.73353814989872,8.908996511627908,8.908996511627908,13.676038817005546,44.704279050657384,45.98344934742076,49.95771100607698,0.012660314495263933,0.019329820378851427,0.17674418604651163,0.15019762845849802,-1.589085460170147,4.654676258992806,213.9744318181818,1.6587628865979382,0.0,-0.0,0.41922365988909427,0.41922365988909427,0.043478260869565216,-12.5703125,-42.265625,-1.234375,0.05977449168207024,7.361731585457565,0.1725521191294387,0.10020661157024793,2.0069854916711445,5.08E8,8.16E8,4.95E8,567454000.0,5.5015E8,4.52E7,2.6725E8,120.09242144177449,90.6832298136646,351.3975155279503,3.039325842696629,4.025,1.038709677419355,0.1127906976744186,-0.06878022568511553
