,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,17.99086151034311,5.356045051567191,5.93332463000985,5.399969142762197,10.350158440047947,40.98528347120189,23.129825893969784,40.98528347120189,5.957725584210589,2.360431626E10,2.323075326E10,52.303518230868946,15.571238755795267,47.21467599852781,51.87807422482835,6.8351363287956515,6.8351363287956515,15.324807611624047,39.10802464584228,46.46745435415733,51.05704942461033,0.019119172740655357,0.01927596609824444,0.4012035748175917,0.2863278270395651,-0.628878058634883,2.237649969790258,148.81248194163535,1.1077809415127577,,0.0,0.34382396635116486,0.34382396635116486,0.5972429197044692,11.12452158433467,33.73146417445483,1.7573431241655542,0.07664794061846095,70.27928611097094,0.12429330265578473,0.23156443442851748,-2.231414448308193,8.6034E8,5.63388E8,1.69972E8,,3.755895E8,1.11255E7,,104.37408139893871,31.38675551653004,0.0,3.4970367653334993,11.62910896628899,,0.13068215217617296,0.533355487247653
1,2018-12-31,15.405380300810975,4.9941647910637945,5.792778631226704,5.533623902921177,9.25462946423255,31.55236802305503,17.651352220356543,31.55236802305503,0.0,1.368675927E10,1.290962027E10,32.6360876780924,10.580069872823577,28.136756188365606,29.4544773659009,5.16569786080413,5.16569786080413,9.979329788286659,24.092798766024234,26.539141286538648,27.782041792650777,0.03064092760944717,0.033950695766127845,0.23264995865330942,0.1887396799229875,-1.4503488986225084,2.498588897548817,0.0,1.159909388971684,0.0,0.0,0.31970353329684703,0.31970353329684703,0.546156356897994,22.35258707839353,59.44472015439757,2.7228655454461905,0.06442770609352244,59.54409141759695,0.17385616575532514,0.2829338358170792,4.754170983530421,7.8641E8,8.6582E8,6.9476E8,180331000.0,3.177E8,7953000.0,0.0,89.63920299064033,18.62170831061359,0.0,4.071879131255902,19.600779580032693,0.0,0.15828177420517545,0.25915472830552677
2,2017-12-31,12.887113474843508,3.050442415399821,5.064691485856827,4.8393773238574855,10.372064291429378,26.425271803078083,16.536981691532922,26.425271803078083,0.0,1.374085984E10,1.285935884E10,53.002147879853894,12.545866094498972,31.922971113145216,33.40925684859065,6.11838550630034,6.11838550630034,11.741026103629308,28.0523353533767,29.875054804640854,31.265992623191966,0.01886715991711913,0.029931824120840462,0.3098149415517018,0.23653336950384193,-1.9229700309332776,2.0873547579257683,0.0,1.6603137499951783,0.0,0.0,0.30918968272083996,0.30918968272083996,0.522221236371894,22.47835396104235,57.19619823489477,3.5342837746096403,0.04853138552841817,42.587525448163944,0.16747375775266066,0.18446186083411303,3.2885730926719066,6.61713E8,7.09653E8,5.74474E8,-84609000.0,2.211795E8,6997500.0,0.0,41.54351517918283,14.68614315015583,0.0,8.78596812103418,24.853359814630917,0.0,0.11543655778195243,0.2253141619993411
3,2016-12-31,11.332099006041707,3.0453414653719606,4.0907861098054505,3.9481353250713656,9.429179038600433,25.31790615291137,14.796932142570535,25.31790615291137,0.002533619177548236,8.15397996E9,7.33150096E9,30.69606514177295,8.249133717430562,22.85135362514608,23.676999976770116,3.6922484598613026,3.6922484598613026,7.417056709139929,16.44464797041018,20.546373901078113,21.288738617357367,0.03257746539764613,0.04223508049926578,0.2681215628473944,0.21143206669032888,-1.8448306413445514,2.1691726952327954,1702.4524886877828,1.3432930777454863,0.0,0.0,0.272660134653225,0.272660134653225,0.5391251500610956,28.676926786144822,79.43944386401994,5.592461625010046,0.03373614644929259,41.65078104954071,0.16637378362148486,0.20580897688991642,3.56693455008197,6.30301E8,6.98571E8,5.7728E8,-70887000.0,2.12446E8,7674000.0,0.0,39.581654383311495,18.379238730763994,0.0,9.221443764460034,19.859364435429345,0.0,0.1202840964406438,0.14265078473408463
4,2015-12-31,10.526378669286855,2.81954198814216,4.103605363941894,3.9233371668471766,8.755686068712944,24.50203771730999,13.141914449369704,24.50203771730999,0.0036288116479271113,7.89838459E9,7.11421659E9,31.27812970010415,8.377999953328178,21.49085795990999,22.478312785661025,3.5992924758946185,3.5992924758946185,7.546214745537803,16.4929479145657,19.357201018711756,20.246619281799088,0.0319712210924386,0.04448732471762305,0.24401677522196,0.1961523189093829,-1.8179432431743205,2.223349981204017,1088.2430769230768,1.455415589198522,0.0,0.0,0.2690025913468321,0.2690025913468321,0.5688482085816937,22.763889749148344,58.3928770517188,4.810777330442861,0.03601261412055968,39.42590256579378,0.15748758325696713,0.21454575731752595,3.5486567814115517,5.9228E8,6.41526E8,5.40949E8,-91311000.0,2.046395E8,6409000.0,0.0,35.45608977112775,12.059580565855779,0.0,10.294423394009543,30.26639260020555,0.0,0.11507377552317757,0.18026819709471756
5,2014-12-31,10.16673726742481,2.766354937165325,4.185071741231929,3.9024188905905484,8.559679363941477,24.085731043696438,13.062324176958084,24.085731043696438,0.008461229322124106,7.42704489E9,6.63898089E9,29.161117004986455,7.934698997137884,19.27565523076404,20.671794151701718,3.3492859259139007,3.3492859259139007,7.092769168640447,15.462000237555138,17.230366668656423,18.478364998163013,0.03429223921117299,0.048375094714150836,0.2510041709113096,0.20064215351773168,-1.8353789470252042,2.38764865114739,446.02053915275997,1.5128469904589894,0.0,0.0,0.26321631672793666,0.26321631672793666,0.566487257322457,14.806402028974368,35.96898897129462,3.1481381854513315,0.03938052671895182,38.71908860277099,0.15047613603094667,0.21178121899969152,3.3464514972791553,6.45394E8,6.46007E8,5.53891E8,-71754000.0,2.094645E8,5687000.0,0.0,39.47409833753729,8.140671247701876,0.0,9.246569658892215,44.836597486115174,0.0,0.11485451415805449,0.28265285064138074
6,2013-12-31,9.291732746437086,2.646718667400287,3.592398398981562,3.281170771703833,8.010335415520386,23.046962488267468,12.679634484469906,23.046962488267468,0.01261179618301669,7.30219698E9,6.55971098E9,29.765158258161556,8.478504725634536,21.9296389905791,24.009722590297073,3.418237871481094,3.418237871481094,7.6164119777999675,16.29482760505162,19.699837469180107,21.568418564124485,0.033596327334352465,0.04164979400487222,0.27437664014350405,0.21530262836001707,-1.844392444431196,2.4239801467199174,275.33190761334475,1.357302702107799,0.0,0.0,0.2541706337226854,0.2541706337226854,0.5682868899368274,11.542671935662785,29.8551026067665,2.7974556295063784,0.04098413951652231,37.04691055274195,0.14104728804430947,0.20873777320963033,2.48388462741798,6.27165E8,5.89152E8,4.8146E8,-7629000.0,2.077725E8,7946000.0,0.0,41.46648514966444,19.75387205846263,0.0,8.802289335172977,18.477390099508753,0.0,0.11484023843695904,0.31122762727772924
7,2012-12-31,8.615858003498088,2.1969186586340177,3.2218587376649177,2.962989354580985,6.2264148906307355,20.948489559715835,10.850521474379738,20.948489559715835,0.6025566280149425,6.82902006E9,6.30546606E9,33.5606417243701,8.557476222340851,22.884305614664143,24.88365335704239,3.519585495165416,3.519585495165416,7.901408314098179,16.60753555014157,21.129856273980867,22.97592192043376,0.02979680806502126,0.04018702501805215,0.34382780727220813,0.2558570416623041,-1.3789530519523276,1.913246485555744,110.57985719654265,1.4665352879601736,0.0,0.0,0.25710948875839895,0.25710948875839895,0.6145622276758953,12.445885640405388,33.28264586895775,3.5626642198773824,0.04061938452516109,32.17915273338691,0.1381450026525448,0.20247125115796366,-0.18918291550603528,4.35972E8,3.37871E8,2.46233E8,4056000.0,2.07149E8,6438500.0,0.0,44.18229914613455,12.882106711774993,0.0,8.261226940516368,28.33387489845654,0.0,0.10487241346787672,0.25886938308393254
8,2011-12-31,7.505959617889709,1.9613004776378637,3.339785062961355,3.1002822405557966,5.121884498480243,19.045516717325228,9.11501302648719,19.045516717325228,1.4210160660008684,5.5695752E9,5.2253192E9,30.82648512522485,8.05493275715201,18.102961376320042,19.50145029026814,3.174500377036295,3.174500377036295,7.557056558039711,15.761986522439475,16.984015523579526,18.296063697925057,0.03243963740717604,0.0512782375215977,0.39555866633456316,0.28344108769966553,-1.0384357825008899,1.686681055997593,79.69957983193277,1.7028421198284212,0.0,0.0,0.26083919421388996,0.26083919421388996,0.6570613485156036,13.944658477994833,31.33975433984499,2.989394008067806,0.03339074899233349,28.99076703499534,0.13213737840961845,0.21517253699347963,-1.7166901867129831,3.01282E8,1.45678E8,4.6036E7,56668000.0,2.01151E8,7470000.0,0.0,44.65944704526292,21.428193321794076,0.0,8.17296281411787,17.03363389151281,0.0,0.10297964118000107,0.23950282240555798
9,2010-12-31,6.3984385338097125,1.6886330554452824,1.8402805346036788,1.6830311852145914,5.210169379383353,16.870991575140046,8.970413744431212,16.870991575140046,1.8086211459573904,4.7019654E9,4.3890114E9,30.70530914505133,8.103539594234071,28.175052132019847,30.80750995911521,3.073322618239147,3.073322618239147,7.564183194424338,15.669780145236956,26.299773495362047,28.757019865814026,0.03256765777136514,0.032459617844061546,0.3901795442795058,0.28066845457845213,-1.1173177576099453,2.2951321422492286,48.85650623885918,1.089804874226158,0.0,0.0,0.26729813386277307,0.26729813386277307,0.617526832781977,11.702945301542776,40.68976157082749,4.2654978962131835,0.03277804203806727,25.317988983491716,0.12077507825637687,0.18824472354952163,-0.7339773278637908,4.03264E8,2.16526E8,1.17686E8,189150000.0,1.97152E8,5097000.0,0.0,48.1880820907355,8.108377362979411,0.0,7.574486971959689,45.01517179830433,0.0,0.10009091925180842,0.15724934938908738
