,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2020-08-29,536.6171197960917,73.61818181818182,115.55259133389974,96.10756159728122,74.37616822429906,-37.297238742565845,599.8822005097707,-37.297238742565845,235.17638062871708,2.7201883788859997E10,3.1188285788859997E10,15.696666644850579,2.153416311874469,10.00029549887725,12.023612292257859,-30.982456019759056,-30.982456019759056,2.4689967753129816,15.475377112777984,11.465826279272733,13.785657614600957,0.06370779367529336,0.08316968109857563,-17.428530587931117,1.060869716536586,1.9780206802891211,1.0841593731492987,-12.018387890537618,1.5696202823819427,,-0.0,0.34460777169541373,0.34460777169541373,0.020982230014243056,5.942525822744988,27.596621196497544,0.8917716762500656,0.0035465577134582444,248.55479339371595,0.2969836677832262,0.12272106382823532,-469.0234706881903,5.28781E8,-1.180622E9,-8.489977E9,,3.368845E8,5.010618E9,4.3961975E9,10.540124906912755,321.1038293432043,278.5682164138692,34.62957063825821,1.1367039774847352,1.3102715187640752,-1.9738239156606607,19.445029736618523
1,2019-08-31,475.1959865416967,64.776936633822,85.2564687975647,65.38744692782184,7.061603781142353,-68.6474004646319,384.028358567652,-68.6474004646319,216.23584074341105,2.7078622919999996E10,3.2108666919999996E10,16.74392239526941,2.2824687722921846,12.721849911182124,16.58758754103462,-15.799869953689088,-15.799869953689088,2.7064533444461834,12.38048610945097,15.085022698945224,19.66884818828972,0.05972316261347017,0.06028604204958589,-6.774080127152244,1.1731877594315956,1.9394884884846288,0.9122925193677012,11.530369406867846,1.3161546875782593,0.0,-0.0,0.34970953096337304,0.34970953096337304,0.031150334486570366,-4.290924301985687,-23.9164257635319,-0.7458058663441185,0.00364598255373536,316.31042817842166,0.5055319939084423,0.1686774822448708,-362.1790134583033,-4.83456E8,-2.022112E9,-6.581079E9,9111171000.0,3.08995E8,4.864912E9,4.319113E9,9.506542328167425,322.9271131469707,286.69762011019975,38.39461156329391,1.1302860154510503,1.2731183462900832,-0.9436182025158546,-19.869021869742852
2,2018-08-25,416.05773081201335,49.59347423062662,77.13355580274379,57.76955876900259,8.076529477196885,-56.372080088987765,334.9850203930293,-56.372080088987765,192.3469781238413,2.063205E10,2.5420156E10,15.425416586918036,1.8386871420631015,9.917862492380877,13.242268355535302,-13.570547668143295,-13.570547668143295,2.265393598136792,11.751828063766451,12.21951341446297,16.3154183608304,0.064828070889708,0.07551576309673542,-7.147893090758409,1.1626573502885424,2.2135583457115104,0.9218856793660206,9.967941519695268,1.5553166419445907,0.0,-0.0,0.3402352554928551,0.3402352554928551,0.03342619755257848,-3.9833488751491153,-21.486149274194013,-0.6607677976130069,0.003892139765193662,250.80463368417017,0.41934474662361265,0.14804684153470468,-314.5744901742677,-3.92812E8,-1.832789E9,-6.231466E9,8803760000.0,2.835655E8,4.637142E9,4.1313915E9,8.39666638059787,306.7122657213734,274.31842016446075,43.46963228685654,1.1900404411331138,1.3305705091957492,-0.8797524262425552,-19.363997033741192
3,2017-08-26,382.9995075624341,45.05342947590573,55.24488216672529,35.764333450580374,10.315511783327471,-50.24189236721773,310.07368976433344,-50.24189236721773,184.3322898346817,1.65883364E10,2.13763044E10,12.950845402613384,1.5234484339510148,10.561702317313252,16.314577784771533,-11.613416065926572,-11.613416065926572,1.9631683778633877,8.877685787723502,13.610175141919202,21.023529573752434,0.07721503646381321,0.06129487463251589,-7.48272899941682,1.1542560239815607,1.9884669805541746,0.967470371678163,13.055181417067828,1.226208144626812,0.0,-0.0,0.3064192561152522,0.3064192561152522,0.04799098380404461,-2.835899695214433,-19.66061188230366,-0.5833014343699895,0.0035122727501488704,225.6774578381856,0.4629082581874182,0.14529910457784365,-289.95058916637356,-1.55046E8,-1.872763E9,-6.076903E9,8889561000.0,2.94864E8,4.516926E9,4.1005995E9,9.410468729164133,295.5227327106172,275.1885763137942,38.786590817609614,1.2350995696747855,1.3263631975180354,-0.8967303449999545,-19.480548716144916
4,2016-08-27,355.8391381444679,41.5205259460002,54.90514905149052,38.21703636789454,6.347954096824919,-59.80588176252133,272.57248486065106,-59.80588176252133,169.79758439559706,2.268216432E10,2.741654932E10,18.277225124435237,2.1326490502343245,13.821654491609081,19.857112746647243,-12.689052943210157,-12.689052943210157,2.5777909481259114,11.611907353947698,16.70660994722923,24.001832598100798,0.05471290051918643,0.05035978859357809,-5.810967375239016,1.207858403934888,2.0051845094092853,0.9038984546896587,13.648525115758375,1.3223615982826848,0.0,-0.0,0.3056640687437263,0.3056640687437263,0.052660374030194,-3.2900754023228167,-21.322910798310314,-0.5962356979175647,0.0037444728478001773,236.37123867445084,0.5270270857894439,0.15232838328207265,-273.20663120211447,-4.50747E8,-2.240406E9,-6.147752E9,8251965000.0,2.983375E8,4.480383E9,3.9755145E9,9.872733994529355,297.39497785929416,263.70900388705655,36.970508898776416,1.2273240208269143,1.3841013944155096,-0.6942548913645472,-16.68811268359597
5,2015-08-29,322.79277566539923,36.76302281368821,49.84214195183777,34.297813688212926,5.5547845373891,-53.909695817490494,242.10177439797212,-53.909695817490494,151.39046261089987,2.3064048E10,2.7513615E10,19.878670034932398,2.2639911890640736,14.662291213450832,21.307480606297446,-13.556003032814345,-13.556003032814345,2.7007653617136564,12.362680394583242,17.490972766999487,25.41816675119799,0.050305176263941175,0.04693187423127111,-5.762193853261157,1.2099872518451131,1.9993219617009461,0.8424360257532931,12.76445522100296,1.3557683274423158,0.0,-0.0,0.3311934224243031,0.3311934224243031,0.05697323084947341,-3.206451967980692,-20.765952068881873,-0.5502049618919684,0.004024112280536431,211.16906967496774,0.5762103050737046,0.1518494563086364,-244.98442648922688,-7.42579E8,-2.163007E9,-5.833445E9,7447156000.0,2.784335E8,4.36454E9,3.870374E9,8.880952240722308,290.19169768835684,256.9583075890854,41.09919635941131,1.2577892576099177,1.4204639010297708,-0.6819371220002468,-15.544328263624841
6,2014-08-30,284.8167854029519,32.164006372681634,40.31622929629964,26.813358583581326,3.7424474704662276,-48.754020500796585,212.67923167102535,-48.754020500796585,135.69633570805902,1.689431328E10,2.111362328E10,15.789077831775701,1.7830409794195248,12.596416104980612,18.939813094170404,-10.416371712189408,-10.416371712189408,2.2283507419525064,10.128041023279463,15.742337667760214,23.669981255605382,0.0633349211812414,0.052798831489408726,-5.6351809606017635,1.2157251360087258,2.0239702207063948,0.7884873709013235,10.74074530516432,1.2534579439252336,0.0,-0.0,0.32770448548812664,0.32770448548812664,0.058886125114726184,-2.985752448797863,-21.09305431878896,-0.5594390026714159,0.0041572559366754615,187.8371744006844,0.6148290110185434,0.15123247399366802,-219.2705984909971,-9.605E8,-2.0645E9,-5.5591E9,6786861000.0,2.549475E8,4.237056E9,3.7296065E9,7.73915567282322,290.1669603524229,252.45297356828192,47.16276754604281,1.2578964867560678,1.4458138275851087,-0.6597200813860288,-13.502870712718309
7,2013-08-31,254.50101549675875,28.280332749074923,39.36819408507915,27.837409231282866,3.9560136883398713,-46.94430069832791,181.51684611746376,-46.94430069832791,116.8596945163175,1.519418439E10,1.906526039E10,14.94784392216276,1.6610149832796395,10.737856023734091,15.185680408970976,-9.004926981797752,-9.004926981797752,2.084197634771354,9.523321148577265,13.473577512824988,19.05458981970097,0.06689928027127226,0.0658515109674801,-5.084639004242826,1.2448196765886221,1.9336478592176147,0.7862545123106628,9.480742804284011,1.392069691484338,0.0,-0.0,0.32444135192778817,0.32444135192778817,0.05336974029209431,-3.4141816523545607,-22.071439084475607,-0.5483181365227735,0.004078368696249152,172.8323175782823,0.6511706652260664,0.15580004475603362,-191.35802520657708,-8.91137E8,-2.055148E9,-5.301395E9,6399919000.0,2.403165E8,4.0862235E9,3.5900635E9,6.848610499227661,273.96442718243907,236.97891682807247,53.295482352392824,1.332289756570981,1.5402214040196938,-0.6024231339776296,-11.53078485379629
8,2012-08-25,222.34856315898284,24.03349183378127,31.631176348976638,21.860140583005997,2.664358073185859,-40.00413479429398,154.09861484391152,-40.00413479429398,101.99317758941493,1.42904328E10,1.79555138E10,15.366056774193549,1.6609057182705718,11.675190196078432,16.893761437522166,-9.231545736434109,-9.231545736434109,2.08687980009298,9.742758280158007,14.669537418300653,21.226520628915946,0.06507850483016861,0.059193448640687776,-5.047609819121447,1.2470792900919305,1.988692646611972,0.8148867490972754,9.123037631547996,1.3161290322580645,0.0,-0.0,0.32577870757787075,0.32577870757787075,0.048295454545454544,-3.2372388257074847,-22.75588468659085,-0.5601692673895795,0.003877615062761506,147.0794973990711,0.6240961685823755,0.15596176421264465,-162.17567707256563,-6.767E8,-1.8507E9,-4.8348E9,5972492000.0,2.351975E8,3.895806E9,3.4735565E9,6.846931659693166,256.0511744966443,229.91850431447747,53.30855018587361,1.42549629275293,1.5875190258751903,-0.6007751937984496,-9.771035765970643
9,2011-08-27,189.3647963970726,19.914618127228373,30.294145243009947,22.750516044285984,2.289360105085382,-29.419215612685306,130.58266091199098,-29.419215612685306,74.60785325577031,1.394577984E10,1.719986184E10,16.426124664310954,1.727459412857674,10.798126085946574,14.378574945870708,-11.119263147823315,-11.119263147823315,2.1305415384615385,12.745623354912144,13.317740487804878,17.733644540674295,0.060878632083725764,0.06954792138752135,-5.67995535002392,1.2136772522829495,2.411374226364089,0.8138972281325599,-0.0,1.5212014134275618,0.0,-0.0,0.32515793385358605,0.32515793385358605,0.051553768570260325,-4.0158582089552235,-25.10261194029851,-0.6100746268656716,0.0032980304719435155,114.8134574076903,0.0,0.15250583797377404,-133.41210827547383,-6.385E8,-1.5568E9,-4.3314E9,5390137000.0,2.248475E8,3.810406E9,3.3926065E9,6.361389817911557,254.40149215983814,227.64959534648457,57.3773987206823,1.4347400123371676,1.603341308138356,-0.6769255302184659,-7.543629198723964
