,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-04-30,6.967850845581086,1.7503476101264162,1.6769797462289018,1.4233365596117804,0.643540977615341,3.4524820525487514,7.841976538302902,3.4524820525487514,5.299255998083329,2.39517263642118E10,2.60847263642118E10,28.684702232588982,7.205693852049278,29.93965795526475,35.27500200914845,14.542638958234244,14.542638958234244,7.847390602951805,21.701103464402497,32.60590795526475,38.41638639795552,0.03486178771846862,0.02834868725849125,2.120218579234973,0.6795096322241682,1.7745424292845258,3.867709815078236,12.840909090909092,0.9580838323353293,0.012942699632006316,0.3712574850299401,0.3119735258724428,0.3119735258724428,0.2720373613543491,-6.6115702479338845,-27.47107438016529,-0.5950413223140496,0.00421179302045728,11.660552451229258,0.25473399458972046,0.223202352312216,-4.125894231893795,2.016E9,2.49E8,-7.73E8,5171000000.0,6.24E8,5.625E8,1.4495E9,66.87274368231047,171.46804835924007,479.10189982728843,5.458128078817734,2.1286764705882355,0.7618421052631579,0.5069823922282939,-0.2536431866171214
1,2018-04-30,6.754153836841611,1.49098777740623,1.3579010022960505,1.0917274520756914,0.4969959258020767,2.7365968132030667,7.367600690865094,2.7365968132030667,5.456557779517361,2.6795630122134E10,2.9112630122134E10,37.3718690685272,8.249886121346675,41.03465562348239,51.039295470731425,20.361421065451363,20.361421065451363,8.963248190312191,26.251244474422002,44.582894520879016,55.45262880406476,0.026758094388224008,0.019592746936984106,2.7811550151975686,0.7355305466237942,2.0892696122633003,3.1120584652862364,15.367647058823529,0.9107391910739191,0.02884798739483565,1.0781032078103208,0.3602216748768473,0.3602216748768473,0.2879823151125402,-5.1015625,-25.375,-0.5,0.005849753694581281,9.581504527156932,0.25150421179302046,0.20237087214225233,-4.683510769404716,1.734E9,-1.17E8,-1.105E9,5039000000.0,6.39E8,5.81E8,1.379E9,71.8088054187192,202.73900573613767,481.19980879541106,5.082942097026604,1.8003442340791738,0.7585206671501088,0.5448328267477204,-0.26617355022035905
2,2017-04-30,6.239115566983441,1.3941109934241556,1.3670206452709208,1.1273752577615368,0.379264874145286,2.854905920763966,6.732993452546258,2.854905920763966,4.601191440180172,1.84465181906616E10,2.04135181906616E10,27.57327083805919,6.161161720327855,28.119692363813414,34.09707613800665,13.464611818001167,13.464611818001167,6.818142348250367,19.44144589586819,31.11816797356951,37.732935657415155,0.036267006764380924,0.029328027891674262,2.375912408759124,0.7037837837837838,1.8733333333333333,2.4237113402061854,16.8135593220339,0.9805680119581465,0.014853751649387705,0.40956651718983555,0.343687374749499,0.343687374749499,0.3014054054054054,-5.7043478260869565,-26.034782608695654,-0.5043478260869565,0.004676018704074816,9.463152429814127,0.2714090287277702,0.20705663881151345,-4.209944296659417,1.381E9,-2.4E7,-9.04E8,4228000000.0,5.98E8,5.41E8,1.3245E9,67.90414161656646,187.9393627954779,476.4131551901336,5.375224416517056,1.9421157684630739,0.7661417322834646,0.48832116788321167,-0.239645387509384
3,2016-04-30,6.1764970112172906,2.133480838772693,1.0477450417215475,0.8277985634975585,0.5258720342991736,3.1232399907806436,5.9945412883229,3.1232399907806436,3.093247289204645,1.7964320374232998E10,1.9202320374232998E10,16.836289010527647,5.815577978061832,34.283054149299616,43.39207819863043,11.500845310008321,11.500845310008321,6.216354928531239,12.06934027293086,36.64564956914694,46.382416362881635,0.05939551164598713,0.02304568118222931,1.67797695262484,0.6265837915371743,0.7781269641734758,2.8230088495575223,33.369565217391305,0.49109653233364575,0.01480712848906521,0.2492970946579194,0.3577209452897378,0.3577209452897378,0.2832895051398518,-4.763636363636364,-28.081818181818182,-0.509090909090909,0.004855940433797346,12.24442261572304,0.4525353773584906,0.35590393595730485,-2.8228130966610583,1.442E9,3.77E8,-3.88E8,3445000000.0,5.99E8,5.41E8,1.2165E9,66.05212042732275,193.50793650793648,407.10052910052906,5.525939177101968,1.8862275449101797,0.896584440227704,0.6830985915492958,-0.21994647822398897
4,2015-04-30,5.953129175257492,1.2992789903880424,1.1549146581227043,0.9250714449107845,0.702826354449672,3.61860596007196,5.641606142474394,3.61860596007196,2.298432132119198,1.752496035759E10,1.833796035759E10,25.6212870725,5.591882692275048,28.8239479565625,35.98554488211499,9.199454255952757,9.199454255952757,5.85129558314933,16.979592923694444,30.161119009194078,37.654949399568785,0.03903004549187251,0.027788935898453087,1.1984251968503936,0.5451289398280802,0.7527777777777778,2.3528183716075155,38.111111111111114,0.8888888888888888,0.014607736324443512,0.3742690058479532,0.3618379068283344,0.3618379068283344,0.29083094555873923,-5.024793388429752,-25.90082644628099,-0.4214876033057851,0.004786215698787492,10.285208831828603,0.31857585139318884,0.23030303030303031,-1.8981060396860399,1.296E9,6.87E8,-2.9E7,2825000000.0,6.11E8,5.39E8,1.166E9,67.8988513082323,190.75184016824397,365.7676130389064,5.375643224699829,1.9134808853118712,0.9979013641133263,0.3590551181102362,-0.22984321321191975
5,2014-04-30,7.400408824764349,1.2359020313025102,1.2171478274891185,0.9808448594403838,0.8195587066452155,3.8108542148811853,5.2624295900377,3.8108542148811853,1.93355841316068,1.6886667285435999E10,1.7454667285435997E10,25.62468480339302,4.279439251250887,26.019518159377505,32.28808276373996,8.310367758580709,8.310367758580709,4.42338248490522,17.06223586064125,26.894710763383664,33.374124828749515,0.0390248702636759,0.030971179283615324,1.0191929133858268,0.5047526200341214,0.555229716520039,3.8805704099821745,37.42307692307692,0.9848254931714719,0.01379786763495673,0.3535660091047041,0.2843385707045109,0.2843385707045109,0.3161101632951499,-5.150793650793651,-31.317460317460316,-0.3968253968253968,0.003294475418144957,10.294243802548648,0.274703557312253,0.23485388453314326,-1.4370408672011359,1.616E9,7.35E8,1.06E8,2813000000.0,6.04E8,5.275E8,1.1305E9,52.631779016725794,92.61777301927195,172.33940042826552,6.934973637961336,3.940928270042194,2.1179138321995463,0.3243110236220472,-0.2363029680487349
6,2013-04-30,7.085618556888958,1.1066597693238305,1.0055436482688611,0.8257816552822491,0.3819942350965506,3.048463797731296,4.383571099808946,3.048463797731296,1.9436765491677428,1.2470462541917599E10,1.3268462541917599E10,21.100613438100844,3.2955767816906976,23.22246283411099,28.277692838815415,7.659989276362162,7.659989276362162,3.5064647309507397,13.937460653274789,24.708496353664056,30.087216648339226,0.04739198710660825,0.03536356398310362,1.2272727272727273,0.5510204081632653,0.8382352941176471,3.8498942917547567,25.02777777777778,0.9086294416243654,0.08524142520190282,1.7986463620981388,0.2795983086680761,0.2795983086680761,0.3543849972421401,-5.59375,-39.416666666666664,-0.53125,0.0029069767441860465,8.712420758420745,0.2857595940374247,0.25245621529261,-1.815408877088754,1.348E9,3.43E8,-1.77E8,2666000000.0,5.935E8,5.16E8,1.103E9,52.85940803382664,90.00273373428104,165.0382722799344,6.905109489051095,4.0554323725055434,2.211608222490931,0.363022113022113,-0.17976199298661205
7,2012-04-30,6.786246654532029,0.9632940049183538,0.9689273031927302,0.8543835716137447,0.6346849389130674,3.8850980432282145,4.1160632724776445,3.8850980432282145,1.0158714554791997,9.7932858004235E9,9.9652858004235E9,19.09022573181969,2.70981898185487,18.979236047332364,21.523705055875823,4.733342581161673,4.733342581161673,2.7574116769295793,11.863435476694644,19.312569380665696,21.901727033897803,0.052382827424255894,0.04646040249129909,0.680521991300145,0.40494679321253957,0.20476190476190476,4.329207920792079,25.516129032258064,1.0058479532163742,0.019605268743581154,0.3742690058479532,0.2780852241283896,0.2780852241283896,0.36957146965775095,-8.459016393442623,-59.24590163934426,-0.8032786885245902,0.0024903154399557276,9.176386119008928,0.25740318906605925,0.23403284671532848,-0.6717708192193783,1.345E9,7.84E8,3.41E8,1960000000.0,5.57E8,4.835E8,1.0455E9,47.97315993359159,77.4546454095657,142.869708631116,7.608421052631579,4.712435233160622,2.5547752808988764,0.24794586756887385,-0.11454373157898555
8,2011-04-30,6.252247785476885,1.0506127301095118,0.9679596307127846,0.9128575644482997,1.0414290523987644,3.7836752168279624,4.439389805375333,3.7836752168279624,1.4473476072138032,7.7274053200876E9,7.9194053200876E9,13.509449860293007,2.270095569943478,14.663008197509676,15.548099235588731,3.7511676311104853,3.7511676311104853,2.326499800260752,8.664557242984245,15.027334573221252,15.9344171430334,0.07402225925862468,0.06431654344674208,0.8019417475728156,0.44504310344827586,0.2100656455142232,2.794908062234795,29.586206896551722,0.9213286713286714,0.04218751139564974,0.5699300699300699,0.27614571092831963,0.27614571092831963,0.3488685344827586,-17.566666666666666,-113.46666666666667,-1.8666666666666667,0.0026439482961222094,9.457351128169282,0.2855241264559068,0.23665701282581714,-0.7154084936672288,1.269E9,7.65E8,3.24E8,1902000000.0,5.675E8,4.965E8,1.013E9,53.184488836662744,89.51190476190476,140.56845238095238,6.862903225806452,4.077669902912621,2.596599690880989,0.27766990291262134,-0.05510206626448489
9,2010-04-30,5.856732879876123,0.8151497405655236,0.989435653915836,0.9258939146735347,0.42119095726325495,3.4403313104046043,3.7180994848066646,3.4403313104046043,1.3252991327680006,5.492381923465899E9,5.959381923465899E9,12.232476444244766,1.7025362440997829,10.077764997185138,10.769376320521372,2.89835457702686,2.89835457702686,1.8472975584209235,7.71940663661386,10.934645731130091,11.685062595031175,0.08174959539533698,0.09285588786552754,0.7852242744063325,0.4398462902749039,0.6049222797927462,2.7967032967032965,23.0,1.2138084632516704,0.03168024409529763,0.38752783964365256,0.27557346559206447,0.27557346559206447,0.3946201596216376,-15.571428571428571,-92.17142857142858,-1.6857142857142857,0.0024798512089274642,7.943466903094305,0.25132181882270005,0.21923828125,-1.1201500889285703,9.81E8,5.6E8,3.9E7,1969000000.0,5.285E8,4.615E8,1.015E9,47.2938623682579,77.29411764705883,147.13003095975233,7.717703349282297,4.722222222222222,2.4807987711213517,0.23693931398416887,-0.0635417392423014
