,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,349.7052133141451,112.92419107748016,112.92419107748016,104.38234065270879,146.51130402488278,137.71412654937097,383.80298036302867,137.71412654937097,206.44352629868624,8.065338138E10,8.296938138E10,16.578290108941417,5.353337407407407,16.578290108941417,17.93493026017345,13.594030234282824,13.594030234282824,5.507061023496615,14.129663041553133,17.054343551901336,18.449940266844564,0.06031985165108524,0.055757116726604376,2.6072813079386483,0.7227829174843473,0.3944141689373297,1.8324636600819977,20.093984962406015,1.0,,0.0,0.05290057082171778,0.05290057082171778,0.2274086533968788,13.220108695652174,40.94021739130435,1.4320652173913044,0.021571750962431965,591.52621891334,0.333312546769768,0.2942243725430904,-160.1364839143958,4.467E9,1.066E9,-5.636E9,,1.6015E9,1.1865E9,,40.700915969733174,,,8.967857142857143,0.0,,0.8199898870723075,8.541850424771367
1,2018-12-31,306.17965687307674,84.26421616153101,112.50684989250938,103.19099607975383,55.30497829110989,185.15786367660075,372.04400792479873,185.15786367660075,187.96105045736206,8.62900402E10,9.23150402E10,21.583301700850424,5.939976609072762,16.165237954289996,17.624599714052287,9.822429163346614,9.822429163346614,6.3547215667377985,15.845355338139376,17.293937841888347,18.855196119281047,0.046332114236284715,0.05673887726384441,1.5824701195219124,0.6127738352360382,1.0341572262272571,2.3648382559774963,19.855018587360593,1.335167583791896,0.0,0.0,0.04811729882288153,0.04811729882288153,0.2219332657469035,12.076923076923077,32.866515837104075,1.0972850678733033,0.02278515867006264,592.4939667196438,0.2791657955258206,0.22648991615680944,-136.48674282342031,4.852E9,3.75E9,-5.495E9,20122000000.0,1.523E9,1.134E9,0.0,38.266331658291456,2434.764705882353,0.0,9.538411030860145,0.14991181657848324,0.0,0.45509391007398975,9.315853812755554
2,2017-12-31,258.8292852185982,47.77656447728293,95.15524349920399,89.28095276972691,51.875821529166835,229.8362656651835,419.16906151773685,229.8362656651835,199.50757235579866,9.414344082E10,1.0112253482E11,40.21909111764744,7.42392808594724,20.19363231429358,21.522283761420006,8.360429954075263,8.360429954075263,7.9742828585131775,20.30651278523188,21.690637914421938,23.117785690787706,0.02486381398015276,0.04646347065605372,1.2602052750662087,0.5575623103655013,1.4014785308991833,2.5829462403955783,17.867798532144768,1.9916719533998501,0.0,0.0,0.09048904501997543,0.09048904501997543,0.1930943073434116,16.19859279720644,44.06136794009833,1.5351227393547715,0.020603446929843998,497.0590621141896,0.20671026053145766,0.11397922428791014,-119.92973119157448,5.536937E9,6.346104E9,-5.15586E9,24020000000.0,1.3704005E9,9.007615E8,0.0,35.05200620893391,972.4946614671686,0.0,10.413098691822391,0.37532339709642965,0.0,0.20787217517222442,5.874290729477079
3,2016-12-31,217.0698914954234,43.13889394031238,79.30122648562364,74.85821664545068,42.049564567295064,198.42278394051445,312.1412378008123,198.42278394051445,148.43417995191044,7.929992915909999E10,8.435711015909999E10,37.143050125878986,7.3815400604914485,20.205363409990632,21.404598877755607,8.075232431374209,8.075232431374209,7.852281769097028,25.623480538457798,21.493916640978906,22.76963074985262,0.026922937039660665,0.046718932025361815,1.0202328031509116,0.5050075424771232,1.536119227988749,1.8895217006510021,13.979379509379509,1.838276767024811,0.0,0.0,0.08295015380239013,0.08295015380239013,0.22132148675236366,17.848537216504692,48.85649577741497,1.7548262987234469,0.023245449178749412,438.85548556945923,0.1711578998325295,0.1382031231895119,-102.5194429290174,2.542849E9,5.429351E9,-4.617312E9,17675231000.0,1.1915575E9,7.76554E8,0.0,29.222917217024733,357.1548443431688,0.0,12.490197241066602,1.0219656985788865,0.0,0.21740897433051376,4.4430098401729605
4,2015-12-31,181.07552021986652,50.0855908912446,60.89970553592462,57.4855908912446,29.000098154691795,172.6633097762073,233.17711032587357,172.6633097762073,124.0414605418139,5.42495718E10,5.89307498E10,21.263001614825036,5.881358223943724,17.487276672820304,18.525859845727034,6.167899835699495,6.167899835699495,6.388858722372441,16.343929193663527,18.996248119498517,20.12445029839676,0.047030048631646525,0.053978601173032666,0.9806305951393837,0.495110293431761,1.2982838676682755,2.468708617323579,20.339058472561145,1.2159126897027468,0.0,0.0,0.0833306681806902,0.0833306681806902,0.31816016405887865,17.837627576689762,53.037328580053476,1.993841819279533,0.02700925315701334,441.1107997386093,0.20392046562021215,0.21479634438066475,-107.82721338829997,2.113927E9,3.252936E9,-5.071869E9,15119910000.0,1.0840845E9,7.28421E8,0.0,25.52981536075452,186.39838337182448,0.0,14.297009000742442,1.9581714894592401,0.0,0.29007662922807187,3.4141146446800157
5,2014-12-31,161.41127320701324,46.304143324219424,55.723542570887744,53.20917382076824,60.202500908204435,163.7959886044244,177.42161717749184,163.7959886044244,76.00818339993499,5.279681348E10,5.353511348E10,21.801072809654823,6.254086099087524,18.115861867823774,18.971916448099154,6.163032493048076,6.163032493048076,6.341541978763017,16.023238354406285,18.369190429443897,19.237215904456264,0.04586930233805467,0.05270948787570655,0.7440290268334553,0.4266150479068292,0.2209756570606257,3.8169625743936013,34.784466854549365,1.2034245441215516,0.0,0.0,0.07862843878520787,0.07862843878520787,0.3789171130967421,22.162040698381798,64.19554538264995,2.0362878695705073,0.02242272568811241,413.0977378007634,0.22663586757254783,0.2609836617479197,-30.594357660465384,3.887383E9,2.905459E9,-1.106495E9,8442894000.0,1.083447E9,7.0774E8,0.0,27.839625367109175,119.7660172456201,0.0,13.110808611355285,3.047609066363507,0.0,0.282694000742877,2.5143687501195005
6,2013-12-31,133.40087188751866,37.16642447568926,45.193543319456445,43.53528787997801,25.331749273427068,135.68708271149163,150.35274134003612,135.68708271149163,4.7866035660985,5.907184E10,5.794231E10,31.21096571338902,8.695595340471929,25.66738332067457,26.645051784152486,8.549082026227078,8.549082026227078,8.529324308370622,22.337007831519216,25.176589746575615,26.135563924255894,0.03204002109973212,0.03753042058618793,0.5115585575063798,0.33843118744291234,-0.43543863639430147,5.414125616521138,28.96437704858985,1.215977699146652,0.0,0.0,0.07195480374356757,0.07195480374356757,0.2669259109614092,27.253668067973237,80.44651548345077,2.1504055894369114,0.02091735599721255,336.84949683541646,0.2661910917423752,0.2471948575359466,71.08543123085383,6.099196E9,4.121832E9,3.94621E9,6876859000.0,1.029481E9,6.906725E8,0.0,28.796896533146008,83.79362272836963,0.0,12.6749769573216,4.3559400836887745,0.0,0.2739127685036562,1.6582554394784386
7,2012-12-31,105.55690208667737,28.482463884430178,35.82965489566613,34.72295345104334,30.825621990369182,78.18970706260032,117.15403290529694,78.18970706260032,12.782162921348315,3.46432856E10,3.36819356E10,24.404138729724437,6.584979155879654,19.399851938961223,20.018170429540874,8.889789028669673,8.889789028669673,6.402246207723463,17.362126758922578,18.86150670586588,19.462666879310664,0.0409766560940744,0.04995461515925037,0.6858568505058411,0.4068298268029399,-0.49554992200894243,3.887441969288362,29.482356921887085,1.2579548960738705,0.0,0.0,0.07015930184552009,0.07015930184552009,0.1112349617382235,32.37517676492984,95.37974545850103,1.9974074476957104,0.013692378343403746,223.84883050790214,0.3582199037747728,0.2431197900583957,55.90010032102729,4.220649E9,3.16619E9,3.009608E9,4291236000.0,9.45256E8,6.59324E8,0.0,25.497624386138185,57.24789874923022,0.0,14.315059100111016,6.3757798622243405,0.0,0.36427382777667294,1.106701444622793
8,2011-12-31,87.71921698151206,21.27464051234543,27.023240826519515,26.080053973496597,12.74491481048858,51.84466508237,65.76984734361784,51.84466508237,12.218975309139244,2.593974614E10,2.588191014E10,24.555526552697867,5.95547951722032,19.331878191579744,20.0310168272999,10.076446615481132,10.076446615481132,5.942201009732276,17.52899394522255,19.288775282975557,19.986355099194657,0.040724030000086966,0.04992257800098887,0.5424304518324434,0.3516725510625282,-0.039170481944030555,2.773421547154182,44.10081649380537,1.2702090458749815,0.0,0.0,0.06574096395223632,0.06574096395223632,0.17753548455664042,28.650993957252364,93.00301069758504,1.6569085900967266,0.015197412073165412,157.53404004367852,0.48830157567194077,0.32347103378840175,29.395955008659925,1.961046E9,1.86936E9,1.670468E9,2098331000.0,8.937265E8,6.404335E8,0.0,22.161154235572056,42.0202197957248,0.0,16.470261256253472,8.686294402418515,0.0,0.4103535142631283,0.9431868530229186
9,2010-12-31,64.32916275675112,11.000750703784798,16.208883328120113,15.737754144510479,7.485496819935356,37.81328328641435,45.10539047023251,37.81328328641435,0.6288603899489105,2.039574105E10,2.003698705E10,38.66190694183012,6.611464874931319,26.239315281031576,27.024821718183553,11.247634773698863,11.247634773698863,6.495171504470965,23.279792274454717,25.77777484024768,26.549464492039263,0.0258652528832729,0.037003019314171964,0.6025452536099212,0.3759926605832923,-0.4168150918493371,4.154492665036675,26.275614480363345,1.4734342923109294,0.0,0.0,0.06401753052363039,0.06401753052363039,0.2556558898234073,34.40432877439915,136.54251316779533,3.271190191652282,0.022171185174259825,96.74412804569755,0.32314845047920043,0.2438899339768445,14.418110728808259,1.486296E9,1.070412E9,8.64847E8,1808287000.0,8.42713E8,6.121555E8,0.0,19.217930535948433,28.03177304168431,0.0,18.992679743390838,13.020938756076225,0.0,0.29092291776041507,0.471129183609634
