,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,34.65397369994745,1.7094430115191088,4.675296434331415,2.8692064680974445,5.430350768041269,8.906620920441435,33.038157425808365,8.906620920441435,23.572796298421636,2.40567455732E10,3.00757455732E10,42.50308405159011,2.0966311289175525,15.540533316020671,25.322890077052634,8.157594294065785,8.157594294065785,2.621208434129336,18.680587312546585,19.42877621007752,31.658679550736842,0.02352770445519208,0.039489963308184585,4.886741268226517,0.8301267281105991,3.738509316770186,0.8757396449704142,-77.66666666666667,2.734982332155477,0.0075654456021995746,0.3215547703180212,0.03634303643019,0.03634303643019,0.36987327188940095,2.588628762541806,19.187290969899667,1.1337792642140467,0.00322468188948928,18.508663376800506,0.07909700415853348,0.05174147545479477,-36.170122802036836,-6.93E8,-3.472E9,-9.527E9,,,3.1155E9,1.2725E9,0.0,124.37683364120396,50.52808866673911,,2.9346301020408165,7.223704866562009,0.19192946761614108,1.8060899662339702
1,2018-12-31,33.74459100453601,1.3167206116080232,4.54181603034838,2.1751992482511397,2.091091543985429,10.029118667269922,28.68652768593603,10.029118667269922,19.475283936008537,1.73931307812E10,2.34011307812E10,38.31086075154185,1.4948973597937258,11.106724636781609,23.190841041600002,5.029823823366107,5.029823823366107,2.011270372256124,14.29513181502749,14.943250818135377,31.201507708266668,0.026102258742901105,0.04312047149157671,3.78716020821284,0.7911078893318836,3.670128283445327,0.9621489621489622,-66.78571428571429,3.449339207048458,0.007876672792461346,0.30176211453744495,0.041082939406961755,0.041082939406961755,0.40250090612540773,1.9191176470588236,14.258578431372548,0.8602941176470589,0.006446067898581865,17.237308765372415,0.07504615137651496,0.04590031341623698,-34.047668766459005,-1.55E8,-3.205E9,-9.156E9,11804000000.0,1.3115E9,3.095E9,1.271E9,0.0,121.09282881337765,49.72826669525137,9.08984375,3.01421647819063,7.339889850511408,0.13128976286871025,2.36661678209724
2,2017-12-31,31.355900750565993,1.0677507858246091,4.219614068044845,2.6322626324339296,1.2790169840893713,11.251352531911188,27.90426786269981,11.251352531911188,19.85616768826245,1.28469562206E10,1.93699562206E10,34.35015032245989,1.1697128490030047,8.692121935453315,13.933791996312365,3.259821421111393,3.259821421111393,1.7636307220795775,12.65183293311561,13.105518417185385,21.00862930650759,0.029111954114103212,0.07176797244171967,3.356508500380614,0.77045838429728,4.260613977792293,0.9150231312393474,-50.125,3.9518716577540105,0.01004128898588052,0.3449197860962567,0.04679959938086133,0.04679959938086133,0.4307181548139088,2.658273381294964,19.753597122302157,1.3111510791366907,0.00418829099517436,16.441013089819076,0.06139947940591028,0.038264784121137714,-34.30791762902226,-3.49E8,-3.454E9,-9.47E9,12190000000.0,1.343E9,2.9285E9,1.3985E9,0.0,115.65102672937937,63.8969829069634,8.177959791511542,3.156046343229544,5.712319790301442,0.0948997716315656,1.5873514356109162
3,2016-12-31,57.249906805416025,1.661706819316236,1.2257457146287065,-2.6031300743661188,3.7720112970790605,21.70328108118354,57.77432378641697,21.70328108118354,47.59557973349508,5.8431595677E9,1.27781595677E10,22.21733675931559,0.6448691720229556,30.119379214948452,-14.182426135194174,1.7010653763318777,1.7010653763318777,1.4102372329433839,13.949955859934498,65.86680189536082,-31.014950407038835,0.04500989523781271,-0.0705097978630374,3.708296943231441,0.7876089779261732,7.570960698689956,1.2303805995284607,463.0,0.7376425855513308,0.014204643744252681,0.3155893536121673,0.05650590442556009,0.05650590442556009,0.434613244296049,0.3201320132013201,14.952145214521453,0.7475247524752475,0.0016554464187175809,28.48597951480946,0.03506513177824901,0.028762029746281715,-72.24633697897909,6.84E8,-3.594E9,-9.085E9,13110000000.0,1.2505E9,2.564E9,1.342E9,0.0,101.70572916666667,70.68873355263158,7.824697754749568,3.588785046728972,5.16348195329087,0.07656477438136827,3.8288757889948255
4,2015-12-31,58.24471959213401,2.0458849235251275,7.33211944646759,3.487254187909687,1.6314639475600874,9.113619810633649,71.20903131828113,9.113619810633649,41.13619810633649,4.36693634E9,9.53123634E9,15.546231185475259,0.5460718194322871,4.337872593622728,9.120585505430242,3.4899195556621114,3.4899195556621114,1.191851486807553,10.700837925227349,9.46780206615675,19.90650864661654,0.06432427178455273,0.10964208376804503,6.813473987053464,0.8720159558146671,5.79802402604693,1.0197982816585731,2.3303812090874088,3.5838376646493413,0.016441732695375175,0.2556069775720897,0.05643366262348381,0.05643366262348381,0.0,1.9069899602197387,15.148702405758666,0.5408221254025384,0.003088658246842566,20.4822335405491,0.07926238311024962,0.028730694487061472,-57.19227967953387,4.24E7,-1.0436E9,-6.3417E9,7856000000.0,1.04845E9,2.2979E9,1.0847E9,0.0,84.7935854372088,50.758633499992264,10.607507627006234,4.304570895522388,7.190894924309884,0.22448653400463517,3.8448652585579026
5,2014-12-31,61.873682386576945,3.393305801830941,7.3100470730932505,4.488549397868715,1.381869639298813,7.458774944407543,54.661102607791605,7.458774944407543,24.609408842810524,4.1126903423999996E9,7.1368903424E9,8.750404983829787,0.4798938555892649,4.061916387555556,6.615232977963648,3.9809218298325426,3.9809218298325426,0.8327760026137689,6.375069533184457,7.048780585086419,11.479637031365609,0.1142804249458098,0.15116625572087225,6.328429000096796,0.8635451063267732,2.701384546672622,1.1528303767191548,4.345077720207254,2.154255319148936,0.017676993390553987,0.15468085106382978,0.054434072345390896,0.054434072345390896,0.0,2.5908393039918116,21.92937563971341,0.7187819856704196,0.0029288214702450407,23.863630205853234,0.15071348980985586,0.06207898560295866,-42.150272908424064,3.067E8,-1.3585E9,-4.2244E9,5714900000.0,1.068E9,2.2175E9,1.14385E9,0.0,70.84812051857753,53.75468965017745,10.807061790668348,5.151865671641791,6.790105242451067,0.4549414383893137,2.8214976752245358
6,2013-12-31,58.02333787848681,2.7873895973085383,5.748819744694846,3.156711866961759,2.850427906785526,8.221702993634501,53.58119265740734,8.221702993634501,25.07143199742365,3.470816426E9,6.502016426E9,8.531997114060964,0.4098695605862,4.136849137067938,7.533788639027566,2.8925880706725557,2.8925880706725557,0.7678247099113142,5.936288163973341,7.749721604290823,14.11334149337964,0.11720585305308798,0.13273534046597255,5.51704308692391,0.8465561779073634,2.7674609695973706,1.2792881602158348,3.7554296506137868,2.06243854473943,0.02166637204914507,0.1848574237954769,0.04943257637486567,0.04943257637486567,0.0,2.217816547713455,22.384615384615383,0.7927570711075865,0.002893210991839964,22.707587089426493,0.13498744145000338,0.05202179083864038,-38.98611101594458,5.383E8,-1.3705E9,-4.1542E9,6104900000.0,1.07095E9,2.0469E9,1.14965E9,0.0,53.02411496058411,54.590205660761555,10.599699586932031,6.883660392470965,6.686181075561606,0.33902825235436285,2.5921078777330875
7,2012-12-31,56.48763643888056,2.6091511044436397,5.517045160622834,3.5448243753556463,1.1257824220164503,7.2073353680616625,48.543143137964925,7.2073353680616625,22.76718741917128,3.1994970072E9,6.3513970072E9,7.929360612639405,0.36625536673649506,3.7499964922644162,5.836368126960963,2.8705338302530055,2.8705338302530055,0.7270621709994619,5.917083107136203,7.444206525082044,11.585912089018606,0.1261135731935308,0.17133943203145874,5.735241342185537,0.8515272208975503,2.936370411775666,1.3877090995373116,4.055926115956901,2.1144981412639403,0.019315536117373494,0.15315985130111523,0.044129262680723924,0.044129262680723924,0.0,2.797377049180328,28.641639344262295,0.9275409836065573,0.003056423640921735,20.569713374343852,0.13579441018329239,0.053749117502098015,-36.833324711603126,6.536E8,-1.4077E9,-4.0531E9,6061300000.0,1.1038E9,2.02095E9,1.1577E9,0.0,48.17654028436019,53.13716197379426,10.103747397640527,7.576301615798923,6.869015702795863,0.3620132783061188,1.9722207852671874
8,2011-12-31,52.22144909998487,2.686431704734533,5.738314929662684,3.053093329299652,1.0031765239751929,7.376191196490697,44.07563152321888,7.376191196490697,19.28240810769929,2.8611912174999995E9,5.7051912175E9,6.444124363738738,0.33150554606124505,3.016861258435259,5.670216443717796,2.346970074235091,2.346970074235091,0.6610192700066042,5.013349048769771,6.0155959695276255,11.306363887237415,0.1551801212321455,0.1763601107516681,4.975391682388647,0.8326469538478434,2.499121265377856,1.2509563062335003,4.72557876905703,2.136036036036036,0.01597236833402939,0.10292792792792793,0.04419006129140646,0.04419006129140646,0.0,2.1369986480396577,19.447724200090132,0.6784587652095538,0.0028618104716773454,21.115202166562792,0.15416781799760523,0.060950498311506465,-32.451671456663135,4.658E8,-1.2086E9,-3.7436E9,5664300000.0,1.0918E9,1.97115E9,1.17175E9,0.0,43.674024176693216,55.28194373834943,10.267546990245062,8.357370470907588,6.602517482517483,0.36420310064801903,2.685221600363031
9,2010-12-31,42213.93557810408,2589.2689188142476,2850.4088610536332,1466.145862149093,840.9591360251402,4942.84797450566,38328.37241211424,4942.84797450566,17231.916612262514,2788169.7214,2.8071881697214E9,0.00595762760982906,3.654219818348624E-4,0.005411820111413044,0.01052139517509434,0.0031208526095813744,0.0031208526095813744,0.3679145700814416,2.725160828775264,5.4487348014778725,10.593162904609056,167.85204875010518,95.04442931362793,6.754309379897022,0.8710394503226179,2.7224541306669257,1.6668112484638185,4.833122629582807,1.100854700854701,12.839964412935396,0.0764957264957265,0.04676277850589777,0.04676277850589777,0.0,2.0591526778577136,30.49560351718625,1.0611510791366907,0.0,16969.477281084943,0.1379049130654354,0.06755488834678176,-28978.5112810242,9.224E8,-1.2119E9,-3.7286E9,5630900000.0,692300000.0,1.89765E9,1.17745E9,0.0,40.87070881501735,63.25826257974769,11.0212,8.930601170926746,5.769997232216994,0.5238415043653458,1384.2629989045402
