,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,124.27567195037905,5.077877325982081,7.079255685733977,5.450723638869745,1.0613370089593384,6.618194348725018,33.44107512060648,6.618194348725018,22.862164024810475,1.923029163E10,2.239359163E10,26.099744340390878,1.0664299610700738,18.721078300233643,24.31444130737135,20.025295876288656,20.025295876288656,1.241853088329895,15.987428878417933,21.800614904595015,28.31406199266658,0.038314551551083265,0.041127821419315626,7.3301051754660005,0.8799534965122384,2.2583708145927037,1.2413644956178038,,1.3941368078175895,0.009537036854599173,0.248914223669924,0.0950012200261751,0.0950012200261751,0.39341700627547066,4.347016504443504,76.31146847228099,1.1303427845958527,0.002689603158758679,27.49806407735832,0.2514640638864241,0.1518455165591575,-29.826671261199174,8.427E8,-2.1868E9,-2.705E9,,2.8367E9,1.70605E9,5.3275E8,60.76856103458219,44.67400366850092,14.879973319993331,6.006395310105923,8.170299727520437,24.52961387434555,0.767260231177757,1.6285320468642315
1,2018-12-31,107.62425447316103,4.261100066269052,6.003313452617627,5.43273691186216,1.363817097415507,6.462557985420808,26.45924453280318,6.462557985420808,21.263088137839627,1.226211891E10,1.526491891E10,19.07016937791602,0.755033337027801,13.535841605033669,14.957451707733593,12.573952942986054,12.573952942986054,0.9399291222560882,12.18366901588315,16.850556253449607,18.62029630397658,0.05243791914916278,0.0668563081158377,6.3499794913863825,0.8639451985992718,2.396679703088834,1.3545003745852806,6.6561,1.408864696734059,0.011368345146801385,0.21679626749611197,0.09464610079738925,0.09464610079738925,0.44295938725114054,10.521486643437862,188.62369337979095,3.0847851335656213,0.0025060804778178013,24.891688188002526,0.22620629610960913,0.1610439051268565,-24.891650099403577,9.937E8,-2.1998E9,-2.3957E9,4192400000.0,2.6712E9,1.5771E9,4.543E8,60.03435854807425,42.53424809363362,12.252430986581546,6.079851752021563,8.581320144569146,29.790006603565924,0.6593519278096801,0.5705765407554672
2,2017-12-31,97.75740025740026,3.3655083655083655,5.004504504504505,4.482625482625482,0.9279279279279279,6.324967824967825,23.037323037323038,6.324967824967825,20.820463320463322,1.128230418E10,1.437360418E10,21.572283326959845,0.7426721640391007,14.507270387038702,16.196244875107666,11.478588035405432,11.478588035405432,0.9461609571141757,12.695287210740151,18.48219645107368,20.633942262417456,0.04635577907278157,0.06174270688737981,6.077627429036524,0.8587097145157117,2.7303479950538776,1.3433945756780403,5.39,1.486998087954111,0.009475014881224379,0.20439770554493308,0.09282164368232235,0.09282164368232235,0.4853807894661185,9.589395807644882,187.31812577065352,3.281134401972873,0.0028766086298258895,21.88495996903491,0.19497973885637102,0.14608938547486033,-24.86727799227799,8.635E8,-2.3937E9,-2.5956E9,4159300000.0,2.49585E9,1.4474E9,4.519E8,55.75371095678504,37.74726094054122,12.876522571733535,6.54664942900237,9.669575775973287,28.346162402669634,0.532098891036728,0.5218790218790219
3,2016-12-31,85.46393643031784,2.5941320293398533,3.6919315403422983,3.303789731051345,1.6118581907090463,6.390586797066015,21.013447432762835,6.390586797066015,19.770171149144254,7.99354508E9,1.096424508E10,18.834931856738926,0.5717066407283703,13.234346158940397,14.789167585568917,7.645667221425156,7.645667221425156,0.7841741880574171,10.15019911127569,18.152723642384107,20.285374801110084,0.05309283875334071,0.06761705783737196,5.646006695361072,0.8495337056012895,2.750138863173486,1.4197833998333844,5.5952,1.4231856738925541,0.009845443944127978,0.1854382657869934,0.09620294809718279,0.09620294809718279,0.5052386160842784,9.511811023622048,220.18740157480315,4.110236220472441,0.002803624686201446,19.313352445193715,0.17550399554384385,0.12345104427249985,-23.146393643031786,9.574E8,-2.4651E9,-2.6648E9,4127800000.0,2.4199E9,1.325E9,4.5315E8,56.61169082885731,33.600907788274256,14.155662522415849,6.4474315226413355,10.862801752260228,25.784734513274337,0.4059301769488283,0.38814180929095354
4,2015-12-31,76.26952436876101,2.3669994128009395,1.6294773928361714,1.100411039342337,0.2207868467410452,6.435114503816794,17.489724016441574,6.435114503816794,19.14092777451556,6.181668609999999E9,9.40376861E9,15.335322773505332,0.47592666009685336,22.276283279279276,32.986492049092845,5.640723250296559,5.640723250296559,0.7239961358719502,9.636983613445379,33.88745445045045,50.18019535752401,0.06520893070002341,0.03031543937778315,5.164157313623506,0.8377718236051692,3.3020086083213775,1.4787262226461082,5.0564,0.6884147854130489,0.008557559995115947,0.13123294467873978,0.0943897387729334,0.0943897387729334,0.5590869391440795,3.0799112097669257,144.15871254162042,2.5948945615982244,0.0024020879687728564,18.51264502080743,0.15242399342645852,0.13533657881483968,-22.97240164415737,9.035E8,-2.6809E9,-2.8686E9,4313300000.0,2.3443E9,1.2218E9,4.237E8,56.69166275300839,29.08814575688179,13.196249390686937,6.4383364726876176,12.54806693594922,27.659374205036887,0.36782553152659914,0.5290663534938345
5,2014-12-31,70.77667057444314,1.4355216881594373,2.5498241500586167,2.2274325908558033,2.019343493552169,5.489449003516999,15.905627198124268,5.489449003516999,18.69871043376319,5.47479284E9,8.32029284E9,22.355217803184974,0.45341776802352063,12.585730666666667,14.407349578947368,5.846014778430326,5.846014778430326,0.689079700194625,9.377090995153837,19.127109977011493,21.895507473684212,0.0447322861626304,0.06940901895385689,5.51350774159103,0.8464728929982459,3.2069198692663137,1.6712534059945503,2.965,1.7762351980400164,0.006137218518025241,0.13719885667619436,0.09195411818294753,0.09195411818294753,0.5551566419121625,7.909090909090909,219.53636363636363,3.8963636363636365,0.0013582342954159593,13.31559310595521,0.1452967464755284,0.0902524414962226,-20.394636576787807,9.854E8,-2.4499E9,-2.71E9,4043000000.0,2.11615E9,1.14055E9,3.959E8,47.19048407801565,25.308277193397153,12.1328743647323,7.734610210748831,14.42215909090909,30.083555555555556,0.2615056059797117,0.3223915592028136
6,2013-12-31,68.76500638569604,0.8480204342273308,2.339080459770115,2.0383141762452106,1.2011494252873562,4.544699872286079,15.17432950191571,4.544699872286079,22.35823754789272,3.4348017599999995E9,6.49790176E9,25.86447108433735,0.3189645599242241,9.377018181818181,10.760657142857141,4.826193283686946,4.826193283686946,0.6034119346990324,8.95521190738699,17.739289544089544,20.356835087719297,0.0386630755656769,0.09293112741388605,7.324574961360123,0.8798737467508355,4.221471885336274,1.5781405960359334,2.0335865653738505,2.7582831325301207,0.0021253046056433837,0.054969879518072286,0.1040896681091321,0.1040896681091321,0.598909631029943,7.777070063694268,228.63269639065817,4.607218683651805,0.004327396318927252,9.31208693475319,0.11247235736399823,0.05588519968017506,-23.91794380587484,8.109E8,-2.8366E9,-2.9994E9,4036800000.0,2.0611E9,1.11995E9,4.1815E8,49.18141634009992,26.855455524349765,15.477948114516613,7.421502412129565,13.59127942063971,23.581937172774868,0.18659547562175074,0.3007662835249042
7,2012-12-31,69.8015,0.8201,2.1875,1.902,0.2612,0.941,14.006,0.9407,25.989,2663460274.64,6197160274.64,19.7527,0.2606,8.8077,10.2392,16.284,0.0,0.6063,8.5384,20.4933,23.7895,0.0506,0.0978,27.6264,0.6593,5.305,1.571,1.6054,2.6672,0.0,0.0,0.1144,0.0,0.6447,0.1304,0.0041,-0.197,0.0022,4.8583,0.0701,0.1471,-1.379,666500000.0,2032200000.0,-3748800000.0,4597100000.0,1425050000.0,782150000.0,318150000.0,51.6605,27.67,-13.5754,7.1073,3.3254,31.8347,0.8718,-0.2853
8,2011-12-31,66.3149,0.1181,1.4827,1.167,0.6899,-0.05,14.664,-0.0504,28.0801,2663460274.64,6197160274.64,19.7527,0.2606,8.8077,10.2392,16.284,0.0,0.6063,8.5384,20.4933,23.7895,0.0506,0.0978,-556.9863,0.6813,7.1154,1.396,1.0873,12.5556,0.0,0.0,0.1159,0.0,0.6442,0.2129,0.0048,-0.223,0.002,4.8583,0.0625,0.0247,-1.379,538100000.0,2123300000.0,-4077500000.0,4730000000.0,1350450000.0,680900000.0,307250000.0,53.8469,30.276,-14.643,7.1105,3.6412,31.2527,-2.3425,-0.3156
9,2010-12-31,60.9501,-0.2022,2.9342,2.647,0.2535,-0.301,13.459,-0.3012,29.7091,2663460274.64,6197160274.64,19.7527,0.2606,8.8077,10.2392,16.284,0.0,0.6063,8.5384,20.4933,23.7895,0.0506,0.0978,-98.6207,0.7218,7.5375,1.658,0.9056,-14.5103,0.0,0.0,0.1179,0.0,0.673,0.0979,0.0047,-0.1982,0.0013,4.8583,0.044,-0.035,-1.379,675400000.0,1943500000.0,-4285000000.0,5170000000.0,1209400000.0,428800000.0,275300000.0,53.262,23.4439,-14.4219,7.2773,5.2924,31.9695,0.6713,-0.2874
