,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2020-08-30,375.29875636334174,9.006576015771635,19.941846595640296,13.617888923396842,27.629618627093546,41.14848472572928,122.16941004901629,41.14848472572928,18.235953387255762,1.5647059854513E11,1.5236459854513E11,39.098100585989506,0.9382925177057586,17.65834539500395,25.858634695939514,8.557788150575913,8.557788150575913,0.9136704537939326,22.123507847412515,17.19496654385848,25.180069169580236,0.02557669004407703,0.038671801963195925,2.038503609713411,0.670890632874937,-0.5961957310875563,1.1318628240218966,-79.92647058823529,2.214142928535732,0.009452255016289336,0.3695652173913043,0.09469840070520086,0.09469840070520086,0.02287781697746418,-3.1533807829181493,-59.34555160142349,-0.5854092526690391,0.0037118990651291367,91.31624445498306,0.17696665798384997,0.07372202265819287,-37.546529475044,3.276E9,1.7013E10,-9.152E9,,1.5425E9,1.29255E10,1.18185E10,3.3925797998332943,35.71597240922178,30.85202753554142,107.58774193548388,10.219517358171041,11.830664924032021,0.21887989499015534,-6.323957672243452
1,2019-09-01,344.3910690121786,8.25214253495715,14.33468651330627,7.573297248534055,18.908434821831303,34.377537212449255,102.39061795218764,34.377537212449255,12.785295444294091,1.248031329E11,1.219381329E11,34.10853591145121,0.8172932614290486,19.635483464443045,37.165912120309706,8.187570222397166,8.187570222397166,0.7985313510540067,18.803104533538935,19.184728272498425,36.31272569982132,0.02931817427156911,0.026906375841467357,1.978416322246277,0.6642511013215859,-0.4417887432536623,1.0106726341610364,31.58,1.7370866356928123,0.008317098905134938,0.2836840666848866,0.09875379003686896,0.09875379003686896,0.0,-2.1200800533689126,-50.9349566377585,-0.49766511007338227,0.0038964525909772566,79.89360164777469,0.2137346027162388,0.08059471365638766,-31.268042399639153,2.48E8,45400000000.0,-6.672E9,20602000000.0,1.535E9,1.1679E10,1.1395E10,3.6690503788399704,32.078887166443415,31.298820041238354,99.48078175895766,11.378200188372292,11.661781483106626,0.24004461064094995,-6.761389264772215
2,2018-09-02,320.3076923076923,7.090497737556561,13.063348416289593,6.346153846153846,13.699095022624434,28.957013574660632,92.37556561085972,28.957013574660632,15.918552036199095,1.025328616E11,1.033548616E11,32.71629278876835,0.7242248799231508,17.757682992726014,36.553604848484845,8.01100567231815,8.01100567231815,0.7300309487483755,17.245930518938763,17.900045306546588,36.846652976827095,0.030565810327486266,0.02735708295105264,2.190092976013751,0.6865295126132746,0.13716002002336058,1.0182174043962662,28.17610062893082,1.8423739629865985,0.006719796846087441,0.2198468410976388,0.09849126970672996,0.09849126970672996,0.0,-1.9447625463118896,-47.68474233748737,-0.484001347254968,0.0038424591738712775,67.96831528620031,0.21431305013394567,0.07675728630908646,-31.67477375565611,3.63E8,40830000000.0,-7.742E9,21426000000.0,1.602E9,1.1458E10,1.12175E10,4.302883257049217,33.30441243341562,32.72054047031311,84.82684242061114,10.959508765684792,11.155072463768116,0.24486287991249317,-6.717194570135747
3,2017-09-03,291.9117647058824,6.0610859728506785,15.217194570135746,9.55656108597285,10.285067873303168,24.384615384615383,82.23303167420815,24.384615384615383,15.17420814479638,7.08293508E10,7.28563508E10,26.438727435610303,0.5489583476070529,10.530679571810884,16.76831221590909,6.571659936908517,6.571659936908517,0.5646684813020733,13.227369426289034,10.832047398156408,17.248189109848486,0.037823303047978804,0.05963629416747386,2.3723325292262016,0.703469337221779,0.36801016702977485,0.9898256644755644,30.67910447761194,2.5106382978723403,0.05511839309418039,1.4572601717058604,0.10100368145708197,0.10100368145708197,0.0,-2.6882494004796165,-51.5687450039968,-0.5475619504396483,0.003983724084479752,57.666611924697385,0.21806704858900913,0.07370622059592263,-31.21945701357466,-1.78E8,36347000000.0,-8.252E9,20879000000.0,1.4835E9,1.06435E10,1.06145E10,4.050997868630111,31.344809710230425,32.08210435995066,90.10125698324022,11.644671107410492,11.37705918242831,0.24856188532195211,-5.660633484162896
4,2016-08-28,269.2040816326531,5.328798185941043,7.464852607709751,1.4580498866213152,7.662131519274377,27.39002267573696,75.19954648526077,27.39002267573696,10.335600907029479,6.11746821E10,6.22206821E10,26.031779617021275,0.5152897354256689,18.582831743620897,95.13947449455677,5.064548563622816,5.064548563622816,0.5241004565402336,12.491604517165229,18.90057171931956,96.76622410575428,0.038414584585148175,0.010510884207766075,1.7455087341667357,0.63576877845792,0.20999799237100983,0.9770786516853932,27.60902255639098,1.4008510638297873,0.012194587276817251,0.3174468085106383,0.10230881324809003,0.10230881324809003,0.0,-1.2427331068327672,-44.81653454133635,-0.473763684409211,0.003866272458494428,57.306263364621856,0.2087787127586991,0.07086210535838133,-24.78798185941043,-3.57E8,33163000000.0,-5.866E9,19370000000.0,1.3935E9,9.6455E9,1.0182E10,3.849257490376435,27.0005150581627,31.813927950165695,94.82348242811501,13.518260641093011,11.472962426134464,0.19455252918287938,-6.006802721088436
5,2015-08-30,262.3002257336343,5.3656884875846504,9.672686230248306,4.270880361173815,10.837471783295712,23.966139954853272,74.53047404063206,23.966139954853272,11.878103837471784,5.80652947E10,5.84022947E10,24.427974211190577,0.49970563171800103,13.550827234539092,30.689902061310782,5.469086813600829,5.469086813600829,0.5026058287937073,12.10912185361808,13.629473675612601,30.868020454545455,0.04093667331374106,0.03258400753453853,2.1098238673824996,0.6784383802283672,0.06987352270371139,1.0145111554507527,29.225806451612904,1.802692469499369,0.04934100506683556,1.2053007993268827,0.09905420872813019,0.09905420872813019,0.0,-1.7906393648140408,-48.557877141663184,-0.47095695779356456,0.003390734860024613,53.790184309695114,0.2199296031071732,0.07199321561619772,-23.948081264108353,2.4E8,33017000000.0,-5.621E9,17812000000.0,1.3795E9,1.0345E10,1.01515E10,3.844783517930447,32.54356107455598,32.17157275021027,94.93382352941177,11.215736322272777,11.345419847328245,0.22388622021286617,-5.401805869074492
6,2014-08-31,254.84162895927602,4.656108597285068,9.013574660633484,4.504524886877828,12.981900452488688,27.834841628959275,74.71493212669684,27.834841628959275,11.778280542986426,4.83878616E10,4.77428616E10,23.5120804664723,0.4295797372159091,12.145547590361446,24.303295630336514,3.9330132162887104,3.9330132162887104,0.42385352982954544,11.079800789046182,11.98365,23.97933782019086,0.042531327732821325,0.04114668295240392,1.6842233601560594,0.627452761627907,-0.14968670225110234,1.2203719122953094,28.495575221238937,1.935860058309038,0.012069142563638315,0.28377065111758987,0.09731889204545455,0.09731889204545455,0.0,-1.9989964877069744,-56.51781234320121,-0.5163070747616658,0.002903053977272727,54.00042612595733,0.17300666236836448,0.06231831395348837,-18.816742081447963,3.176E9,33024000000.0,-3.133E9,17967000000.0,1.3415E9,1.0085E10,9.9255E9,3.719992897727273,31.477533567612586,31.347782810944768,98.11846689895471,11.595571781886704,11.64356669820246,0.1672762740794928,-4.509049773755656
7,2013-09-01,237.90950226244343,4.613122171945701,7.776018099547511,3.063348416289593,10.506787330316742,24.509049773755656,68.51357466063348,24.509049773755656,11.96606334841629,4.3903418E10,4.4449418E10,21.531838155958805,0.4175074936285138,12.773761419842886,32.42497636632201,4.052747899935382,4.052747899935382,0.42269977937540415,10.910510063819341,12.932620890311318,32.82822599704579,0.046442853264864255,0.03084042340393634,1.7954398596879904,0.6422745434732358,0.13402061855670103,1.1948404616429056,30.838383838383837,1.68563021088769,0.08108708073708522,1.7459538989700834,0.09657080908364715,0.09657080908364715,0.0,-1.6500240038406144,-50.482957273163706,-0.4541526644263082,0.0027102590437064933,50.437316748655874,0.17931399036767298,0.06733150612554899,-19.181561085972852,2.583E9,30283000000.0,-3.61E9,17380000000.0,1.368E9,9.7755E9,9.6445E9,4.168711248050515,31.248966807325882,31.336298777569933,87.55703580349709,11.680386178861788,11.64783379782113,0.18822117603618574,-4.712669683257919
8,2012-09-02,226.34018264840182,3.901826484018265,6.97945205479452,3.6004566210045663,8.054794520547945,28.22146118721461,61.81278538812786,28.22146118721461,3.3698630136986303,3.47697102E10,3.26227102E10,20.345061556465772,0.35072384881527585,11.373801177625124,22.048009004438807,2.8128557721867167,2.8128557721867167,0.3290669497765718,8.788445635775862,10.671478639188747,20.686563221306276,0.04915197711368902,0.04535556928513025,1.1956152414853167,0.5445467943994104,-0.5783943965517241,1.1032626427406198,29.042105263157893,1.788765359859567,0.01282725675406981,0.2609713282621416,0.09638177471579733,0.09638177471579733,0.002431834929992631,-2.0655405405405407,-66.98445945945946,-0.6135135135135135,0.0024309793518060866,49.77542571645439,0.18541666666666667,0.06312329171899239,-12.802511415525114,1.266E9,1.2295E10,-1.253E9,12733000000.0,1.2805E9,9.491E9,9.2455E9,3.7774998234766035,30.701484629648828,29.83126590880297,96.62475633528265,11.888675886621936,12.235484780157835,0.13825742253862955,-3.3789954337899544
9,2011-08-28,200.25900900900902,3.2927927927927927,7.202702702702703,4.297297297297297,9.02927927927928,27.03153153153153,60.10585585585586,27.03153153153153,3.0833333333333335,2.95226256E10,2.67666256E10,20.19331436388509,0.3320320035989428,9.23159024390244,15.473074213836478,2.4598088318613565,2.4598088318613565,0.3010361086430861,8.175511789859499,8.36980162601626,14.028629769392033,0.04952134067642005,0.06462839809207213,1.2297117147142143,0.5515115279698068,-0.8417837507635919,1.1374273858921162,21.025862068965516,2.1874145006839947,0.013176334831140493,0.2660738714090287,0.09816116515773492,0.09816116515773492,0.002765218041179328,-2.4790697674418603,-68.92635658914729,-0.6627906976744186,0.0023280661305741437,44.751622591996686,0.16579430358235334,0.054783227788811034,-11.493806306306306,1.656E9,1.1928E10,-1.053E9,12855000000.0,1.25E9,9.1115E9,9.0165E9,3.9613675982680085,30.725375937431664,31.166724552669834,92.139896373057,11.879431540342297,11.71120819523953,0.12181303116147309,-2.9054054054054053
