,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,23.077232340288667,-3.5429984320347363,14.252402203192217,14.252402203192217,0.35178707835805895,89.36396896232863,114.57202589152897,89.36396896232863,22.62996019780485,1.54518637392E10,1.96998637392E10,-21.917537218723407,3.3649529048780487,5.448470994076164,5.448470994076164,0.8689609571026882,0.8689609571026882,4.290040012891986,20.16362716397134,6.946355338222849,6.946355338222849,-0.04562556413253101,0.18353773032603962,0.3908446743898324,0.2810124535015365,4.348004094165813,0.8925549915397631,-5.335135135135135,-4.022695035460993,0.006471711224472483,-0.14184397163120568,0.07099303135888502,0.07099303135888502,0.07819828562186641,,,,0.018510452961672474,84.40301560408521,-0.04191082802547771,-0.030923765242565137,-32.268926144815666,-1.27E8,1.5848E10,-5.895E9,,5.25E8,5.15E7,3.25E7,46.4198606271777,27.018156424581004,15.293296089385475,7.863013698630137,13.50943396226415,23.866666666666667,-0.039646833876954224,0.0
1,2018-12-31,24.2855053385988,13.374286967968407,14.965628199502707,14.965628199502707,0.0,109.80254497586661,140.71083808688022,109.80254497586661,27.280971186192776,2.03560906725E10,2.48700906725E10,8.904676584645669,4.903900427005541,7.957814961884284,7.957814961884284,1.084616936940537,1.084616936940537,5.991349234521802,5.64203508904265,9.722474852423769,9.722474852423769,0.11230054123743244,0.12566263538291872,0.401001705029838,0.2862249942952765,1.0240471869328494,1.039085545722714,19.664429530201343,1.1189851268591426,0.0,0.0,0.07492170561310528,0.07492170561310528,0.08530463223549099,1.0641,0.6557,-1.8417,0.01975427607805348,181.77442557249688,0.11749137861897506,0.09504802295122863,-39.05221588415972,5.3E7,1.6525E10,-6.117E9,27048000000.0,4.66E8,5.0E7,3.5E7,40.975668513611176,30.93220338983051,21.652542372881356,8.907725321888412,11.8,16.857142857142858,0.12180306905370844,0.0
2,2017-12-31,0.0,6.489275047515612,11.505566114580505,11.505566114580505,0.0,60.5145262014662,93.03556882975835,60.5145262014662,20.723594895465652,2.2813268064E10,2.5720268064E10,23.863251112970712,8.7343,13.4591552,13.4591552,2.5589756661805945,2.5589756661805945,9.9269,11.585706335135136,15.174199447787611,15.174199447787611,0.041905438419346665,0.07429886832718892,0.5403252944475603,0.3507864841246723,1.3094594594594595,0.5081545064377683,7.3561643835616435,1.7730125523012552,0.0,0.0,0.0944,0.0228,0.0018933877075444218,1.4773,0.9683,-2.185,0.0232,93.99812024746345,0.08546192408689425,0.06975047424485627,-30.96490632636438,-5.73E8,8.889E9,-4.225E9,15625000000.0,3.985E8,4.65E7,2.45E7,76.6415,19.791929382093315,6.4438839848675915,0.0,0.0,0.0,0.10723499719573752,0.0
3,2016-12-31,0.0,-10.852628844940819,10.27381544284071,10.27381544284071,0.3952432191755408,56.56705131535008,89.75617973359059,56.56705131535008,22.972565025416497,1.8403625105E10,2.1242514105E10,-12.584139930636754,12.2075,13.293114010060327,13.293114010060327,2.4143206482276014,2.4143206482276014,13.8993,-23.544298947282087,15.343670621792945,15.343670621792945,-0.07946510492667418,0.07522691818058527,0.5899008395064579,0.3710299566163993,-3.1465037972326533,0.7255764180428208,-10.168358572706099,-0.9466660649350471,0.0,-0.0,0.1382,0.0471,0.001999451124592242,1.776,1.5034,-2.1063,0.0361,117.52777240937503,-0.18207095812650556,-0.12091233023902088,-31.661574709658268,-2.06692E8,7.598461E9,-3.950139E9,14112000000.0,3.43076E8,3.9225E7,2.56515E7,102.2446,3.528486131045581,2.0219651808237646,0.0,0.0,0.0,-0.19185424363804235,0.0
4,2015-12-31,0.0,0.5495055284091857,7.483823357737271,7.483823357737271,1.9057585511065156,57.8902906792522,105.19973150109234,57.8902906792522,31.12320931240932,1.12269684308E10,1.45155164308E10,170.3637091168437,6.6476,12.509087337452158,12.509087337452158,1.6171243726981623,1.6171243726981623,8.0064,9.048129744130613,16.173187258901063,16.173187258901063,0.005869794718511038,0.07994188329039832,0.820926630571385,0.4508290541688591,2.0498897931502205,2.204067603366755,1.768947554135869,13.619195751138088,0.0,0.0,0.128,0.0327,0.0020323724105504593,1.6412,1.3919,-2.0531,0.0349,26.753472341229585,0.03163043391632496,0.005223449913496023,-38.821765088471224,7.1813E8,6.916858E9,-4.384775E9,15123401000.0,3.34986E8,3.16E7,2.7059E7,79.8346,8.249576220399637,11.948136225878807,0.0,0.0,0.0,0.00949218810203915,0.0
5,2014-12-31,0.0,4.944461798537356,15.377852706625998,15.377852706625998,1.9293668001910992E-4,48.5170335526074,108.16222299805226,48.5170335526074,36.10018926169564,1.1873302162E10,1.5585909162E10,22.06215852092721,4.2376,7.09367569589201,7.09367569589201,2.2483959140188925,2.2483959140188925,5.3922,7.531298444782156,9.311763779979174,9.311763779979174,0.04532648059125508,0.14097063960495204,1.2345079938827312,0.5524741899614432,1.7939762791225837,0.8326806535626226,5.02972385431619,3.1101165977609515,0.0,0.0,0.0767,0.1071,0.0023011936562851933,1.4831,0.9733,-2.6428,0.0177,73.46794489457633,0.10505824384421905,0.04571338921747563,-53.596298371981916,-2.38797E8,5.253634E9,-5.330779E9,14021656000.0,3.583E8,3.519E7,2.47175E7,90.5953,13.878844869340679,9.830280946463821,0.0,0.0,0.0,0.10191187375823457,0.0
6,2013-12-31,0.0,2.4194459438618137,13.128662862430598,13.128662862430598,2.0242134484885872E-4,36.22329002159161,92.17447756014806,36.22329002159161,38.6104449413942,9.8937955456E9,1.36807955456E10,39.417041013852426,4.891,7.264060399700445,7.264060399700445,2.632764719691513,2.632764719691513,6.4946,9.841980328406635,10.044489468289747,10.044489468289747,0.025369737917378617,0.13766405356998931,1.5522336785304962,0.6081863473505406,2.7243722325536224,0.6881979420453764,2.824751465131919,5.426309645701446,0.0,0.0,0.0732,0.0472,0.0029834752069717503,1.3801,0.8102,-2.4329,0.0151,44.406154670400966,0.06989091151122852,0.026248545236212645,-54.50841012492289,-2.35993E8,3.729334E9,-5.31234E9,12526500000.0,3.44895E8,3.1968E7,2.7341E7,74.2195,5.289574526717518,7.47053715806933,0.0,0.0,0.0,0.06679255093669446,0.0
7,2012-12-31,0.0,4.1834383176664405,11.992227929062894,11.992227929062894,0.02790968117065607,33.59042542882062,82.94758213005136,33.59042542882062,33.376761314080824,9.290577503E9,1.2549140503E10,21.521459900530242,4.6301,7.507670845865542,7.507670845865543,2.680338187165411,2.680338187165411,6.327,8.802146119320385,10.14089988104839,10.14089988104839,0.046465249319604114,0.13319710207469973,1.478058655655941,0.5964583010504647,2.2856025604426207,0.6200387522531166,4.655389836074546,2.866596091167484,0.0,0.0,0.0735,0.0219,0.0035015100524050644,2.2416,1.5243,-4.823,0.0164,56.229690902823044,0.10836093327970682,0.05043472287242003,-47.733053105921115,-2.81204E8,3.43612E9,-4.664359E9,10943357000.0,3.320265E8,4.0572E7,2.78055E7,80.3866,25.391871516803107,16.804259691524173,0.0,0.0,0.0,0.12454258212749654,0.0
8,2011-12-31,0.0,5.3434554157202605,11.692789112993633,11.692789112993633,0.0033339507316169662,29.057418040377847,66.44652518497577,29.057418040377847,22.822813191526695,1.06681983218E10,1.28906833218E10,19.462649523385576,6.2475,8.894182473917386,8.894182473917386,3.57904476769016,3.57904476769016,7.5911,9.937604803255105,10.747090203908765,10.747090203908765,0.05138046589178098,0.11243304293930867,1.297945576583525,0.5648286842864434,1.7133442083563966,0.5859393821892949,7.34019094288611,2.1882449095755256,0.0,0.0,0.0609,0.007,0.004879864096697373,1.4553,1.079,-4.3637,0.0119,59.10590410763424,0.1413095332394615,0.08041737925113455,-1.1614748345210126,-2.90454E8,2.947314E9,-3.457814E9,8289932000.0,2.7249615E9,3.6599E7,2.72095E7,82.9527,18.726020974597823,15.675515186900386,0.0,0.0,0.0,0.18389298761146144,0.0
9,2010-12-31,9.2006,2.2084,7.0409,-16.019,0.0041,25.76,57.634,25.7599,19.2195,8756829841.65,10528200841.65,39.6697,10.2847,13.4393,0.0,3.644,3.6982,12.3651,18.2289,16.1579,-7.1021,0.0252,-0.1693,0.7461,0.3313,3.067,0.652,6.0923,3.1882,0.0,0.0,0.078,0.0119,0.0065,3.2751,2.5063,-10.0904,0.0152,34.5881,0.0512,0.0431,-0.3031,-176356000.0,5333521000.0,-2653987000.0,6604758000.0,219043500.0,72674500.0,22298500.0,115.1239,42.2451,-72.2914,3.8871,3.1258,38.1839,0.0857,-23.0596
