,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,29.571875,9.240625,19.3625,18.475,21.6375,37.059375,354.95625,37.059375,88.221875,2.3819232E10,4.2596232E10,8.055201893811295,2.5170909859452606,3.8442918011620404,4.02896346414073,2.0085363015431317,2.0085363015431317,4.501345450702737,9.078480818414322,6.8747953518398965,7.20504600811908,0.12414338128114288,0.24820279679882207,8.612614891643478,0.895970034036282,4.001918158567775,27.940988835725676,1.5158102766798418,2.095366925938451,,0.0,0.18366268625171722,0.18366268625171722,0.003596617425172813,21.816901408450704,33.320422535211264,3.017605633802817,0.007291556588819613,87.77907045509731,0.03382758955269959,0.02603313788671139,-264.43125,1.6892E10,1.1449E10,-8.4618E10,,,2.615E8,,0.0,,,,0.0,,0.24934648789948563,0.8875
1,2018-12-31,25.447674418604652,7.97093023255814,15.090116279069768,14.351744186046512,38.65988372093023,32.354651162790695,317.2587209302326,32.354651162790695,85.36918604651163,2.2222399999999996E10,3.61514E10,8.104449307075127,2.5385423806259992,4.280947794259294,4.501195057727364,1.9966217430368374,1.9966217430368374,4.1297007082476584,8.151386696730553,6.964245810055866,7.322544055094187,0.12338901288789692,0.22216322269421848,8.84303683737646,0.898405338055553,3.140698985343856,29.607460035523978,1.6816269284712482,1.8931436907366885,0.0254,0.0,0.18585789353438428,0.18585789353438428,0.0037972488202057454,20.437007874015748,34.46456692913386,3.2992125984251968,0.009252912954078136,76.17529133610594,0.033003027800715665,0.02512438494735974,-237.65697674418604,1.6106E10,1.0714E10,-8.1754E10,121220000000.0,0.0,2.4E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2463611859838275,0.7383720930232558
2,2017-12-31,21.390374331550802,5.612299465240642,13.925133689839573,13.342245989304812,35.57754010695187,29.122994652406415,266.4946524064171,29.122994652406415,74.79679144385027,2.7887272599999996E10,4.09072726E10,13.285980276322057,3.485909075,5.354699039938556,5.588631783567133,2.560344528094014,2.560344528094014,5.113409075,9.44958942018942,7.854699039938556,8.197850220440882,0.075267310292653,0.17893467287295786,8.189037825927286,0.8911746780301139,3.0076230076230077,17.057339449541285,2.14623786407767,2.481181515007146,0.0169,0.0,0.189,0.189,0.00417636656109185,23.889908256880734,36.69724770642202,3.63302752293578,0.009375,60.64286243708239,0.035649851332963764,0.02105970763226279,-198.7192513368984,1.4002E10,1.0474E10,-7.4321E10,112608000000.0,0.0,2.955E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19271024605214837,0.5828877005347594
3,2016-12-31,17.822222222222223,5.908641975308642,10.925925925925926,10.48395061728395,29.417283950617286,27.958024691358023,226.88148148148147,27.958024691358023,66.27407407407408,2.5839567E10,3.9368567E10,10.79798035938153,3.579879052369077,5.839450169491526,6.0856257654262835,2.2820424799081516,2.2820424799081516,5.454220975339429,8.943336437982735,8.896851299435028,9.271918747056052,0.09260991099425157,0.16432163898102473,7.152256469133622,0.8773345755514148,3.0733757383007725,21.327613104524183,2.61516452074392,1.849143334726285,0.0159,0.0,0.1910501523967858,0.1910501523967858,0.004560818130606231,24.720670391061454,40.324022346368714,4.167597765363128,0.00886672208367969,60.9660894297531,0.03988349133275879,0.026042856987386682,-166.2074074074074,1.303E10,1.0902E10,-6.7314E10,105321000000.0,0.0,2.305E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21133975094939503,0.4419753086419753
4,2015-12-31,15.290617848970252,5.25629290617849,8.819221967963387,8.434782608695652,21.903890160183067,25.80091533180778,197.97025171624713,25.80091533180778,59.46681922196797,1.79406417E10,3.30926417E10,7.810466565084893,2.684920936845256,4.655070498183705,4.867238659793815,1.5911877339246119,1.5911877339246119,4.952505492367554,7.461700496054115,8.586570238713026,8.977927753662506,0.12803332447133148,0.2054553043105476,6.710509977827051,0.8703068924266126,3.4164599774520856,19.89937106918239,2.8598574821852734,1.6778406617326949,0.0201,0.0,0.1985932355582161,0.1985932355582161,0.004865648292997148,22.94047619047619,39.773809523809526,4.898809523809524,0.008380724334031727,55.239354496668355,0.0418539976825029,0.026550922982673125,-144.17620137299772,1.202E10,1.0852E10,-6.3005E10,101355000000.0,0.0,2.77E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20372505543237251,0.38443935926773454
5,2014-12-31,13.987012987012987,5.028138528138528,8.281385281385282,7.967532467532467,15.766233766233766,24.0995670995671,178.98917748917748,24.0995670995671,51.495670995671,2.2097691E10,3.7470691E10,9.512566078346966,3.4196364902506966,5.775664140094093,6.003176039119804,1.984703700377223,1.984703700377223,5.798621324667286,9.222419640659611,9.793698640878201,10.179486824232546,0.1051241055004344,0.16657849003318945,6.465960122148374,0.8660587541804008,3.7836573960127984,99.40707964601769,3.257495590828924,1.6470081790787774,0.014,0.0,0.19220055710306408,0.19220055710306408,0.005208959892211823,26.386206896551723,44.56551724137931,2.5448275862068965,0.009285051067780872,52.215506715034785,0.04449905436497898,0.02809185783560882,-131.51298701298703,1.112E10,1.0701E10,-6.0759E10,97960000000.0,0.0,1.74E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20864020118555776,0.31385281385281383
6,2013-12-31,12.202061855670102,5.092783505154639,7.251546391752577,6.775257731958763,13.51340206185567,22.28659793814433,162.62061855670103,22.28659793814433,44.865979381443296,2.29086355E10,3.69686355E10,9.274751214574898,3.871009716120311,6.513686522604492,6.971587188070602,2.1194037838838007,2.1194037838838007,6.246812352145995,13.184249465049929,10.511411856696048,11.250345556908094,0.10781960365993863,0.14343935936297908,6.34017948006291,0.863763549281573,5.014265335235378,82.46428571428571,2.155322862129145,1.4238866396761134,0.0107,0.0,0.19668807029401825,0.19668807029401825,0.005911267960675573,15.225108225108226,25.61904761904762,1.4458874458874458,0.009969584319026698,50.53482376759004,0.031186868686868686,0.03131696060656008,-117.49690721649485,1.1405E10,1.034E10,-5.6986E10,92749000000.0,0.0,1.93E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285132759737256,0.4762886597938144
7,2012-11-30,10.35067437379576,4.518304431599229,5.859344894026975,5.581888246628131,7.564547206165703,18.840077071290946,144.13680154142583,18.840077071290946,40.578034682080926,1.6734791700000002E10,3.25377917E10,7.136371727078893,3.1151883283693227,5.503055475172641,5.776593614083535,1.711473890366128,1.711473890366128,6.05692325018615,8.09397803482587,10.69970131535679,11.231547014152572,0.14012722966847563,0.17311240270770742,6.699222744937615,0.8701167594277592,3.931094527363184,11.362821948488241,2.8196844477836214,1.2968017057569297,0.0096,0.0,0.1950856291883842,0.1950856291883842,0.00632280860220767,21.118055555555557,37.30555555555556,1.8541666666666667,0.008749069247952346,43.764335751441614,0.05045032934534212,0.0313473338056599,-106.66281310211946,9.254E9,9.302E9,-5.5358E10,88550000000.0,0.0,1.205E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23982409490693393,0.2774566473988439
8,2011-11-30,8.970967843148836,4.109735277669602,6.662104822143434,6.456203524094106,5.2598276527141286,15.2122798825425,126.13299791625523,15.2122798825425,36.49179698530674,1.09447851439E10,2.63821201439E10,4.915231428593241,2.251741434501635,3.032119808871583,3.128820199768157,1.3278943166948771,1.3278943166948771,5.427764207059765,7.470901123830005,7.308845997121577,7.541939776218499,0.20344921994572368,0.3196092891736314,7.3453259083030025,0.8801724449125382,4.371551746841193,16.531270308358465,2.3651876121550472,1.6210544894076817,0.0084,0.0,0.18811390476088588,0.18811390476088588,0.006446839470674672,32.355817497310866,43.569263176765865,0.17993008246683398,0.009006525343543898,37.505532577994956,0.051457253593195265,0.0325825544906038,-95.02509168292382,8.508092E9,7.798772E9,-5.148583E10,82875000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701590629019325,0.20590129804932697
9,2010-11-30,8.387396196729025,1.4057104205801587,7.117965363986928,7.017468725760857,9.371671770289197,11.867936874377364,110.90834800701396,11.867936874377364,35.45341856934371,8.2253952788E9,2.08323902788E10,10.755131198188257,1.8025379564036879,2.124005839715374,2.1544235665062823,1.2739029673001339,1.2739029673001339,4.565272905113264,16.715430012910243,5.379451942138922,5.456490666045035,0.0929788750664849,0.4641612798645944,8.414034034573536,0.8937756124178596,10.11556234188159,24.389322913545325,0.8015594559150164,5.06360716956856,0.008562628009079115,0.09209218763892739,0.17589492530510187,0.17589492530510187,0.007310919370723367,70.8278952373985,83.45947033433316,-0.4126490599165996,0.008126042298985586,19.374335008968565,0.021018800200696356,0.01267452311607112,-81.1567774024093,9.756973E9,6.012452E9,-4.4153994E10,71583811000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11844606484342356,0.10049663822607148
