,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,10.206065403733538,3.2757824649622855,5.520017976410766,5.520017976410766,0.5128250408756174,19.811936903347338,66.55335052765459,19.811936903347338,34.92081437234258,1.3909933283718401E10,1.83211602837184E10,33.121491173636024,10.630815667741013,19.65551570006811,19.65551570006811,5.476435773509279,5.476435773509279,14.002143203902008,20.995817471400052,25.88882680131923,25.88882680131923,0.030191877375254708,0.050876304405309235,2.359255122421171,0.7023149586568901,5.055210231374841,0.244062335271102,,1.6850990673076693,0.032934306057112665,1.0908333273804847,0.06833866532564385,0.06833866532564385,0.0,,,,0.009974366695351919,38.21309852473101,0.07684356580150417,0.049220398957992594,-46.22858858343162,-2.03636E8,,-5.92667E9,,,1.064215E8,,0.0,120.97732480285671,0.0,,3.0170943240379953,,0.1653438773272503,0.0
1,2018-12-31,9.490267658360104,3.293657522098129,5.375592900824489,5.375592900824489,0.4560008401150861,19.143247735598063,62.24232226945724,19.143247735598063,34.86982812180244,1.1668615179430601E10,1.5829332179430601E10,28.097578263403555,9.751442565318685,17.215552164637685,17.215552164637685,4.8342789728364135,4.8342789728364135,13.228546937358225,18.672698701503318,23.354158970530325,23.354158970530325,0.03559025587989826,0.05808701286120181,2.251398254315738,0.6924400144852598,4.908091765499702,0.3151139147543859,3.472970700979623,1.632104389954947,0.036414518215411265,1.0231597754816526,0.067905505915073,0.067905505915073,0.0,0.7249,0.4106,-2.3505,0.009339764867909517,37.66502744973329,0.08084294901439786,0.05291668758500597,-42.64307369374409,-1.24965E8,7847978000.0,-5.376758E9,12586803000.0,0.0,1.01461E8,0.0,0.0,126.9588611392036,0.0,0.0,2.874947023979657,0.0,0.1720532256380597,0.0
2,2017-12-31,8.459540753702427,3.8026613318443183,4.74228217837616,4.74228217837616,0.4420414288152663,18.661518431638314,59.18286391705831,18.661518431638314,31.64306290230559,9.5571289508376E9,1.33339429508376E10,19.951711020029936,8.968524676330059,15.998541872086378,15.99854187208638,4.06556413283993,4.06556413283993,12.512732328141663,17.724401198519196,22.320892154572256,22.320892154572256,0.05012101463358602,0.0625056963312863,2.171385229656395,0.684680375424355,5.020402954699831,0.2929342879839231,3.528118506165682,1.24709559030757,0.04112532142464745,0.8205205286704119,0.07409795144656213,0.07409795144656213,0.0,1.1597,0.6269,-3.5839,0.008972157315390895,39.95844437667148,0.0745493836931611,0.06425274277320457,-40.07930405660474,-1.34404E8,7460953000.0,-5.048703E9,11929126000.0,8305500.0,9.8774E7,0.0,0.0,128.9526020869642,0.0,133.0455,2.8304973617658997,0.0,0.20377019939585264,0.0
3,2016-12-31,0.0,2.926965859449134,4.311084378546566,4.311084378546566,0.3506184156418951,17.946565651127848,56.69185920767145,17.946565651127848,29.675750154967456,7.952003439111E9,1.1486733439111E10,21.719248892081165,9.7728,14.746057932977045,14.746057932977045,3.542265480526903,3.542265480526903,14.9476,17.687462565690115,21.300800238679457,21.300800238679457,0.04604210785413486,0.06781473425271649,2.158925240056092,0.6834366361952132,5.44283584939362,0.09403758244208685,3.3701031622951927,1.4728850917850909,0.046254758667599434,1.0046186159447406,0.0825,0.0,0.0,2.0672,1.1239,-6.1063,0.0081,34.37880395668687,0.06789948103095853,0.05162938560062363,-38.39467514090171,-4.2253E8,7091446000.0,-4.802696E9,11339927000.0,9408000.0,1.014245E8,0.0,6.1127,148.02351952960942,0.0,0.0,2.465824357912179,0.0,0.1630933693023985,0.0
4,2015-12-31,0.0,1.5813649683333488,3.0657568450178956,3.0657568450178956,0.6326244404757355,17.435601633738283,50.67244233136933,17.435601633738283,24.122246420936346,9.2122900106695E9,1.19310580106695E10,48.62033846685825,13.9212,25.079125281884902,25.079125281884906,4.409741723579121,4.409741723579121,14.9476,27.315130990353556,32.480577386129326,32.480577386129326,0.020567524446207706,0.03987379897664604,1.906262909409275,0.6559155068998009,6.224385464052767,0.638613903094538,3.0795342906711816,1.9386776022039964,0.029232905139558084,1.421313742254874,0.0866,0.0,0.0,1.046,0.4911,-2.8789,0.0077,24.907250281227594,0.04949943840742223,0.031207593231684188,-32.604216257155315,-4.2894E7,6071407000.0,-3.906531E9,9500491000.0,6991500.0,9.2077E7,0.0,1.0288,147.98100164243866,0.0,0.0,2.4665328383297256,0.0,0.09069747070117569,0.0
5,2014-12-31,0.0,1.5413458827778435,2.9173787359705483,2.9173787359705483,0.4119041731986227,15.014846067591572,38.04305738553741,15.014846067591572,3.0880498124134834,6.2740604724435005E9,6.5023974724435005E9,35.17737362251409,10.541,18.58534832364233,18.58534832364233,3.6111259320221016,3.6111259320221016,14.9476,16.266566949626007,19.261740063698788,19.261740063698788,0.028427363871189743,0.05380582502873541,1.5336961307682346,0.6053196798714797,0.5712137889628258,0.23419204897774676,3.4239272101315628,1.8927476101034453,0.03348565110628872,1.1779372599590705,0.0942,0.0,0.0,1.5756,0.8219,-4.6221,0.0077,22.81927039266529,0.06632423392065805,0.04051582571709411,-22.616307144747214,-1.55858E8,4381987000.0,-2.617019E9,6658843000.0,9660000.0,8.3491E7,0.0,6.6429,138.70618156087602,0.0,0.0,2.631461668777949,0.0,0.10265479085428147,0.0
6,2013-12-31,0.0,1.545370341191271,2.436107379188283,2.436107379188283,1.1380667016131327,15.792367232354392,35.717672416638294,15.792367232354392,2.888476387394805,4.0105256098174996E9,4.1338026098174996E9,23.3067110452213,9.0031,14.784857312817271,14.78485731281727,2.2806903784639485,2.2806903784639485,14.9476,13.12643324320784,15.239319653237311,15.239319653237311,0.04290609679159495,0.067636770436268,1.2617047774485775,0.5578556450112392,0.39145248664748733,0.40799289120125176,2.9803573921541253,1.576390664590065,0.04064654258807189,0.9473372230874729,0.1042,0.0,0.0,1.3123,0.6838,-3.7381,0.0093,23.433176451493523,0.0582246636405613,0.04326626671427206,-18.787238482670773,-1.83878E8,3977140000.0,-2.091947E9,5775613000.0,9310000.0,8.1031E7,0.0,5.2877,157.98192297803044,0.0,0.0,2.310390917641623,0.0,0.0978555221300335,0.0
7,2012-12-31,0.0,1.1468254045842123,2.110456329149811,2.110456329149811,0.3009574719767876,14.584065726726509,31.513057946900094,14.584065726726509,2.3643516192166993,3.10746375678E9,3.24667875678E9,26.489559682377312,9.2729,14.394469850147537,14.394469850147537,2.083019959539002,2.083019959539002,14.9476,13.713126778849201,15.039344988535245,15.039344988535245,0.03775072186893575,0.06947112400876301,1.1607868846305185,0.5372056323032551,0.588007957526071,0.22421867602823037,2.188462073764788,1.8402594856319634,0.028411272635882417,0.7526021021405007,0.1232,0.0,0.0,2.8203,1.4872,-8.1777,0.0106,19.39899441323073,0.0509500748174603,0.03639206980536855,-16.628034748196796,-1.06514E8,3223477000.0,-1.700885E9,4753315000.0,14797500.0,7.688E7,0.0,9.8767,167.407435015961,0.0,0.0,2.1803093749402476,0.0,0.07863550713999867,0.0
8,2011-12-31,0.0,0.5477810962110734,1.5653494411023645,1.5653494411023645,0.28756634526064084,11.063844766813705,27.32173449109226,11.063844766813705,5.399751965883626,1.7677928588592E9,2.1713088588592E9,35.041187315094454,6.9815,12.2623738163425,12.2623738163425,1.734921304895348,1.734921304895348,14.9476,12.007193663023546,15.061380503171389,15.061380503171389,0.028537845792948824,0.08155027851681251,1.4694611201563967,0.5950533532041729,2.2314166583717663,0.10183059762610591,1.7158140295092197,2.8576185851057505,0.02943048431227078,1.031279113560229,0.1506,0.0,0.0,1.4361,0.6277,-3.5687,0.0175,11.677444619015459,0.05118229070402908,0.020049279682066566,-15.970323379017916,-2.33595E8,2517524000.0,-1.470819E9,3828928000.0,14289000.0,7.327E7,0.0,20.4915,172.32575067290875,0.0,0.0,2.1180815900973844,0.0,0.049510916662004995,0.0
9,2010-12-31,0.0,0.30153186570342594,1.2002986025485014,1.2002986025485014,0.5353619202322419,10.093444531649588,25.748537883652375,10.093444531649588,4.638467289627157,1.2069763006671999E9,1.5011603006671999E9,45.838604711830165,5.4115,11.515301251416304,11.515301251416304,1.3693838566863437,1.3693838566863437,14.9476,10.19934707142993,14.321998766085006,14.321998766085006,0.021815672756328838,0.08684097603412735,1.5510159393964835,0.6079993133102183,1.9987770243643923,0.22840866340624497,1.4164171189718635,3.9806691732178803,0.028968257272882974,1.3278644943222817,0.1578,0.0,0.0,1.1191,0.4167,-2.3296,0.0163,8.275182241047789,0.0444345825967528,0.011710640311536567,-15.119731431770544,-1.57927E8,2249820000.0,-1.320317E9,3419490000.0,7587500.0,6.78355E7,0.0,13.0455,144.91556896651772,0.0,37.1001,2.518707980122771,0.0,0.029874030095268782,0.0
10,2009-12-31,3.2412221124084835,0.3699662300674865,0.9390596073248755,-0.2784031458271235,1.9802570599459255,10.229739229284803,27.85484620184375,10.229739229284803,0.7818728417841159,6.93877805964E8,5.22719805964E8,21.699277792288207,2.476843524319462,8.548978081241914,-28.83588106071562,0.7847707375587976,0.7847707375587976,1.8658835248905927,3.345214073838947,6.440211987482289,-21.722969121223453,0.04608448306769887,-0.03467901667004528,1.6527614883411617,0.6069794430534534,-1.0953481079489822,,1.536808771955785,2.5382306032460833,0.04727057086720214,1.0257372486474654,0.14358227495662976,0.14358227495662976,0.0,-0.7713251225909453,-2.6622762002508837,-0.49799483027331126,0.013596481834472025,9.227936187887268,,0.01328193404431714,-14.882686157763889,,2407556000.0,,3639375000.0,8224500.0,6.74235E7,0.0,6.662990012350703,129.09328785118012,0.0,54.7802111849824,2.8274126879530344,0.0,0.03616575376705396,-1.217462753151999
