,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,9.281388209040104,1.376277243663839,1.466416529568235,1.03764587229327,0.30435060047642615,4.638518928701895,6.612360473129627,4.638518928701895,0.6194848525889438,2.076843553193381E10,2.093563253193381E10,26.259243307540537,3.8938139625276658,24.64511158411512,34.828837048354536,7.7912798364097435,7.7912798364097435,3.925161244902003,17.355245404902437,24.843517897156534,35.10922779126918,0.038081828493239274,0.028711840094219978,0.4255327130852341,0.2985078554698808,0.13860316670811573,4.511107031393427,76.05755395683454,1.0654950056897206,0.02400758589800114,0.6304210393222911,0.2736186887151508,0.2736186887151508,0.0,-3.4200487012987013,-21.64650974025974,-0.6034902597402597,0.0010686765284886664,11.984885524368545,0.32477267141803884,0.20813705623832207,0.4875004043651846,1.9125E9,,1.3229E9,,7.2805E8,1.932E8,1.32255E9,50.76344751298348,24.9696625625377,176.96341766313026,7.190212995416554,14.617738589211617,2.0625731850117095,0.2967061824729892,-0.42877065727496516
1,2018-12-31,8.67566257968191,1.3138165784501477,1.1780491251377703,0.8699950450995192,0.2921533873079727,4.023574192309024,5.803752846551623,4.023574192309024,0.8904387928955915,1.7223431428147892E10,1.7553231428147892E10,22.90654532271298,3.4688992020599563,25.546472008525498,34.59214988581621,7.4796679672332,7.4796679672332,3.5353228390461204,15.427343494592979,26.03564436094318,35.25453189023477,0.04365564452918399,0.028908292872829772,0.44243713901072657,0.30672888755080535,0.28985761996836,5.295381801554641,79.3015873015873,0.8966617901316665,0.025656908255680812,0.5877111317994415,0.2820084187629655,0.2820084187629655,0.0,-3.824163357912649,-28.162790697674417,-0.7838910947249007,0.001027169644115929,10.905978441469365,0.34645123262022814,0.22637362637362637,0.565217206695254,1.8788E9,3321500000.0,1.2974E9,3216900000.0,7.143E8,1.936E8,1.2787E9,52.510422750800586,27.536435196009666,181.87417192736342,6.9510009799804005,13.255165289256198,2.0068819895206067,0.32652972597385677,-0.30805408003825113
2,2017-12-31,7.634324465310381,1.0060858981046774,1.0175621631020693,0.809076682316119,0.20326899669622675,3.6461484959137542,5.060858981046774,3.6461484959137542,0.7322204833941923,1.60539170751E10,1.63490170751E10,27.746140814206708,3.6565122594465325,27.43321441404648,34.502293305609285,7.656024166674615,7.656024166674615,3.723725560892837,16.193558909568146,27.937486457792208,35.1365077908876,0.03604104825590647,0.02898358063165102,0.3880013353044971,0.27953959800721523,0.29229397781299526,5.514814814814815,96.9010989010989,1.0114068441064639,0.022991273610879843,0.6379191151054269,0.2921762897164332,0.2921762897164332,0.0,-4.8807339449541285,-36.618015012510426,-1.0625521267723104,0.001184375355882018,9.08502163690457,0.34452041414338735,0.19879745748153238,0.5313858459398365,1.5847E9,2910500000.0,1.1221E9,2857600000.0,6.6105E8,1.7055E8,1.1858E9,50.52886914929963,24.17598455251695,179.13175266064934,7.2235932872655475,15.097627118644068,2.037606368377711,0.27593113643950595,-0.20848548078595028
3,2016-12-31,6.849993084370678,0.8635511756569848,0.8988589211618258,0.5712309820193637,0.19490836791147995,3.342140387275242,4.614253112033195,3.342140387275242,0.667396265560166,1.451784E10,1.4784623E10,29.06602493002695,3.664237275986387,27.924293133294864,43.94019370460048,7.510157291885444,7.510157291885444,3.731572100808776,16.423107128932177,28.437436045393344,44.747648305084745,0.034404429309043215,0.022758206454954733,0.38062815362315544,0.27569201209194555,0.2963488341351628,6.242726125001814,122.36146986469865,1.0408866856998706,0.02387407493125699,0.6939244571332471,0.2951689484901197,0.2951689484901197,0.0,-2.7435356200527705,-20.907841688654354,-0.5488126649076517,0.0010348214907688876,8.058378147273189,0.3325362270394946,0.18714863590924147,0.4291606154910097,1.445126E9,2668900000.0,9.8498E8,2670500000.0,6.07008E8,1.5117E8,1.1358445E9,46.0360127974607,19.87228496654665,181.46919603316346,7.928575430844719,18.367288946109987,2.011360649513741,0.25838267564846823,-0.32762793914246197
4,2015-12-31,6.671012068965517,0.8902775862068966,0.9487931034482758,0.6812068965517242,0.22244655172413794,3.1056706896551725,4.366313793103449,3.1056706896551725,0.5276862068965518,1.176240058E10,1.193633158E10,22.77941320122937,3.0400186344056257,21.374524041431947,29.770692432295622,6.5299907899287675,6.5299907899287675,3.084971488842488,13.034800268201911,21.69058982373251,30.210912629713995,0.04389928709603597,0.03359008200008097,0.4059165408771163,0.2887202256144416,0.18993740499362255,4.461221011560538,266.6521879021879,1.065727272199101,0.02780894918305869,0.6334715441328838,0.28987743420000117,0.28987743420000117,0.0,-3.5457474226804124,-24.93032860824742,-0.5579896907216495,0.0015096194626933255,7.887360307203139,0.3838079633361985,0.2038968403079691,0.3547564655172414,1.29161E9,2532462000.0,9.33603E8,2395277000.0,5.913375E8,1.597865E8,1.0959815E9,44.18418520479884,23.944836956380225,173.5922271700656,8.260874299439552,15.243369610948378,2.102628706079191,0.2866619404215537,-0.2675862068965517
5,2014-12-31,6.289588948787062,0.8325471698113207,0.8413072776280324,0.5220687331536388,0.19289083557951484,3.2264150943396226,3.974225067385445,3.2264150943396226,0.0015414420485175202,1.31779205936E10,1.30634205936E10,26.665157008498586,3.5296425856702824,26.38750619463356,42.523138411100355,6.880702064327486,6.880702064327486,3.498974311932503,15.172399263646067,26.158231064477373,42.15366438722169,0.037502123076990884,0.02351660854220857,0.23177736006683375,0.18816497816964098,-0.13298505573177205,4.217634523175279,860.7540983606557,1.010522055847835,0.022507344606708814,0.6001618777822744,0.2975224320342842,0.2975224320342842,0.0,-2.6353562005277045,-19.701846965699207,-0.38311345646437994,0.0018853622606133655,7.774201695167936,0.3970308010283813,0.20948666864482218,0.7610764824797843,1.2079E9,2359102000.0,1.1394E9,1959253000.0,5.882E8,1.4875E8,1.07395E9,45.17650997723317,20.65437612330483,172.78906377648275,8.079420038952607,17.67179980750722,2.1124022089277497,0.2580409356725146,-0.31923854447439354
6,2013-12-31,5.587266924239879,0.7535696287586091,0.6989753065681169,0.3520913824962204,0.09826977994288594,2.9778263060641694,3.4869813539391905,2.9778263060641694,1.898202586930959E-4,1.31739884047E10,1.31154884047E10,29.366893456754347,3.9607914388322665,31.660630628935355,62.85299811402672,7.431594970779038,7.431594970779038,3.94320327251135,16.863481481333856,31.520039424897863,62.57389506059161,0.03405195042072117,0.015910140009324916,0.17098211767360524,0.14601599383370267,-0.0752174555927714,5.8736447039199335,6306.699115044248,0.927552385198395,0.018027949676596697,0.5294248773963441,0.3028772436186525,0.3028772436186525,0.0,-2.0150121065375304,-16.107021791767554,-0.3108958837772397,0.0016235230450076666,7.105630720723455,0.3881574074074074,0.21610945177762791,0.7704938686376617,1.1687E9,2075784000.0,1.1054E9,1777446000.0,5.643E8,1.4245E8,1.0314E9,45.464507982321635,20.740959731125912,178.1269060807867,8.028240405503258,17.59802847754655,2.049100879989797,0.2530603034918486,-0.3468839240718965
7,2012-12-31,5.269211367075837,0.7070791995964352,0.6663864133176391,0.4336640322851858,0.13384899949554396,2.6238439549352615,3.0533041869850344,2.6238439549352615,8.407600470825626E-4,1.4692063499999998E10,1.4612463499999998E10,34.93950891795481,4.688557410007658,37.07308478425435,56.968063202791775,9.415575173032556,9.415575173032556,4.663155316568802,20.05226088519717,36.8722268483472,56.6594164404808,0.028620894539422594,0.01755369489112268,0.16374006664957702,0.14070932922127988,-0.10923277696890023,6.301175318315377,1347.382,0.9424494649227111,0.024999891948465924,0.8734839476813318,0.30035741639009444,0.30035741639009444,0.0,-2.8634393063583814,-22.641618497109828,-0.3908959537572254,0.0015317845289762573,6.460918926842784,0.41802618515760737,0.23157836766163675,0.7757692954430806,1.0825E9,1815832000.0,1.0312E9,1532047000.0,5.4325E8,1.358E8,9.9705E8,43.35365075312739,18.74136001579883,171.89190968336516,8.419129500268673,19.475641025641025,2.12342745317305,0.26948218405537044,-0.23272238103245335
8,2011-12-31,4.669873417721519,0.6040506329113924,0.4531645569620253,0.25063291139240507,0.19864978902953587,2.462447257383966,2.843713080168776,2.462447257383966,8.438818565400844E-4,1.38141380925E10,1.36964380925E10,38.597759409052806,4.992640895044996,51.44930388268156,93.02449893939394,9.468223504112405,9.468223504112405,4.950102313961473,22.082053895029762,51.01094261638734,92.23190634680135,0.025908239631273977,0.01074985634323606,0.1549006168608636,0.13413258947118523,-0.18976158077684555,6.582002129925453,1149.218,0.7502095557418273,0.013877087279450187,0.5356244761106455,0.31060031081716,0.31060031081716,0.0,-2.2375,-23.0575,-0.3725,0.0014637319744117965,5.785107047195273,0.3838147084363102,0.2124161671315805,0.8370464135021097,1.0483E9,1684948000.0,1.0101E9,1379454000.0,5.2645E8,1.337E8,9.6245E8,44.666955798908525,20.212350866661666,176.98131612515945,8.17158889545186,18.058265582655828,2.0623645930052614,0.2453050034270048,-0.20253164556962025
9,2010-12-31,3.844655260037269,0.4496018973403354,0.40741995595459934,0.2827375910553956,0.24343554125021175,2.1726240894460442,2.4873792986616974,2.1726240894460442,0.001694053870913095,8.523932E9,8.380232E9,32.11730218538056,3.755863406036572,35.4425446985447,51.0720910724985,6.646340740740741,6.646340740740741,3.6925454946023355,17.736541343198923,34.8450395010395,50.21109646494907,0.03113586546678223,0.01958016558555371,0.14487329434697857,0.12654089763672274,-0.3041372829556133,6.693588162762023,429.689,0.9061793519216277,0.021445501911559126,0.6887716654107008,0.32831020048468823,0.32831020048468823,0.0,-3.2676630434782608,-30.835597826086957,-0.5543478260869565,0.001775721524564882,4.688108151322967,0.32898629507694666,0.18075325206020568,0.7882009147890903,9.235E8,1468283000.0,8.999E8,1162405000.0,4.922E8,1.2705E8,9.1805E8,43.43974443710068,20.174036177599124,185.86789694865703,8.402443539429841,18.092561983471075,1.9637603157517043,0.20693957115009748,-0.1246823648992038
