,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-06-30,18.33977455716586,2.5684380032206118,4.064412238325282,3.685990338164251,5.207729468599034,16.017713365539453,22.491143317230275,16.017713365539453,11.198067632850242,2.2979484E10,2.6496484E10,14.4072,2.01769110545263,9.104391442155308,10.039093053735256,2.3101924198250727,2.3101924198250727,2.326497848801475,10.709977364591754,10.497814580031696,11.575571865443425,0.06940973957465711,0.09961059177830103,0.9612948627726953,0.4901327592393254,1.421584478577203,3.7838785046728973,10.955665024630543,1.5824451410658307,0.008181210683407861,0.11786833855799372,0.12459390640091317,0.12459390640091317,0.28407401712030345,10.740425531914894,48.46382978723404,1.0638297872340425,0.003160944771270524,30.42468297265874,0.12496488172163848,0.11419775184363141,-6.905394524959743,4.766E9,4.405E9,-3.084E9,,1.9E9,9.305E8,,63.03933620159804,85.28456394158592,56.2419817114781,5.790035587188612,4.2797897196261685,6.489813994685562,0.16034985422740525,0.3784219001610306
1,2018-06-30,,,0.7109,1.984,1.3495,10.561,18.872,5.1788,10.5384,,,,,,,,,,,,,,,2.0349,1.4879,,2.345,-51.3023,,,0.149,,,0.2094,0.1632,,,,,0.0432,,,11089000000.0,3860000000.0,2328000000.0,38619000000.0,1763000000.0,184000000.0,0.0,,,,,,,,-0.1161
2,2017-06-30,,,0.8942,1.847,0.0103,8.494,17.022,3.292,10.7588,,,,,,,,,,,,,,,3.2682,1.9243,,2.225,-109.8261,,,0.226,,,0.3142,0.1154,,,,,0.0484,,,9048000000.0,92000000.0,-1294000000.0,37870000000.0,846500000.0,109500000.0,0.0,,,,,,,,-0.1032
3,2016-06-30,,,0.5791,1.52,0.0,7.212,15.142,0.0,10.3223,,,,,,,,,,,,,,,0.0,0.0,,2.115,-108.8889,,,0.211,,,0.0,0.0975,,,,,0.0467,,,7881000000.0,0.0,0.0,36744000000.0,3153000000.0,1858500000.0,4580000000.0,,,,,,,,-0.0565
4,2015-06-30,,,1.758,1.552,4.0963,8.37,15.167,8.3695,9.2536,,,,,,,,,,,,,,,1.1056,0.3805,,2.464,8.9708,,,0.07,,,0.3764,0.1172,,,,,0.0998,,,10306000000.0,31206000000.0,-14505000000.0,34775000000.0,6614000000.0,3950000000.0,9347000000.0,,,,,,,,-0.2061
5,2014-06-30,,,1.3313,1.027,2.4322,7.824,12.877,7.8235,8.5602,,,,,,,,,,,,,,,1.0942,0.3478,,1.736,6.1615,,,2.058,,,0.4768,0.2287,,,,,0.0906,,,6520000000.0,28669000000.0,-18516000000.0,33456000000.0,6409000000.0,4308500000.0,8844500000.0,,,,,,,,-0.3045
6,2013-06-30,,,1.297,1.028,2.877,7.344,12.367,7.344,7.1107,,,,,,,,,,,,,,,0.9682,0.3231,,1.846,9.2662,,,0.056,,,0.4381,0.2072,,,,,0.1022,,,7132000000.0,28625000000.0,-15252000000.0,29989000000.0,6445500000.0,4919500000.0,7673000000.0,,,,,,,,-0.2687
7,2012-06-30,,,1.1703,0.937,3.9751,10.193,15.013,10.1933,6.3822,,,,,,,,,,,,,,,0.6261,0.2728,,2.022,3.2025,,,0.383,,,0.3584,0.199,,,,,0.0799,,,9831000000.0,36356000000.0,-12030000000.0,32568000000.0,6837500000.0,5589000000.0,6860500000.0,,,,,,,,-0.2329
8,2011-06-30,,,1.1566,0.92,4.8275,11.448,14.732,11.4478,5.8992,,,,,,,,,,,,,,,0.5153,0.25,,2.276,4.5468,,,0.144,,,0.3757,0.2047,,,,,0.0584,,,12213000000.0,38696000000.0,-9549000000.0,31940000000.0,6728500000.0,5488500000.0,6088000000.0,,,,,,,,-0.2368
9,2010-06-30,,,1.4716,1.123,3.3253,9.589,12.344,9.5888,5.0859,,,,,,,,,,,,,,,0.5304,0.2449,,2.034,4.2472,,,0.139,,,0.4055,0.2372,,,,,0.0634,,,9162000000.0,32329000000.0,-10819000000.0,28078000000.0,6673000000.0,5241500000.0,5650500000.0,,,,,,,,-0.349
10,2009-06-30,11.6429,-1.2928,0.8603,0.439,2.5029,8.888,11.41,8.8879,5.4684,24407827624.0125,32156827624.0125,0.0,0.8023,10.8576,21.2719,1.0506,0.8184,1.057,0.0,14.3046,28.0356,-0.1382,0.047,0.6153,0.269,-2.1877,1.488,-5.0485,-0.6655,0.0129,-0.093,0.2026,0.0,0.4388,0.4898,0.0362,-0.9675,0.0,0.0,-0.0939,-0.2952,-0.5594,5197000000.0,29814000000.0,-13653000000.0,26924000000.0,7009000000.0,5487000000.0,5487000000.0,78.8116,63.3348,67.8459,4.3406,1.3978,5.5446,-0.1455,-0.4214
