,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,98.34768568353068,22.782561894510227,64.23035522066739,41.50968783638321,359.3810548977395,242.90904198062432,2672.1420882669536,242.90904198062432,604.0150699677072,8.906802364E10,1.6259802364E11,10.520673711315851,2.4371483511191374,3.7316919574325453,5.774264093354943,0.9867393080374454,0.9867393080374454,4.449133246866962,13.23333797021242,6.81238577342048,10.541200884278767,0.09505094706286894,0.1731822417251067,10.000587160028804,0.9090957613941235,5.984373728330756,,0.6090584714548803,2.819277108433735,0.02362239459252023,0.2485235057878573,0.3380123679746073,0.3380123679746073,0.0,2.826957242686249,4.3285562004027005,0.201823996209878,0.05521808132216932,352.86970879114085,,0.008525954512129293,-1914.2357373519915,,,-7.1133E11,,,,,0.0,,,,,,0.09379050573311914,22.720667384284177
1,2018-12-31,95.00778412039439,27.138038401660612,52.98650752464972,32.2755578619616,338.73118837571354,234.0036325895174,2417.737415672029,234.0036325895174,622.8879086663208,7.506828908E10,1.6867028908E11,7.1773868515154415,2.0501499093292552,3.676033939572009,6.034913504300989,0.8323810953040971,0.8323810953040971,4.606464088922875,12.214518725468897,8.259648845795994,13.559794925637108,0.13932647364393613,0.16570245775474918,9.33205078449853,0.9032137935771349,6.7783329712506335,3.799775513728199,0.784376571141277,1.9524811167415623,0.0241113794144301,0.1730566975810307,0.33668341708542715,0.33668341708542715,0.0,2.558381358055625,4.587321473314959,0.16637434227010775,0.05000546209307406,377.9999871232856,0.013913382754584471,0.011224559882205977,-1845.0025947067982,9.7281E10,931796000000.0,-7.11064E11,1286761000000.0,82051500000.0,5.826E9,0.0,0.0,1796.6401,0.0,0.4463,0.0,0.0,0.11597272273659699,20.710949662688115
2,2017-12-31,79.86304780876495,10.672310756972111,-44.17828685258964,-52.10906374501992,274.03137450199205,204.78834661354583,2282.808764940239,204.78834661354583,567.4003984063745,1.0248735616E11,2.1012335616E11,23.912122295846945,3.1954402818570133,-5.7765390688761125,-4.897374499928322,1.2461529389735295,1.2461529389735295,6.551409477130297,17.10545068056008,-11.843273371660466,-10.040777758876093,0.04181979280750333,-0.20419104154984186,10.147161460549833,0.9102910634658848,8.762292412894823,3.1018846026307063,1.0934092918180924,-4.139524031731218,0.017260665766792672,0.4127391507232851,0.3695631839865307,0.3695631839865307,0.0,-5.570486656200942,10.070015698587127,0.36169544740973314,0.055155426682879684,221.7548413800503,0.012641553144035577,0.004675078754243131,-1803.9890438247012,7.6063E10,916776000000.0,-7.24482E11,1307563000000.0,75306000000.0,5.433E9,0.0,0.0,1986.9137,0.0,0.4346,0.0,0.0,0.05211385771433435,7.930776892430279
3,2016-12-31,71.61441272812354,17.309312119794104,13.03228825456247,6.303228825456247,284.7707065980346,203.30603649976604,2012.5526438933084,203.30603649976604,459.0313523631259,9.36805238E10,1.610555238E11,12.66295266288186,3.060654854939885,16.818765493716338,34.77376533036377,1.0781135856743351,1.0781135856743351,5.261876757710403,14.250179065652096,28.914815763016158,59.78304521158129,0.0789705234333884,0.02875731145303438,8.899128813598333,0.8989810094574878,5.961334277119094,4.255629370629371,1.4504504504504505,0.7529061908623953,0.01821082900477975,0.230602865639362,0.3805214323052797,0.3805214323052797,0.0,1.9367176634214187,10.642559109874826,0.347009735744089,0.06896889702038683,281.3884715767258,0.012391093901258471,0.008600675451802852,-1524.4759007955076,9.3111E10,860165000000.0,-6.51561E11,1184811000000.0,68853500000.0,4.8265E9,0.0,0.0,2234.0395,0.0,0.4472,0.0,0.0,0.08513919418134948,6.729059429106224
4,2015-12-31,75.33971931387838,13.550902205390956,15.506794386277567,11.423479616841167,167.30897750055692,193.20115838716865,1918.9017598574292,193.20115838716865,402.7845845399866,6.692210177999999E10,1.6723910178E11,11.00149626500082,1.9787729680662327,9.613863206435857,13.050331860374413,0.7716320194170279,0.7716320194170279,4.944976397989356,17.119367568840207,24.025154687544894,32.61292936427457,0.09089672676445938,0.07662640388757977,8.932144174891615,0.8993168058788361,10.268911864059781,1.1345166163141993,1.6291759465478841,1.1443366759822455,0.02511875681260171,0.27634390925530167,0.3748669426374926,0.3748669426374926,0.0,3.7975995635570103,18.4506273867976,0.5406437534097108,0.06717918391484329,242.70584062530787,0.011038801803331258,0.007061800915956095,-1558.3916239697037,8.905E9,861395000000.0,-6.99562E11,1215849000000.0,83181000000.0,6.894E9,0.0,0.0,2270.3173,0.0,0.4066,0.0,0.0,0.07013882483165759,4.0833147694364005
5,2014-12-31,75.24079320113314,18.472434081499237,-16.611462192198736,-18.08890825887993,125.51754194813685,180.42492917847025,1865.8531270429287,180.42492917847025,377.26737851383746,7.205656978E10,1.8202756978E11,8.500244164209036,2.0869025075301204,-9.452521288206741,-8.680468591735936,0.8702799591772649,0.8702799591772649,5.27188281336886,13.292505460785746,-23.878731441689624,-21.928390528851946,0.11764367948518241,-0.11520115411189089,9.34143749169656,0.9033016443987667,8.030597341901563,0.8764188551778704,2.2236818427208926,-0.8992568125516103,0.02017859029980597,0.17152294443789076,0.367556765523633,0.367556765523633,0.0,-11.243362831858407,50.926253687315636,1.971976401179941,0.060385773864689525,273.8429682234699,0.015631522621875782,0.009900261608894702,-1559.9106559163217,-8.122E9,855842000000.0,-7.15843E11,1207044000000.0,96179500000.0,5.092E9,0.0,0.0,2257.6975,0.0,0.359,0.0,0.0,0.10238293657982778,1.4774460666811942
6,2013-12-31,72.578,17.0592,9.6393,8.273,235.1029,166.491,1934.027,166.4906,1148.7885,80339791937.16,1.61814E11,10.8482,2.3487,17.6843,-0.0,1.0552,1.0552,-3.4263,0.0,-35.7234,-0.0,0.0922,0.0485,-1.0,0.594,0.0,0.9589941487442546,1.7601979604079183,0.0,0.0116,0.0,0.6569,0.0,0.0,0.0,0.0,0.0,0.0589,248.5172,,,0.7544,-2.614E9,911507000000.0,-1.64916E11,1342127000000.0,94617000000.0,199625000000.0,0.0,1044.4425,2184.9741,0.0,0.3615,0.044,0.0,-0.0355675096992245,-1.3664
7,2012-12-31,68.8493,15.0645,25.9553,24.117,246.5538,152.592,1891.485,152.5917,1120.1834,59946008167.2,1.67305E11,8.7191,1.7547,4.6546,5.2892,0.8112,0.8112,-3.4263,0.0,-35.7234,-307.5544,0.1147,0.1996,-1.0,0.5922,,0.0,0.0,1.7662,0.0139,0.121,0.672,0.0,0.0,0.0708,0.0267,-0.5247,0.0386,227.5143,,,0.7544,,938555000000.0,,1372050000000.0,82909500000.0,196388500000.0,0.0,976.0328,2077.892,0.0,0.4121,0.047,0.0,-0.0,-1.838
8,2011-12-31,54.9199,8.4674,42.8917,40.783,229.2642,134.157,1759.865,134.1575,1099.207,46946979313.92,1.73545E11,20.2463,1.6295,2.0864,2.3382,0.6884,0.6884,-3.4263,0.0,-35.7234,-307.5544,0.0494,0.4557,-1.0,0.6246,,0.0,0.0,8.9645,0.0147,0.297,0.7859,0.0,0.0,0.0492,0.0384,-0.5918,0.0989,121.157,,,0.7544,,923225000000.0,,1379597000000.0,76302500000.0,194398000000.0,0.0,943.3801,2512.1162,0.0,0.3776,0.0311,0.0,-0.0,-2.1083
9,2010-12-31,72.2528,15.4133,-9.8838,-12.015,172.5443,142.723,1681.424,142.7232,1060.6863,85970682072.32,1.74399E11,11.8841,2.1953,-16.0483,0.0,1.1763,1.1763,-3.4263,0.0,-35.7234,-307.5544,0.0841,-0.0757,-1.0,0.6308,,0.0,0.0,-0.6945,0.0083,0.099,0.6708,0.0,0.0,0.0,0.0295,-0.6066,0.103,213.3429,,,0.7544,,911332000000.0,,1392705000000.0,73020000000.0,188069000000.0,0.0,728.3037,1775.592,0.0,0.5363,0.046,0.0,-0.0,-2.131
