,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,63.03576795912233,3.8262699128343853,5.0646227832882476,3.1018935978358884,0.6762849413886384,2.113014727983168,22.12804328223625,2.113014727983168,34.06672678088368,4.748883279E10,5.820383279E10,37.30466047918303,2.2643921795727637,28.183283554896143,46.016310843023255,67.55168248933143,67.55168248933143,2.7753115005721916,26.420260004539266,34.542334,56.39906278100775,0.026806302139059168,0.02173142482915087,34.63442389758179,0.9719372480140513,4.863822060826146,0.4683240976486446,4.568527918781726,1.3236449332285938,0.012887240305659237,0.4807541241162608,0.04472630173564753,0.04472630173564753,0.7061195161869785,2.580398162327718,32.11638591117917,0.6171516079632465,0.008916650772458515,13.48746474615609,0.09796451507565038,0.17291496875848955,-67.1077547339946,-3.55E9,-1.6986E10,-2.1221E10,,2.264E9,7.435E8,,41.68295823002098,15.986373867023541,0.0,8.756576200417536,22.831944444444446,,1.8108108108108107,1.9627291854523594
1,2018-12-31,59.29163096258212,5.447015138531848,6.732362182233648,5.14424450157098,0.9025992573550414,6.355327049414453,17.92916309625821,6.355327049414453,27.66923736075407,3.906664371E10,4.809764371E10,20.485916995280547,1.882004225358898,16.5747321637675,21.691640038867295,17.558042116853933,17.558042116853933,2.3170654065902303,18.15005423018868,20.40629771319474,26.70607646307607,0.048814021858546795,0.04610070968392386,9.649887640449439,0.9061022957461174,3.4079245283018866,0.42038216560509556,6.958823529411765,1.2359727320398533,0.013899325573776041,0.2847404299947562,0.04465748145293381,0.04465748145293381,0.7351029709655638,4.239208633093525,37.33453237410072,0.5107913669064749,0.008864052413527316,27.908693261971848,0.13708789617011413,0.3038075513780468,-55.85618394744359,-3.731E9,-1.5194E10,-1.8765E10,8871000000.0,2.133E9,7.67E8,0.0,37.505780903747954,17.74337685384713,0.0,9.731833098921706,20.571056062581487,0.0,0.8570786516853932,1.5881176806626678
2,2017-12-31,61.018123667377395,3.656716417910448,6.492537313432836,5.349147121535181,1.0207889125799574,9.944029850746269,15.82089552238806,9.944029850746269,22.723880597014926,5.360722527999999E10,6.146222527999999E10,39.07232163265306,2.3415403721499084,22.006250114942528,26.71012719481813,14.368058236397747,14.368058236397747,2.6846433685681834,23.20204804832012,25.230798555008207,30.623928888888884,0.02559356491282289,0.03743898307582765,5.418654516215492,0.8442041089026223,2.965269913174783,0.45707154742096506,8.190972222222221,1.7755102040816326,0.008991325282784717,0.35131195335276966,0.03904953262863632,0.03904953262863632,0.752129614164022,5.678321678321678,53.365967365967364,0.675990675990676,0.007906001572464402,28.60342964308385,0.131508529378972,0.23113207547169812,-48.882595948827294,-3.263E9,-1.4281E10,-1.747E10,8143000000.0,2.062E9,7.735E8,0.0,31.74259631344457,13.9739,0.0,11.498744349573078,0.0,0.0,0.3677298311444653,1.1433901918976546
3,2016-12-31,58.68683396356136,2.68133379168099,5.438294946717085,4.479202475077346,2.949467170849089,18.41526297696803,24.998281196287383,18.41526297696803,30.044688896528015,2.376199196E10,3.140999196E10,30.464092256410254,1.391869257263355,15.020222477876105,18.23637141980046,4.435690117603136,4.435690117603136,1.8398542619493907,20.449213515625,19.854609329962074,24.10590326937836,0.03282553084409006,0.05483547011519147,3.5062535000933357,0.7780861640430821,4.979166666666667,0.654944627938605,5.846153846153846,2.028205128205128,0.015739421199602158,0.4794871794871795,0.041237113402061855,0.041237113402061855,0.6987572493786247,5.670250896057348,61.18996415770609,0.6021505376344086,0.012417994376757264,33.331561699293594,0.0720265360922445,0.10726072607260725,-57.24905465795806,-1.776E9,-1.1511E10,-1.5412E10,9773000000.0,1.914E9,7.27E8,0.0,36.23916354264292,16.2754,0.0,10.07197640117994,0.0,0.0,0.1456038827702072,0.9590924716397388
4,2015-12-31,54.19378974934531,3.2136176580621023,5.349794238683128,3.756079311634867,0.35914702581369246,-13.430602319491209,13.797231575009352,-13.430602319491209,15.989524878413768,1.543769766E10,1.944869766E10,17.971708568102446,1.065697753693221,10.795592769230769,15.376192888446216,-4.300194334261838,-4.300194334261838,1.342585783515118,13.061583384822029,13.600487874125875,19.37121280876494,0.05564301224953514,0.06503560453845551,-2.694150417827298,1.5902663597500821,2.6937541974479515,0.4280853696257346,8.083832335329342,1.6647264260768335,0.016388454131702434,0.29452852153667053,0.043766395140135306,0.043766395140135306,0.39362051956593225,3.356807511737089,34.00469483568075,0.32629107981220656,0.007800635095954715,31.162773743319967,0.47385047385047385,0.2329175704989154,-32.730078563411894,-1.849E9,-5.984E9,-8.288E9,4466000000.0,1.618E9,6.8E8,0.0,27.792006074830873,14.9417,0.0,13.133272892112421,0.0,0.0,-0.2392757660167131,1.5937149270482605
5,2014-12-31,47.58882373232149,2.5974473956536737,4.222145567437047,2.5802000689893068,0.35874439461883406,-7.58882373232149,15.93652983787513,-7.58882373232149,13.439116936874784,2.010488389E10,2.378188389E10,26.69971300132802,1.4572980494346188,16.425558733660132,26.878187018716577,-9.138583586363637,-9.138583586363637,1.7238245788634388,18.195779563886763,19.429643700980392,31.793962419786098,0.03745358610971814,0.037204890318816956,-4.120454545454545,1.3204661325564457,2.8133129303749045,0.6277777777777778,10.078260869565218,1.6254980079681276,0.011091832274192756,0.2961487383798141,0.047767468831545375,0.047767468831545375,0.32702112163146396,2.5714285714285716,28.983193277310924,0.31092436974789917,0.007900840823427081,21.059685061530434,0.30459921156373193,0.16298701298701299,-28.06484994825802,-1.139E9,-4.445E9,-7.144E9,5217000000.0,1.6165E9,6.86E8,0.0,29.102638445926356,16.0065,0.0,12.541818181818181,0.0,0.0,-0.3422727272727273,1.6419454984477406
6,2013-12-31,41.91475409836065,2.0524590163934424,3.737704918032787,2.2131147540983607,0.4131147540983607,-4.639344262295082,15.701639344262295,-4.639344262295082,10.731147540983606,1.38314755E10,1.68584755E10,22.095008785942493,1.0819364439924908,12.132873245614034,20.491074814814816,-9.774894346289752,-9.774894346289752,1.3187167944305382,15.119708968609865,14.788136403508773,24.975519259259258,0.04525909039856232,0.04880173485467982,-5.801413427561838,1.2082720047100384,2.7147982062780267,0.7114018691588785,8.233333333333333,1.8210862619808306,0.014170577824469992,0.31309904153354634,0.05678973717146433,0.05678973717146433,0.29511333529584927,2.4516129032258065,27.49247311827957,0.2731182795698925,0.009073842302878598,14.637159530771887,0.23986404467103667,0.1307162246815619,-23.84344262295082,-7.72E8,-3.42E9,-6.306E9,5141000000.0,1.607E9,6.62E8,0.0,30.86397058823529,15.9031,0.0,11.826086956521738,0.0,0.0,-0.44240282685512367,1.5245901639344261
7,2012-12-28,36.62120272783633,1.7699938003719777,3.065716057036578,0.9268443893366398,0.2727836329820211,-3.9832610043397394,13.493490390576566,-3.9832610043397394,9.522628642281463,1.156040326E10,1.440740326E10,20.24589012259194,0.9785342187235483,11.688982062689584,38.663556053511705,-8.996422770428016,-8.996422770428016,1.219519490435077,13.278712682027649,14.567647381193124,48.18529518394649,0.049392740647353515,0.0258641496559697,-5.935408560311284,1.2026174708293913,2.623963133640553,0.5319148936170213,6.861313868613139,1.7320490367775832,0.01652191499762613,0.3345008756567426,0.054596241747079735,0.054596241747079735,0.31362346263008517,1.4333333333333333,17.121739130434783,0.21014492753623187,0.006517690875232775,12.594951919966107,0.2633790977864948,0.1311739030553641,-19.91940483570986,-1.298E9,-3.274E9,-6.152E9,4427000000.0,1.5805E9,6.68E8,5500000.0,31.760622989673266,17.5796,0.0,11.492217898832685,0.0,0.0,-0.4443579766536965,2.138871667699938
8,2011-12-30,35.181376749500146,0.5655526992287918,3.1105398457583546,2.376463867466438,0.2913453299057412,-2.2307912025135677,11.965152813481863,-2.2307912025135677,6.669522993430449,1.081749483E10,1.288649483E10,54.63381227272727,0.8782572728748883,9.933420413223141,13.001796670673077,-13.850825646606912,-13.850825646606912,1.0462364885930016,18.568436354466858,11.833328585858586,15.488575516826923,0.01830368334920665,0.07691244720474713,-8.567221510883483,1.1321489001692047,2.9812680115273773,0.5175918686473807,3.207317073170732,5.5,0.012387341256533792,0.6767676767676768,0.06105382804254283,0.06105382804254283,0.29120135363790184,4.237354085603113,47.9260700389105,0.6536964980544747,0.0069822196963546315,5.32791466569626,0.15692124105011934,0.047266650751969445,-16.930162810625536,-1.234E9,-2.502E9,-5.367E9,3700000000.0,1.504E9,6.575E8,750000000.0,25.929609482828614,16.2393,-0.3637,14.076571428571429,0.0,0.0,-0.2535211267605634,0.7340759782919166
9,2010-12-31,32.22436604189636,1.2624035281146637,3.1725468577728777,2.1719955898566705,1.3919514884233737,4.368798235942668,20.231532524807058,4.368798235942668,8.293825799338478,1.16551314E10,1.39791314E10,25.44788515283843,0.9969319476520402,10.126091572545613,14.790775888324873,7.3533952050473195,7.3533952050473195,1.1957173381233428,16.012750744558993,12.14520538662033,17.740014467005075,0.039295996268218815,0.06760970536977387,4.667507886435331,0.8235556050317266,2.6620847651775486,1.3522590963614554,3.861111111111111,2.513100436681223,0.003689362095051112,0.09388646288209607,0.06671798819604824,0.06671798819604824,0.182901035288879,3.1707988980716255,32.20661157024794,0.4903581267217631,0.007783765289538961,11.139645052702116,0.10721999382906511,0.06239782016348774,-14.106945975744212,8.81E8,-5.8E7,-4.016E9,7163000000.0,1.5355E9,7.005E8,1466500000.0,29.284920023950047,19.7939,-53.1994,12.463752665245202,0.0,0.0,0.2889589905362776,1.0005512679162072
