,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,13.434991974317818,-0.6918138041733547,4.193151417870519,4.061530230069556,1.1326912787586945,3.3290529695024076,16.804173354735152,3.3290529695024076,15.71107544141252,8.54439516E10,1.113689516E11,-66.08194245939676,3.4027858064516128,10.90263514099783,11.255954630483467,13.732554098360657,13.732554098360657,4.435242994822779,10.554297915087187,14.210661171366594,14.671183190620471,-0.015132727077664792,0.08884186484652239,6.918836387013822,0.8737188204014532,2.456880212282032,0.5901639344262295,7.81089258698941,-6.0610982211910285,0.07102901827869113,-4.693735498839907,0.007925129430505775,0.007925129430505775,0.3625662154208358,31.857723577235774,102.07317073170732,0.9186991869918699,1.5929908403026683E-4,7.198569856599048,0.25125921600116796,-0.04116916610946604,-21.28705189941145,-3.35E9,-1.1642E10,-3.8225E10,,,3.62E8,2.312E9,0.0,16.743119266055047,118.12914608327452,,21.8,3.089838639337113,-0.2078109932497589,0.13162118780096307
1,2018-12-31,13.441441441441441,3.6899841017488075,4.4467408585055646,4.320614732379438,0.7064122946475888,7.836248012718601,20.2241653418124,7.836248012718601,7.2808691043985165,8.04780969E10,9.21870969E10,11.557963076260233,3.172926072386059,9.591001894887379,9.870979627131117,5.442489815378373,5.442489815378373,3.6345646152026494,9.868025786769428,10.986425563103325,11.30713809640623,0.08652043559941587,0.10130706756312474,2.762629336579428,0.7342284050469103,1.2533718689788054,0.20284999764073042,13.077474892395983,1.2050840155105558,0.06728538830544836,0.7776820336062042,0.012419176785995899,0.012419176785995899,0.3140838994931522,35.2563025210084,106.57142857142857,0.9537815126050421,2.759817063554644E-4,25.50689491385765,0.2646247641167078,0.18245420957471897,-13.541335453100158,-1.6894E10,-2.688E9,-3.6552E10,41383000000.0,142000000.0,3.99E8,2.331E9,0.0,19.752475247524753,115.39603960396039,178.6197,18.478696741854638,3.163020163020163,0.47088658957192125,0.12612612612612611
2,2017-12-31,13.313899010931806,5.321186881832379,2.562207183758459,2.458615304528891,0.6522644456012493,8.004685059864654,13.271733472149922,8.004685059864654,7.611140031233733,1.136029454E11,1.262439454E11,11.113573214635101,4.4417792227087896,23.08064717594474,24.053132627567223,7.387848435975807,7.387848435975807,4.936031646856428,12.92820741423451,25.64891210889882,26.72960944315054,0.08998006137964094,0.041574626286054024,1.8095207127528126,0.6440674042868386,1.294521249359959,0.6395759717314488,13.144429160935351,0.4815104676188613,0.04231404373429212,0.47026022304832715,0.008875508289020957,0.008875508289020957,0.40986528401462896,24.733668341708544,128.52261306532662,1.050251256281407,2.3459493274945262E-4,30.957625320902878,0.2624553694040099,0.4009413610511865,-13.253253513794899,-2.448E9,-2.33E9,-2.3481E10,31344000000.0,146500000.0,3.865E8,2.278E9,0.0,18.097573909585044,107.66604799151531,174.5802,20.168449197860962,3.390112359550562,0.6647590557325876,0.10359187922956793
3,2016-12-31,13.188524590163935,7.294569672131147,1.942110655737705,1.8452868852459017,2.3406762295081966,6.542008196721311,14.657274590163935,6.542008196721311,7.497438524590164,1.137467488E11,1.230587488E11,7.988394465903505,4.418378993163456,30.004418042732787,31.578775347029428,8.907341331245107,8.907341331245107,4.780094344313238,13.725044479143431,32.460762015299395,34.16400577456968,0.12518159991575953,0.03166683916683516,2.5968676585747845,0.7219803187320387,1.0385902297568592,0.984406779661017,11.620689655172415,0.26624060678418426,0.039667067829194956,0.3168761851253599,0.008623368551895588,0.008623368551895588,0.3771009318122442,20.058201058201057,136.2116402116402,1.0793650793650793,0.001709136109384711,32.76775134487145,0.22724797053712686,0.4976757191290063,-14.122694672131148,-1.15E8,-4.551E9,-2.5902E10,30548000000.0,137500000.0,4.12E8,2.191E9,0.0,20.026465272398656,96.64536534985798,187.2291,18.225882352941177,3.7766942954656266,1.1150352388410336,0.09682377049180328
4,2015-12-31,12.96991330953595,2.6726160122386537,2.9627740948495664,2.845996940336563,1.2080571137174911,1.4686384497705252,7.76236613972463,1.4686384497705252,7.0,9.44662725E10,1.050162725E11,18.0244748139668,3.7141728591648975,16.259255163511188,16.926406110016128,32.8007890625,32.8007890625,4.128971947000078,12.23110557884929,18.075089931153183,18.816748342590934,0.055480118578829285,0.05907928673696742,10.296875,0.9114799446749654,1.2287444677381785,0.8598474145238768,10.347772277227723,1.1085670673535586,0.04423801097899782,0.797366914710933,0.009318235432885114,0.009318235432885114,0.5321346242508068,25.37117903930131,111.06550218340611,0.982532751091703,0.0020051899032790753,9.397600722180973,0.3284361865105865,0.3443042964130863,-13.396481387047425,-9.92E8,-1.4433E10,-2.3569E10,17554000000.0,124000000.0,3.995E8,2.181E9,0.0,18.863049095607234,95.77713178294573,205.1129,19.35,3.810930576070901,1.8197916666666667,0.11677715451300356
5,2014-12-31,12.39737108190091,2.56319514661274,2.357431749241658,2.2750252780586453,1.67896865520728,1.5237613751263903,8.66582406471183,1.5237613751263903,7.861476238624873,7.94556666E10,9.08276666E10,15.671729112426036,3.2401788842671886,17.039602530559726,17.6568148,26.362198606502986,26.362198606502986,3.7039257238398173,11.60292112927951,19.4783758524555,20.18392591111111,0.06380916826893754,0.05663535645171971,10.43828798938288,0.9125743292240754,1.452733776188043,0.8963899387462531,8.891481913652276,0.919723865877712,0.048983290513354025,0.7676528599605522,0.009827909632167033,0.009827909632167033,0.5027991298042059,28.607361963190183,150.44171779141104,1.2760736196319018,0.0018758665687953675,9.374337290160737,0.28430714125811507,0.29578204305466427,-13.710819009100101,-7.95E8,-1.432E10,-2.4583E10,20840000000.0,119500000.0,4.075E8,2.1855E9,0.0,19.504174694926142,95.64547206165703,205.205,18.713942307692307,3.8161764705882355,1.6821499668214996,0.08240647118301314
6,2013-12-31,12.23911955977989,2.2686343171585794,2.1885942971485743,2.1230615307653826,1.5882941470735368,2.060530265132566,8.817908954477238,2.060530265132566,7.788894447223612,5.10160792E10,6.23580792E10,11.249411069459757,2.0851826698275158,11.660818102857142,12.02075381715363,12.385549696528285,12.385549696528285,2.5487647837815746,7.5166440694310515,14.253275245714285,14.69323261074458,0.08889354241084055,0.08318945843254846,7.462976450594804,0.881838262715511,1.3671648987463838,0.9336922640974781,7.677113010446344,0.9647188533627343,0.07080120731818214,0.7964718853362734,0.009605166353306629,0.009605166353306629,0.4943343182535357,33.396946564885496,186.76335877862596,1.618320610687023,0.0020027793672852123,10.255645645108412,0.29078090716161287,0.25727577012537584,-13.319409704852426,-4.68E8,-1.3113E10,-2.415E10,21911000000.0,154000000.0,4.04E8,2.105E9,0.0,20.716763807937827,95.17554815431583,158.8701,17.618581907090466,3.8350186269292177,1.10099538722991,0.0655327663831916
7,2012-12-31,12.16304347826087,2.0652173913043477,1.9283596837944663,1.867094861660079,1.4328063241106719,1.565217391304348,8.931324110671937,1.565217391304348,7.414031620553359,4.67768664E10,5.77548664E10,11.190637894736843,1.9001083109919572,11.984849192928518,12.378107012437154,14.765425,14.765425,2.34604218051832,7.723303878042257,14.797557366128618,15.283108335538502,0.08936041085471257,0.08078779727750211,10.151830808080808,0.910328625208752,1.4680395827761434,0.7653617743303842,6.429964539007092,0.933732057416268,0.07268550165215856,0.8133971291866029,0.0,0.0,0.4883240397407229,31.475806451612904,198.53225806451613,1.814516129032258,0.0018685514664066943,8.528280541710012,0.26785582391609425,0.23123305858272944,-14.025691699604742,-1.936E9,-1.4084E10,-2.5846E10,20796000000.0,230500000.0,4.25E8,2.0385E9,0.0,20.740204107345345,80.29356179916846,106.8026,17.598669623059866,4.54581901489118,1.3194444444444444,0.06126482213438735
8,2011-12-31,11.531007751937985,1.6424418604651163,1.750484496124031,1.699612403100775,1.5843023255813953,1.7829457364341086,9.539728682170542,1.7829457364341086,7.223352713178294,3.81359088E10,4.85549088E10,11.249530619469027,1.6023491092436977,10.555192028784944,10.871125655644242,10.363018695652174,10.363018695652174,2.040122218487395,7.6815233032747985,13.438945142540824,13.841194070695552,0.0888925977293086,0.09198679434643497,9.044021739130434,0.9004382879714301,1.6483151400094922,0.9330105979327489,4.973770491803279,1.0657817109144543,0.08448730085068801,0.9504424778761061,0.0,0.0,0.4672907310210486,34.40952380952381,226.66666666666666,2.4095238095238094,0.0019747899159663867,8.117182764376237,0.20696476687472287,0.17216861350939563,-14.109738372093023,-5.12E8,-1.3592E10,-2.6151E10,22466000000.0,176500000.0,4.51E8,2.055E9,0.0,23.905598958333332,84.548828125,134.8442,15.268389662027833,4.317032040472175,0.9211956521739131,0.050872093023255814
9,2010-12-31,11.729898892633607,1.8801155512758787,1.3322099181511795,1.2513240250361097,1.1141068849301878,2.4997592681752527,9.682233991333653,2.4997592681752527,6.417910447761194,3.03372851E10,4.02172851E10,7.768831011523687,1.2452195993925212,10.963962811709433,11.672676067718353,5.843082646379044,5.843082646379044,1.65075257973156,6.183469418819188,14.534616949765088,15.474138168526355,0.12871949441514133,0.08567015774262543,6.203775038520801,0.8611838939094166,1.5190651906519066,0.8744152046783625,5.482394366197183,0.7085787451984635,0.09750378091677031,0.7574903969270167,0.0,0.0,0.4623282177423667,16.470238095238095,145.01785714285714,1.6428571428571428,0.0018060173213479457,10.283302785447962,0.20378247496891563,0.19418199900546992,-13.959797785267213,-8.59E8,-1.21E10,-2.6229E10,23150000000.0,90500000.0,4.64E8,2.067E9,0.0,25.062954309449633,85.422507788162,269.2044,14.563327032136106,4.27287853577371,0.7521186440677966,0.08088589311506982
