,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,9.284518828451883,-3.1631799163179917,4.179916317991632,4.179916317991632,1.0125523012552302,17.594142259414227,43.19456066945607,17.594142259414227,17.690376569037657,9.606844E9,1.7318844E10,-6.353732804232804,2.164678684091933,4.80823023023023,4.80823023023023,1.142312009512485,1.142312009512485,3.902398377647589,19.725334851936218,8.66809009009009,8.66809009009009,-0.15738779561737445,0.2079767299229591,1.4550535077288942,0.5926769022133966,8.783599088838269,0.691721686135094,-5.073076923076923,-1.3214285714285714,0.023628987834089947,-0.15013227513227514,0.09373591707976565,0.09373591707976565,0.0,,,,0.015322217214961695,35.38647117749899,-0.07061783916907592,-0.0732309778660338,-23.442468619246863,-6.07E8,,-1.0875E10,,6.73E8,1.2285E9,,60.03830554303741,1058.5846867749422,0.0,6.079452054794521,0.3448,,-0.17978596908442332,0.0
1,2018-12-31,10.322981366459627,-0.13664596273291926,4.836438923395445,4.836438923395445,1.4824016563146998,19.51552795031056,43.49896480331263,19.51552795031056,15.269151138716357,1.07489235E10,1.71259235E10,-162.86247727272726,2.1558209987966306,4.601422731164384,4.601422731164384,1.1403483450031826,1.1403483450031826,3.4348021460088245,7.494933698030635,7.331302868150685,7.331302868150685,-0.006140149755461559,0.2173240883145182,1.2289412263950774,0.5513564969062351,2.790809628008753,1.0139049826187718,1.2446808510638299,-35.39393939393939,0.019350774986909156,-3.1515151515151514,0.07721620537505014,0.07721620537505014,0.0,1.4037,0.6576,-1.6954,0.012434817488969114,7.746041399499235,0.01820161792159303,-0.0031413612565445027,-21.544513457556935,2.4E7,9.006E9,-9.834E9,25142000000.0,6.16E8,1.207E9,0.0,45.09426393902928,11593.552631578947,0.0,8.094155844155845,0.03148301574150787,0.0,-0.007001909611712286,0.0
2,2017-12-31,9.074626865671641,-2.3837953091684434,4.159914712153518,4.159914712153518,1.439232409381663,21.18550106609808,45.791044776119406,21.18550106609808,16.37100213219616,1.36071908E10,2.02561908E10,-12.1710114490161,3.1971782894736847,6.974469912865198,6.974469912865198,1.3694837761674719,1.3694837761674719,4.759443327067669,80.70195537848606,10.382465812403895,10.382465812403895,-0.08216244017097195,0.14338007224827037,1.1614331723027376,0.5373440119202831,26.49003984063745,1.2668200115008625,-5.090395480225989,-1.7450805008944543,0.013963205395782352,-0.16994633273703041,0.0975093984962406,0.0975093984962406,0.0,1.3578,0.6224,-1.2903,0.02443609022556391,33.70894104587568,-0.0913006029285099,-0.05205811138014528,-21.970149253731343,4.64E8,8.626E9,-9.337E9,24498000000.0,6.82E8,1.184E9,0.0,64.14943609022556,99.5688,0.0,5.689839572192513,0.0,0.0,-0.11252012882447665,0.0
3,2016-12-31,8.11860465116279,-2.3209302325581396,3.141860465116279,3.141860465116279,2.744186046511628,21.6,48.86279069767442,21.6,18.793023255813953,1.6008685E10,2.2581685E10,-16.040766533066133,4.585701804640505,11.849507772020726,11.849507772020726,1.723587962962963,1.723587962962963,6.468543397307362,18.616393239901072,16.71479274611399,16.71479274611399,-0.06234116043884928,0.0843916911351557,1.2621662360034454,0.5579458378944363,5.418796372629843,1.3227334235453316,-3.951219512195122,-1.3537074148296593,0.010744167931344768,-0.17234468937875752,0.11429389859639072,0.11429389859639072,0.0,1.1406,0.4414,-0.628,0.02205671727298768,33.585295785853305,-0.06634925510674243,-0.047498929132359244,-23.44593023255814,4.77E8,21011000000.0,-9.768E9,25364000000.0,6.155E8,9.715E8,0.0,64.3010598682326,76.9522,0.0,5.676422764227643,0.0,0.0,-0.1074504737295435,0.0
4,2015-12-31,7.793532338308458,-6.0721393034825875,5.129353233830845,5.281094527363184,2.557213930348259,25.796019900497512,60.18905472636816,25.796019900497512,22.17910447761194,1.21174458E10,1.97424458E10,-4.964131831216714,3.8676813916374084,5.876549854510185,5.707699387658973,1.1685097203471553,1.1685097203471553,6.301450941589531,-86.58967456140351,9.574416003879728,9.299315025906736,-0.20144509332156452,0.17520193900929187,1.3332690453230474,0.571416763101339,-33.44298245614035,1.2609418282548477,-9.399239543726235,-0.8447357640311348,0.024014961965004206,-0.11921343711593609,0.12639642515161187,0.12639642515161187,0.0,-33.80327868852459,-51.36065573770492,-36.78688524590164,0.027449728694541972,59.36609379100729,-0.11040150060292081,-0.10088444370970408,-29.54850746268657,4.71E8,24196000000.0,-1.155E10,29339000000.0,5.33E8,1.1675E9,0.0,52.425789977657196,129.3497,0.0,6.9622222222222225,0.0,0.0,-0.23539054966248796,-0.1517412935323383
5,2014-12-31,14.130193905817174,3.3628808864265927,9.71191135734072,9.71191135734072,3.2770083102493075,28.601108033240997,62.473684210526315,28.601108033240997,20.102493074792243,1.5768371699999998E10,2.16323717E10,12.988774052718286,3.0912314644187413,4.497538990302339,4.497538990302338,1.5272030702179176,1.5272030702179176,4.240809978435601,8.080826186029137,6.170100313747861,6.170100313747861,0.07698956005711104,0.2223438200660884,1.184309927360775,0.5421895091562098,2.19051176690325,1.2192704203013482,4.371428571428571,2.8879736408566723,0.015791104163278953,0.20510708401976935,0.09860811605567536,0.09860811605567536,0.0,1.3893,0.9523,-2.7692,0.017055479317780828,46.51986338706494,0.04582896510408866,0.05382875892342482,-26.848337950138504,5.53E8,9.705E9,-9.153E9,24261000000.0,7.365E8,1.3925E9,0.0,61.32228974710841,112.6041,0.0,5.9521586931155195,0.0,0.0,0.11757869249394673,0.0
6,2013-12-31,13.969359331476323,2.7242339832869082,8.181058495821727,8.181058495821727,3.1114206128133706,25.58217270194986,54.713091922005574,25.58217270194986,15.910863509749303,2.04678106E10,2.49048106E10,20.92823169734151,4.08131816550349,6.968951515151515,6.968951515151515,2.228637913763066,2.228637913763066,4.966063928215354,7.720028084314941,8.47967674497787,8.47967674497787,0.04778234561150376,0.1434936084468165,1.138719512195122,0.5324305060584462,1.375387476751395,1.114859094790777,10.481012658227849,3.003067484662577,0.009673726412144932,0.20245398773006135,0.08634097706879362,0.08634097706879362,0.0,1.3439,0.787,-2.514,0.015952143569292122,39.598813687050594,0.09572254335260115,0.049791263618776095,-24.04108635097493,2.69E8,8.557E9,-7.847E9,20122000000.0,7.815E8,1.2805E9,0.0,68.92422731804587,98.5464,0.0,5.295670538542766,0.0,0.0,0.10648954703832753,0.0
7,2012-12-31,23.724719101123597,5.769662921348314,16.47752808988764,16.47752808988764,7.792134831460674,46.39325842696629,98.61797752808988,46.39325842696629,27.4438202247191,8.602473E9,1.1975473E10,8.376312560856865,2.0370525692635564,2.93299454483464,2.9329945448346404,1.0417138532332284,1.0417138532332284,2.8357738574473124,4.254164476021314,4.08301159222639,4.08301159222639,0.11938427473123135,0.34094846912044946,1.1256962945023008,0.5295659109034978,1.1982238010657194,1.094391785150079,11.296,2.8558909444985394,0.019064285351433247,0.1596884128529698,0.09093061804404452,0.09093061804404452,0.0,1.2445,0.8643,-2.6016,0.015391901491830453,77.60575311340291,0.09399547330581813,0.05850518400364589,-40.37078651685393,2.39E8,7.623E9,-6.525E9,16736000000.0,7.9E8,1.3575E9,0.0,83.31991475254559,130.3386,0.0,4.380705394190872,0.0,0.0,0.12436425284572536,0.0
8,2011-12-31,21.380681818181817,2.5738636363636362,12.329545454545455,12.329545454545455,8.267045454545455,41.27840909090909,93.43181818181819,41.27840909090909,28.920454545454547,7.805423999999999E9,1.1375424E10,17.23051655629139,2.0742556470900877,3.596969585253456,3.596969585253456,1.074387336545079,1.074387336545079,3.0229667818230137,6.671802932551319,5.242130875576037,5.242130875576037,0.05803656534225431,0.278011803074375,1.2634549208534067,0.5581975188518609,2.093841642228739,1.066137566137566,11.384615384615385,4.790286975717439,0.01832059347448646,0.31567328918322296,0.09061918681902738,0.09061918681902738,0.0,1.1954,0.762,-2.6881,0.015413234121711401,48.89286668662152,0.05220090293453725,0.02754804183896862,-40.54971590909091,1.5E8,6.569E9,-6.761E9,16125000000.0,6.995E8,1.275E9,0.0,75.94871113473293,144.0056,0.0,4.805874840357599,0.0,0.0,0.062353750860289055,0.0
9,2010-12-31,17.268571428571427,4.142857142857143,11.12,11.12,6.177142857142857,39.13142857142857,75.89714285714285,39.13142857142857,15.4,6.5125375E9,8.1985375E9,8.982810344827586,2.1550421906022503,3.346627697841727,3.3466276978417264,0.9510130695093458,0.9510130695093458,2.7129508603573793,4.467867847411444,4.213020298047277,4.213020298047277,0.11132373518002776,0.29880826022115037,0.9395443925233645,0.48441499774130403,0.9188010899182562,1.2925457102672293,-13.222222222222221,2.6841379310344826,0.01950084740394969,0.17517241379310344,0.09166115155526142,0.09166115155526142,0.0,0.9687,0.6948,-2.1348,0.0,60.39543164234615,0.08026981450252951,0.05458515283842795,-28.205714285714286,4.16E8,6.152E9,-4.596E9,12355000000.0,5.86E8,737500000.0,0.0,67.1542025148908,124.7162,0.0,5.4352517985611515,0.6427,0.0,0.10587032710280374,0.0
