,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2020-05-31,23.99473954323839,1.6288170387477547,1.5941750064151912,0.8974852450603028,5.355401590967411,5.1674364896073905,19.78765717218373,5.1674364896073905,6.315755709520143,1.5250254804E11,1.5399954804E11,60.064020496258365,4.077281181723391,61.36923462374245,109.00825449606862,18.93265649162011,18.93265649162011,4.117304709247922,36.37211810108644,61.97164911066398,110.07830453180843,0.016648902150369606,0.009173617214796013,2.8909993792675355,0.7429966179567353,0.3535663675011809,2.4814099468855626,,0.9787317841669949,0.009521152391625314,0.5718786923985821,0.3509344170253723,0.3509344170253723,0.0158573160615149,-2.2882136279926337,-34.441068139963164,-1.0303867403314917,0.011469668208432478,13.761474976203916,0.12520600225518258,0.08231479980547901,-5.616339491916859,1.2272E10,7.558E9,-2.731E9,,3.5105E9,2.43E9,6.4945E9,26.826324091650402,38.773272847556946,127.06525848218506,13.606038559476174,9.413701067615659,2.872539704085788,0.31520794537554314,-0.6966897613548884
1,2019-05-31,24.762296638602265,2.550484269165031,3.7367854655947332,3.028423118313604,2.8271190732417546,5.722605558017345,14.736975375071216,5.722605558017345,2.3175286446793697,1.3094733586E11,1.3014233586E11,32.50120026309258,3.3475812526522994,22.183184119939014,27.371934753344483,14.485324763274336,14.485324763274336,3.327001964874607,23.696710826656954,22.04681278333051,27.20366552257525,0.030768094467439437,0.036533771142276066,1.6235619469026548,0.6188388076063583,-0.1465768390386016,2.1008136282735825,98.9796,1.4651278232812113,0.010172028252824357,0.33060312732688013,0.3247181532326099,0.3247181532326099,0.01842560188894042,-5.275245755138516,-34.957104557640754,-0.6434316353887399,0.008308408109006314,18.12172308923992,0.3028830988581162,0.17306701030927835,-2.5314933215167437,8.659E9,8.603E9,1.848E9,14427000000.0,4.272E9,2.612E9,5.622E9,39.861952603727275,44.050270295245575,94.81264150071617,9.156601123595506,8.285987748851454,3.8496976165065813,0.4456858407079646,-0.7083623472811293
2,2018-05-31,22.414706244611406,1.1904175391058012,3.0514841729277005,2.4184012809459294,2.616701564232048,6.042616085724843,13.608202980662643,6.042616085724843,2.7491070328858234,1.2638766110000002E11,1.2660266110000002E11,65.38420129332644,3.4724746847267633,25.507096084762868,32.18427835497836,12.88092754790053,12.88092754790053,3.4783817649806306,24.2580304847672,25.550486599394553,32.23902752737459,0.015294214507779983,0.031071071066762542,1.2967794537301265,0.5646077387291445,0.04119563134700134,2.505629139072848,81.0926,2.5633729953440247,0.009834820813849208,0.6430419037765132,0.3162623293128555,0.3162623293128555,0.01947994320198793,-4.820038910505836,-35.4056420233463,-0.7529182879377432,0.005989504629502432,12.72194221952443,0.26218477206595536,0.08747793818165361,-1.3702426407193005,9.094E9,9.373E9,2.41E9,15618000000.0,3.885E9,2.4455E9,5.4415E9,35.07899002665055,40.69443764982144,93.9418325913605,10.405088622069755,8.969284774023695,3.8853830070328836,0.19700366897676314,-0.6330828919817711
3,2017-05-31,20.72023163228375,2.5576064664012548,2.1956810230425865,1.5291349981903728,2.2970201471830136,7.484014959584992,13.775485583303173,7.484014959584992,3.5239474001688986,9.435269232E10,9.638669232E10,22.25299347169811,2.746803269868996,25.92106931868132,37.2199969704142,7.604795060852744,7.604795060852744,2.8060172436681223,17.637089171088746,26.47986052747253,38.02236383431953,0.04493777438400923,0.02686727784515646,0.8746675263963891,0.46657207962509134,0.37218664226898446,2.934051881622214,83.8136,0.8584905660377359,0.012008136409689257,0.2672169811320755,0.3075109170305677,0.3075109170305677,0.01814351433853562,-3.2941176470588234,-31.085972850678733,-0.6479638009049774,0.006259097525473071,20.75273990931708,0.2747258926061288,0.18566361606165432,0.3693147544939076,1.0587E10,1.1985E10,5.209E9,17357000000.0,3.9745E9,2.33E9,5.3385E9,39.07147016011645,39.26462863746192,96.91537976678222,9.3418547729127,9.2958984375,3.766172106824926,0.3417425646812283,-0.6665460248522138
4,2016-05-31,19.068260792743978,2.2145002650332763,1.823428941633783,1.1502444195771246,1.8481653807644738,7.219506449143059,12.358796159962306,7.219506449143059,2.549620118970493,8.900867212E10,9.019967212E10,23.672519180851065,2.7492176958240675,28.749571098191215,45.57535694828469,7.261271995431556,7.261271995431556,2.7860042043489006,17.46701628969791,29.134261020671836,46.185187977470555,0.04224307486500676,0.021941682237063352,0.7454723445912873,0.4270891755468312,0.23063516653756777,2.8042179917879806,244.3158,0.823404255319149,0.011482027263839603,0.27180851063829786,0.32335680751173707,0.32335680751173707,0.019255935688913817,-2.7086614173228347,-28.325459317585302,-0.57917760279965,0.007289350135903138,18.96631161463206,0.2882528993640105,0.17918414029736943,0.6883503150951175,9.667E9,1.1846E10,5.887E9,14509000000.0,3.7565E9,2.4015E9,5.23E9,36.53833086236718,45.94742889974145,101.45762711864406,9.989509410675717,7.9438612505705155,3.597560975609756,0.3067384565181922,-0.6731845220566582
5,2015-05-31,17.75617964488801,1.8991528374144133,2.715562260647557,2.156783103168156,2.235116629917605,7.373215736335151,12.29430196123941,7.373215736335151,1.8283625391667633,8.704583188E10,8.634483188E10,26.59512125878399,2.844542069866998,18.599536726495728,23.418302900188323,6.850226794680098,6.850226794680098,2.821634321754191,17.899011583747928,18.4497504017094,23.229709948883507,0.03760088138984191,0.04270164256829893,0.6998504761155269,0.41171296296296295,-0.1453150912106136,2.5222608146510894,151.1786,1.4298808432630614,0.010327892566290216,0.2746715551481821,0.3232574098885657,0.3232574098885657,0.019074074074074073,-4.859813084112149,-31.77673935617861,-0.6739356178608515,0.006241626090650632,17.75005438574524,0.2754487095506354,0.15447423069662072,0.996866658930022,9.642E9,1.2295E10,7.083E9,12261000000.0,3.815E9,2.3715E9,4.9795E9,40.053266233129634,47.04336518688763,95.74240958025887,9.112864800476475,7.758798686062882,3.8123126585197142,0.2575745652002833,-0.5587791574794012
6,2014-05-31,15.734095539959249,1.524224586823636,1.6996830427892236,1.2016074258546525,1.256508942721304,6.126330088295223,10.290355444872086,6.126330088295223,2.332465474303826,6.222475252E10,6.412575252E10,23.106109365020423,2.238380967660707,20.720863310023308,29.309822195007065,5.748776101256467,5.748776101256467,2.3067647224720313,14.871463942486086,21.35389694305694,30.205253188883656,0.043278597197062826,0.034118255421227026,0.717849223946785,0.4178767344304614,0.44086270871985156,2.7244877660632585,108.3939,1.1151132565911623,0.012840549261215448,0.2966951355365763,0.3153350839958272,0.3153350839958272,0.022211466064321825,-3.4125,-31.589772727272727,-0.7181818181818181,0.006367135508471527,14.4949238121655,0.19849635144099653,0.14812166547494637,1.0872764319673986,8.669E9,1.0411E10,5.926E9,12307000000.0,3.853E9,2.271E9,4.7845E9,45.08831252922767,45.88354067608936,93.83540676089363,8.095224228305183,7.954922279792746,3.8897897137066124,0.2487989652623799,-0.498075616934571
7,2013-05-31,14.105093056948624,1.3847096846093838,1.6867268472082915,1.332330324306252,1.8594672907611725,6.2164270589546415,9.512426167391062,6.2164270589546415,2.1386381366321188,5.05996443E10,5.11006443E10,20.362029899396376,1.9989588077272546,16.71610317145689,21.162544667503138,4.535643985299391,4.535643985299391,2.018751009362778,13.565342261746748,16.8816135777998,21.372080426599748,0.04911101716973928,0.0472532966007431,0.5761921835783435,0.36555959963603274,0.13299707990443324,3.470708099847173,-1091.3333,1.2181086519114688,0.013893378297918193,0.282897384305835,0.30735195354165845,0.30735195354165845,0.02917424931756142,-4.759433962264151,-39.8003144654088,-0.8066037735849056,0.006873938292576937,13.916853161708369,0.18194464782545028,0.14556850799601664,2.0014209294550316,9.7E9,1.0643E10,7.198E9,11191000000.0,3.6945E9,2.129E9,4.528E9,44.94548255836922,42.07507528538413,87.77995657959241,8.120949631055502,8.674969623329282,4.158124635993011,0.22275008963786302,-0.35439652290203943
8,2012-05-31,13.11304347826087,1.2081521739130434,1.0320652173913043,0.7076086956521739,1.2592391304347825,5.6418478260869565,8.004891304347826,5.6418478260869565,0.9081521739130435,3.4132184E10,3.3483184E10,15.354108861898336,1.4146296419098143,17.973767245918907,26.21519508448541,3.287947596570658,3.287947596570658,1.3877314323607428,9.569358102314947,17.632008425487097,25.716731182795698,0.06512914614546786,0.03814581569113772,0.48974087274829015,0.32874232137083736,-0.1854815661617605,2.9834411384217336,994.3333333333334,0.854251012145749,0.01813537627712308,0.27845254161043637,0.30798242705570295,0.30798242705570295,0.04759133527319754,-3.180904522613065,-40.415410385259634,-0.678391959798995,0.005387931034482759,12.384051885768427,0.2571551724137931,0.15092674315975288,1.5260869565217392,7.666E9,9.645E9,6.447E9,9150000000.0,3.776E9,2.1E9,4.486E9,49.61870026525199,42.44123892509336,89.5328403016768,7.35609756097561,8.600125944584383,4.076716417910448,0.2141412195356902,-0.3244565217391304
9,2011-05-31,10.968454258675079,1.1214511041009463,0.9526813880126183,0.7255520504731862,1.0278654048370137,5.1750788643533125,7.52155625657203,5.1750788643533125,1.5052576235541535,3.41873088E10,3.50913088E10,16.027805344585094,1.6387359217716422,18.86716821192053,24.773412173913044,3.4732610789393474,3.4732610789393474,1.6820682964241205,10.945511166562694,19.366064459161148,25.42848463768116,0.06239157379945624,0.04036585646659616,0.5237224423448136,0.34371249499933326,0.28197130380536495,2.8542193026781204,711.0,0.849507735583685,0.016234094448522373,0.26019690576652604,0.320822548173713,0.320822548173713,0.04613948526470196,-4.194444444444445,-48.291666666666664,-0.8287037037037037,0.005033074489502445,11.427202321231828,0.2576086956521739,0.14909828044177267,1.6267087276551,7.339E9,9.151E9,6.142E9,9056000000.0,3.705E9,2.0405E9,4.1685E9,54.90221455277538,47.224326228641885,87.27981328166284,6.648183556405353,7.729067392784207,4.1819521178637205,0.21670222493142335,-0.22712933753943218
