,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,199.8877731836976,13.27820437093916,25.380980507974012,17.91494388659185,13.260484347312463,52.09096278795038,126.05434140578853,52.09096278795038,78.54695806261076,6.51584901535E10,7.56834901535E10,28.985093484653028,1.9254303996188056,15.163716582150338,21.483181718925156,7.388421607155007,7.388421607155007,2.23644366754824,18.486441170859795,17.613099872818246,24.953343275140124,0.03450049248692188,0.046548039907844334,3.6591450277809274,0.7853683467594733,2.5708353688324377,1.1326054695781216,7.517045454545454,1.9114768683274022,0.013505530866766572,0.3914590747330961,0.09721934931000857,0.09721934931000857,0.48061524982355375,-3.399525316455696,-26.772943037974684,-0.805379746835443,0.0037528441830915163,124.75045138191412,0.12538303585531513,0.10533714446370836,-145.53160070880094,1.251E9,-1.0929E10,-2.1585E10,,6.567E9,2.204E9,7.185E8,71.83298365887534,30.565420209164095,10.751448348506507,5.081231231231231,11.941599281221922,33.94891443167305,0.2549041841478626,-7.466036621382162
1,2018-12-31,173.25849165227405,18.589522164651697,22.03223949337939,14.84168105929764,9.090385722510074,47.13298791018998,101.37593552101325,47.13298791018998,83.16062176165804,4.8778435215899994E10,6.1082435215899994E10,15.106359620904303,1.6208152588768896,12.745867576665795,18.921037709813806,5.9580353262367165,5.9580353262367165,2.0296539363980726,11.967561758601096,15.960918530415467,23.69372971912335,0.06619728545427926,0.05285122387771197,3.599120556980579,0.7825671261254084,2.4106583072100314,1.169929900894368,6.725978647686833,1.1851966553112419,0.016831208224826037,0.25425828429854447,0.10004984216647284,0.10004984216647284,0.5323347409236979,-3.0640512409927942,-24.095276220976782,-0.6405124099279423,0.0028576175444425984,140.40670844892557,0.12866333095067906,0.18337213924697598,-130.71099597006332,1.406E9,-1.1857E10,-1.9786E10,21639000000.0,6.474E9,2.182E9,6.54E8,78.5183585313175,34.17567799519396,10.24330587023687,4.64859437751004,10.680109990834097,35.63302752293578,0.39440576523757176,-7.19055843408175
2,2017-12-31,147.95298165137615,11.553899082568808,14.982798165137615,9.661697247706423,64.36353211009174,40.41284403669725,128.795871559633,40.41284403669725,84.62729357798165,5.92018224304E10,6.23758224304E10,29.380557037419354,2.2943774921675772,22.656648461691542,35.13461271833828,8.399804544608399,8.399804544608399,2.417386444614967,16.059686516580843,23.871344213700727,37.01829224356083,0.03403611438429811,0.028461961656348542,3.954171396140749,0.7981498983303262,0.8171987641606591,2.347307968413496,9.16388888888889,1.2967741935483872,0.01163815524108258,0.3419354838709677,0.1028950122078828,0.1028950122078828,0.35670303863447606,-2.8157327586206895,-27.804956896551722,-0.5118534482758621,0.0036429872495446266,102.49796698906196,0.11802375500858615,0.08970706081381889,-76.10091743119266,9.384E9,-5.407E9,-1.152E10,18703000000.0,5.225E9,1.9215E9,7.17E8,56.243072510948345,30.54385611365812,14.343291853493879,6.489688128772636,11.950030102347982,25.4474358974359,0.2858967082860386,-5.321100917431193
3,2016-12-31,136.9927333705981,12.297372833985467,15.723868082727781,10.58133035215204,14.203465623253214,29.396310788149805,73.58300726662941,29.396310788149805,41.13471212968139,4.10539712844E10,4.55709712844E10,18.660896038363635,1.6751253176268972,14.594373012584429,21.68725371600634,7.80642161711352,7.80642161711352,1.8594324826342419,12.383416109891305,16.200131988766444,24.073413251135765,0.05358799480711803,0.04611003371357929,3.8705077010838562,0.7946825954556103,1.227445652173913,1.2177619893428064,10.60797342192691,1.2786363636363636,0.015589234852979791,0.2909090909090909,0.10543496001305697,0.10543496001305697,0.48606230967439684,-3.0576086956521737,-26.639130434782608,-0.4956521739130435,0.003794679288395626,90.18697998256575,0.15977782225780623,0.1671224551807961,-83.46422582448295,1.226E9,-7.191E9,-1.3499E10,12051000000.0,4.8865E9,1.868E9,7.35E8,49.132324139056635,30.281885644119374,15.900912925097433,7.42891785389512,12.053410553410554,22.954656862745097,0.4183304810800532,-5.14253773057574
4,2015-12-31,124.21330517423442,10.506863780359028,11.414994720168954,8.92819429778247,12.243928194297782,29.155227032734953,63.326293558606125,29.155227032734953,35.464625131995774,3.5050363621200005E10,3.9147363621200005E10,17.613248050854274,1.4898564830910483,16.212009075485664,20.72759528160852,6.347403770590366,6.347403770590366,1.6640042345150048,11.002631709162452,18.107013700832564,23.15042201135423,0.056775445228087744,0.04824486325663134,3.4284679463962333,0.7741882718573648,1.1514896008993816,1.1607110133773135,10.219269102990033,1.0864321608040202,0.017203815815345185,0.30301507537688444,0.1090708152682139,0.1090708152682139,0.5095280935634252,-4.590233545647559,-49.94904458598726,-0.9915074309978769,0.004208110175975516,83.0206298197244,0.16192030320576933,0.16591629147907286,-74.33342133051742,8.77E8,-6.938E9,-1.2598E10,10574000000.0,4.6575E9,1.732E9,7.305E8,44.07740372353991,26.164728248713935,16.470308655781704,8.280887011615627,13.950078003120124,22.16109045848823,0.360376675117711,-2.4868004223864837
5,2014-12-31,114.8419540229885,9.909003831417625,12.418582375478927,9.731800766283525,18.50095785440613,34.650383141762454,67.55747126436782,34.650383141762454,29.727011494252874,3.27711593736E10,3.48331593736E10,15.839129711744803,1.3666608021018392,12.638318308368685,16.127539061811024,4.529531357788527,4.529531357788527,1.4526527116893948,9.462960981689758,13.433536202699575,17.142302841338584,0.06313478191030246,0.06200574037783209,2.672702142363511,0.7277209092277586,0.5601738657973376,1.3890020366598779,11.333333333333334,1.2532624456259063,0.017179740075157216,0.2721121314644756,0.10029609241419575,0.10029609241419575,0.46914044859250337,-4.622103386809269,-42.74331550802139,-0.8235294117647058,0.005588223028483256,87.89421217870827,0.15454545454545454,0.14667517368495675,-62.253352490421456,2.292E9,-5.231E9,-1.1153E10,10276000000.0,4.64E9,1.7435E9,6.98E8,42.71195629509154,25.918217433888344,14.736641636739579,8.545616535994299,14.082758620689654,24.768194070080863,0.28597097442985486,-2.6867816091954024
6,2013-12-31,107.40853658536585,8.501742160278745,10.814459930313589,9.229094076655052,22.430313588850176,46.254355400696866,60.72735191637631,46.254355400696866,26.93815331010453,2.60022E10,2.67802E10,13.32079918032787,1.0543854669315924,10.47209021345147,12.270976875884852,2.448418079096045,2.448418079096045,1.085933254936945,7.408077455048409,10.785420861860652,12.638131193959415,0.0750705709516887,0.08149310442962518,1.4840866290018833,0.5974375497517153,0.21521438450899033,1.6316423043852106,12.151750972762645,1.2720286885245902,0.020959764942966363,0.2792008196721312,0.09148047524431288,0.09148047524431288,0.47147568325688943,-6.821428571428571,-67.75,-1.35989010989011,0.005839179270913588,94.06358794267304,0.15185257220655451,0.13999856558846732,-35.92443379790941,3.673E9,-1.818E9,-6.273E9,8906000000.0,4.5795E9,1.7055E9,6.76E8,39.739872673452005,23.264443522456176,13.212840991598382,9.184729981378027,15.689178193653376,27.624641833810887,0.18380414312617702,-1.5853658536585367
7,2012-12-31,101.44006436041835,7.956556717618665,10.619469026548673,9.288012872083668,15.534995977473853,38.27031375703942,56.76588897827836,38.27031375703942,16.66130329847144,1.64921230056E10,1.65601230056E10,8.337777050353893,0.6539821954794194,6.2470162899999995,7.142539196881767,1.7334583777170487,1.7334583777170487,0.6566786821159489,4.491489830648224,6.272773865757576,7.171989175227371,0.11993604457887916,0.1400062320185197,1.7898885852428001,0.641562747240327,0.01844317873609981,1.3857331571994715,14.764150943396226,1.3346814964610718,0.03243972894322566,0.2704752275025278,0.09715282734554684,0.09715282734554684,0.4683344007836341,-7.97583081570997,-76.18731117824774,-1.540785498489426,0.007256721389483702,82.77226736776808,0.15277981158783618,0.14016439909297052,-42.73732904263878,2.336E9,-2.917E9,-8.637E9,8124000000.0,4.666E9,1.787E9,7.26E8,41.366087715124124,25.872288420409408,14.831958447907118,8.823652904128762,14.107758620689655,24.60902255639098,0.20790414126550347,-1.331456154465004
8,2011-12-31,95.41907514450867,7.651734104046243,7.640895953757226,5.877890173410405,10.845375722543352,37.34104046242775,46.53901734104046,37.34104046242775,15.014450867052023,1.61097602768E10,1.70427602768E10,7.606119110859301,0.6099409464182948,7.616907932293144,9.901512155377995,1.5586068379256965,1.5586068379256965,0.6452657987581402,4.461455569842932,8.058042684066194,10.474960219299323,0.13147309231225346,0.10099467478377543,1.4584945820433437,0.5932470190075164,0.2442408376963351,1.2625916870415648,0.0,0.9985835694050992,0.033706274374671205,0.2563739376770538,0.08897470846584886,0.08897470846584886,0.49305418913069143,-4.334016393442623,-54.122950819672134,-1.1147540983606556,0.005300620929880357,80.17969529566638,0.0,0.16441546343735444,-34.008309248554916,1.611E9,-2.193E9,-7.329E9,7835000000.0,4.719E9,1.8315E9,7.635E8,40.96092685143117,26.006206100259792,15.329789281246994,8.910931174089068,14.035111411208643,23.809851088201604,0.20491486068111456,-1.7630057803468209
9,2010-12-31,117.06635230717413,6.91478612327383,8.262041091276524,5.648366453351297,12.465476591444931,45.661839003031325,57.67935331761536,45.661839003031325,14.57056247894914,1.81282772601E10,1.84722772601E10,8.830139922113979,0.5215719785971171,7.390247558132899,10.809944698926653,1.3371894416242531,1.3371894416242531,0.5314692654745806,4.850913146034664,7.530484003302078,11.01507290405486,0.1132484885653539,0.09250741126356479,1.317695655380984,0.5685369657235607,0.09033613445378151,1.1810159790126402,7.306049822064057,1.1948368241597662,0.030063529599667745,0.26546517291768146,0.08855770060707195,0.08855770060707195,0.45498233665383025,-3.161082474226804,-44.78994845360825,-0.9510309278350515,0.003912880858532094,84.28636687377032,0.0891252441936184,0.11988321167883212,-35.458908723475915,1.518E9,-7.39E8,-7.96E9,9838000000.0,5.2655E9,2.014E9,9.195E8,42.60451132146042,23.551679541403054,15.118494180153098,8.56716785802317,15.49783315276273,24.142616033755274,0.1514346831894962,-2.6136746379252274
