,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,43.799080774547036,10.554275661147047,15.090830592646697,7.262365287776789,2.248890478863074,58.874401777684334,147.04254074124887,58.874401777684334,48.40542885883899,5.5320613062E10,6.6620613062E10,20.32351692211609,4.897363054355524,14.213929358170606,29.535831853710626,3.6433491215753424,3.6433491215753424,5.897717162004249,12.433858354236655,17.117320930626928,35.56893382915109,0.04920408233634987,0.03385718082879622,1.497563224446786,0.5996097355167049,2.108995893990295,0.9047826086956522,6.604304635761589,1.4298310066127846,0.017154545972518746,0.3486407053637032,0.0,0.0,0.0,-1.927686973749381,-5.594848935116394,-0.5641406636948985,0.0,118.24117294455067,0.11197821632091626,0.0717770218600849,-82.77080181429316,-2.19E8,,-2.0658E10,,9.645E8,7.69E8,2.255E8,29.72733711048159,37.590658543661156,12.918479837539891,12.278260869565218,9.709859154929578,28.25409836065574,0.17926765015806112,-7.8284653048699075
1,2018-12-31,42.73802798846239,9.944107402447262,13.897878537703862,6.620701665170252,1.3353302513413803,57.29984167906783,135.1704831797773,57.29984167906783,41.46610727419588,4.514242205585236E10,5.534442205585236E10,16.93264143130246,3.939816901366064,12.115518533508418,25.43235045400133,2.9385771420291866,2.9385771420291866,4.830199167031974,10.430535630579035,14.853575430985606,31.179956087804147,0.059057531221995516,0.03931999921944563,1.3590027340190078,0.5760920555202959,1.9227289860535244,0.7186414511771517,7.1077199281867145,1.3975993998499625,0.01869638272744344,0.31657914478619653,0.0,0.0,0.0,-1.9097898513582778,-5.87288569964121,-0.5658636596617119,0.0,113.2272274918766,0.11765929624346172,0.07356715141146279,-73.32660217474123,-7.29E8,36239000000.0,-1.9015E10,44435000000.0,1.009E9,8.28E8,2.07E8,32.142171408622794,41.94004995836802,10.485012489592005,11.355797819623389,8.702898550724637,34.81159420289855,0.17354511131363104,-7.2771768725336115
2,2017-12-31,36.648141715873564,18.770406391108022,11.2990621743661,5.314345258770406,2.396665508857242,56.821813129558876,124.03959708232026,56.821813129558876,33.702674539770754,4.3199395863700005E10,5.1645395863700005E10,7.993966666117691,4.094341376523553,13.27986346870581,28.234899257320265,2.6407112820893697,2.6407112820893697,4.894834220803716,10.641952578549352,15.876236047863513,33.75516069522876,0.1250943419915028,0.0354171619628052,1.1829573934837092,0.5419058553386912,1.7403667834329282,0.8444007858546169,6.324514991181658,0.6019615099925981,0.0162733757253935,0.13008882309400444,0.0,0.0,0.0,-1.8879860708067324,-6.123621590249565,-0.6146256529309344,0.0,154.91220674056612,0.1081227763372128,0.15132592198482261,-61.94772490448072,-3.96E8,35711000000.0,-1.7203E10,42312000000.0,9.82E8,8.25E8,2.145E8,33.03715287650459,45.65276932440657,12.329580036518564,11.048167539267016,7.995133819951338,29.603603603603602,0.3303380402225075,-5.984716915595693
3,2016-12-31,33.64409663150732,5.675399795848929,10.323239197005785,3.902687989111943,3.2528070772371556,42.22184416468186,118.72065328342974,42.22184416468186,34.47090847226948,3.51592561183E10,4.37652561183E10,21.078690718405277,3.5557500119639966,11.588416650725115,30.653231140627728,2.833367404166331,2.833367404166331,4.4260979084041265,10.173234802022316,14.42493609700066,38.15628257916303,0.04744127675476685,0.03262298827201293,1.8118301232976066,0.6443597386220337,2.00046490004649,0.9794784095767421,5.402460456942004,1.8189448441247003,0.01976719864781952,0.4166666666666667,0.0020226537216828477,0.0020226537216828477,0.0,-1.607843137254902,-5.24006359300477,-0.5458399576046635,0.0,73.42738950441802,0.09443062083371732,0.047804654362031414,-70.39724396053079,-4.8E7,34892000000.0,-2.0192E10,41809000000.0,9.77E8,7.39E8,2.32E8,34.883191747572816,37.192349898103146,14.705282959711553,10.463492063492064,9.813846153846153,24.82101167315175,0.13441856716899026,-6.420551207893841
4,2015-12-31,34.81616429281219,5.154024511427625,9.529645578005962,1.6296787015568068,3.646902947996025,40.37098376946009,113.48128519377278,40.37098376946009,32.931434249751575,2.128395E10,2.957595E10,13.678631105398457,2.0249215107982113,7.397966631908238,43.260060975609754,1.7463037413849687,1.7463037413849687,2.8138093425934736,7.156048874909267,10.280135557872784,60.113719512195125,0.07310673065854788,0.023116009951160383,1.81096160157532,0.6442498540572096,2.0062908299056375,1.1801882563872703,5.253187613843352,1.8489717223650386,0.03349942092515722,0.4582262210796915,0.01312910284463895,0.01312910284463895,0.0,-1.2062893081761006,-4.407127882599581,-0.4440251572327044,0.0,68.42253574452275,0.09004339817040807,0.0454173963806188,-66.66445842994369,4.02E8,34139000000.0,-1.9439E10,40900000000.0,9.775E8,7.15E8,2.39E8,32.850347255256395,30.860955056179773,13.89255617977528,11.110993657505285,11.827242524916944,26.273062730627306,0.12766655726944537,-7.899966876449155
5,2014-12-31,37.56948933419522,6.464124111182935,9.217840982546864,2.372333548804137,3.1447963800904977,40.10342598577893,107.43697478991596,40.10342598577893,30.643180349062703,3.1549518309399998E10,3.9500518309399994E10,15.7747591547,2.714170535908465,11.062243446493689,42.9829949719346,2.542675556850419,2.542675556850419,3.3981863652271156,8.32466139291886,13.850111609186534,53.81542004005449,0.06339241000088776,0.02326501447032581,1.6789974210186975,0.6267260311061641,1.6756585879873551,1.560674157303371,6.418312387791741,1.426,0.02177529283530495,0.3435,0.009549208534067447,0.009549208534067447,0.0,-1.3465533522190747,-5.4881964117091595,-0.4513692162417375,0.0,76.37247059152638,0.11363275166078637,0.060166661652778196,-61.25,9.98E8,33200000000.0,-1.8055E10,39432000000.0,1.032E9,7.88E8,2.215E8,33.12758086717137,36.02322206095791,11.365615516558913,11.018009478672985,10.132352941176471,32.11440677966102,0.16118633139909735,-6.8455074337427275
6,2013-12-31,36.05322218659827,6.123757614620071,9.868547611413915,3.5492144918243027,4.6264828470663675,36.194293042641874,104.14555947419045,36.194293042641874,30.644437319653736,2.89318446238E10,3.65098446238E10,15.14756263026178,2.572863016789684,9.3995596568551,26.135360997109302,2.5628350273540614,2.5628350273540614,3.246762527683415,8.320383916089336,11.86154796094867,32.98088945239386,0.06601722167513613,0.03826233737925429,1.8774027814686862,0.6524643659760491,1.7269826800364632,1.334056399132321,6.065176908752328,1.61151832460733,0.022017261888513988,0.3335078534031414,0.005780346820809248,0.005780346820809248,0.0,-1.5616438356164384,-5.705225773718924,-0.46778285134449515,0.0,70.61879527843519,0.10792630393001525,0.05879998768586645,-60.12664315485733,7.7E8,32483000000.0,-1.8119E10,38183000000.0,1.0165E9,7.565E8,2.15E8,33.23788350377946,32.976127670799265,10.73529411764706,10.9814453125,11.068613138686132,34.0,0.16919124811763664,-6.319333119589612
7,2012-12-31,34.40324088501091,5.450296042380804,9.551262075412902,2.5677781240261766,2.0349018385789965,30.414459333125585,94.5528201932066,30.414459333125585,27.893424742910565,2.2106800679100002E10,2.9900800679100002E10,12.639680205317326,2.0024275977445654,7.212659275399673,26.82864160084952,2.2650410531864753,2.2650410531864753,2.708405858614131,6.960149133868716,9.755563027438827,36.287379464927184,0.07911592570034445,0.03727359792857852,2.108811475409836,0.6783336629094984,1.8142458100558658,1.0773666506487265,6.198412698412699,1.7524299599771298,0.02822660814008859,0.3567753001715266,0.010597826086956521,0.010597826086956521,0.0,-1.3676929941990184,-4.926372155287818,-0.41142347166443555,0.0,61.07188931927635,0.11054102827217721,0.05764287126754993,-59.12823309442194,1.61E8,30342000000.0,-1.834E10,36290000000.0,1.059E9,8.025E8,2.115E8,36.66530797101449,37.99129269926323,10.561286001339584,9.954914337240757,9.607464607464607,34.56018518518518,0.17920081967213114,-6.983483951386725
8,2011-12-31,32.33574529667149,5.5455861070911725,9.340086830680173,3.0882778581765558,0.7988422575976846,28.685962373371925,82.59913169319826,28.685962373371925,22.778581765557163,2.5283690000000004E10,3.2422690000000004E10,13.196080375782882,2.2631301467955605,7.835044933374653,23.696054358013125,2.551073554636263,2.551073554636263,2.902138381668457,7.9428441940225385,10.047316392934615,30.386776007497662,0.07578007798703433,0.04220111858672527,1.8794268994047019,0.6527086691428972,1.7488975992160705,1.0293944738389182,7.061538461538461,1.6842379958246347,0.022781484822824515,0.30062630480167013,0.2662012173290369,0.2662012173290369,0.0,-1.4939814814814816,-5.1722222222222225,-0.4023148148148148,0.0,59.82734052372718,0.11972277080150538,0.06713855210596398,-50.520984081041966,5.0E7,28538000000.0,-1.6876E10,34101000000.0,1.0155E9,6.305E8,2.08E8,33.38972431077694,38.33252486053844,18.502304147465438,10.931506849315069,9.521939953810623,19.727272727272727,0.19332055292099687,-6.251808972503618
9,2010-12-31,25.964529331514324,4.081855388813097,7.4051841746248295,3.3942701227830834,2.2564802182810366,29.11050477489768,76.94133697135061,29.11050477489768,19.95088676671214,2.21292703665E10,2.81522703665E10,14.792293025735292,2.3254802823139977,8.153747371591747,17.788802545418008,2.074165373183991,2.074165373183991,2.958414288198823,8.038912154911479,10.37298097512896,22.630442416800644,0.06760277113630882,0.056215138565219355,1.6430780766707282,0.6216532501152523,1.7198743575099942,1.1868395773294909,5.792207792207792,1.8141711229946524,0.02322715532357134,0.34358288770053474,0.28457335014712065,0.28457335014712065,0.0,-1.8462585034013606,-6.473469387755102,-0.5619047619047619,0.0,51.70647534589767,0.10246199793238121,0.0530515266498812,-42.920190995907234,3.89E8,28199000000.0,-1.5059E10,32315000000.0,9.08E8,1.0045E9,1.88E8,30.953656998738964,130.11319046181708,18.619076365831575,11.79182156133829,2.8052497883149874,19.60355029585799,0.1402193270222139,-4.0109140518417465
