,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2018-12-31,0.46068011217739985,6.974732748958221,7.920740255579322,7.483363028453697,20.531634260233222,47.09109749799388,592.4870557515027,47.09109749799388,6.068609026368043,1.90790710683325E10,1.51529710683325E10,12.258462521416408,185.5940765401994,10.79438249976379,11.425277602450747,1.815619183724532,1.815619183724532,147.4024422989543,6.523579760776864,8.57310951532249,9.074178734255046,0.0815762986796206,0.08752522562650888,11.581721115689502,0.9205196180391415,-1.690244532460823,2549.0730593607304,2.802060970373551,1.135633513235672,0.021248413958312895,0.2604728861475199,0.0,0.0,0.0,18.109631147540984,1.0532786885245902,3.7397540983606556,1.2733463035019454,85.96555093659293,0.014810432814436125,0.011771958022123476,-295.2273876477725,5.58028E10,9.839E9,-6.58795E10,105517500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14811149281996136,0.43737722712562477
1,2017-12-31,6.261345073609445,5.25283567258447,7.537096322864322,7.135795449128929,19.79385892602493,44.75731426043158,607.1669076574796,44.75731426043158,5.534096765311679,2.2621612745318398E10,1.9026512745318398E10,18.86706650985688,15.828164529329975,13.149042516460359,13.888514701202356,2.2142883601846477,2.2142883601846477,13.312701333136298,11.590930700772706,11.059354071912576,11.681306940888014,0.05300241028341961,0.07200193984122924,12.565758305436464,0.926284990673964,-2.19013097776424,1218.7577197149644,4.802763080540858,1.4348623853211009,0.015772527096850807,0.297581317764804,0.0,0.0,0.0,18.78165938864629,15.602620087336245,0.08296943231441048,0.08956059333893088,72.73110326068239,0.011792990752690035,0.008651386639055347,-337.6210842147232,5.12676E10,9.6106E9,-7.70646E10,98447000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11736262015230713,0.401300873735394
2,2016-12-31,5.426209821133072,4.536854514794636,6.635012413888524,6.145954876361509,23.42906370255206,42.931606151428106,544.5407416653786,42.931606151428106,6.1736373784856795,1.74327182505168E10,1.33237182505168E10,16.883988620355254,14.11670438943785,11.544846523521059,12.463514871321085,1.7842379278757061,1.7842379278757061,10.789309458674225,8.79917993033734,8.823654470540927,9.525786981137342,0.0592277110868462,0.08023418837498478,11.68391263407844,0.921159974146049,-2.713644168537842,1239.6318407960198,8.335714285714285,1.4624697336561743,0.019102012389268556,0.3225181598062954,0.0,0.0,0.0,13.566936208445643,11.095238095238095,-0.02605570530098832,0.070289092234189,66.19988785412377,0.012245866586163003,0.008331524471281054,-282.63966490216933,4.9793E10,9.251E9,-6.43233E10,93519300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10567632850241546,0.48905753752701503
3,2015-12-31,4.60694289499043,4.192356780807103,7.8973703827403465,7.47331293469198,27.74498101210665,37.48022067984038,502.624745549925,37.48022067984038,7.248153497809446,1.3011620301433E10,8.096720301433001E9,13.361696756452046,12.15925642597234,7.093120530654711,7.495604759164123,1.4945749780531594,1.4945749780531594,7.566321186275115,5.35143443584468,4.413824848142717,4.6642780698387005,0.07484079441610765,0.13341151676619561,12.4103998437841,0.9254310079006695,-3.248446794448116,1047.904761904762,9.519168291098115,1.8837543643458616,0.02470099745875642,0.33004723762579585,0.0,0.0,0.0,18.623350253807107,10.863959390862945,0.4873096446700508,0.07139519671058779,59.459526482715084,0.0125527386391289,0.008340927934656735,-275.6661857482093,4.397E10,8.1795E9,-6.40317E10,85722000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11185517867193512,0.42405744804836687
4,2014-12-31,4.263668300768957,3.4423132039425552,3.9689642262752303,3.6216798564761477,12.9356007143966,35.82626266172734,466.21124498308717,35.82626266172734,8.53666536360822,1.3641550619571001E10,1.2422750619571001E10,16.804078122161865,13.566932490871208,14.574306217490385,15.97184243012645,1.614594872654547,1.614594872654547,12.354799223839882,8.246648048042353,13.272169465353633,14.544843249702613,0.05950936390144257,0.06261018441515409,12.013114133200771,0.9231544432974219,-0.8090812533191716,841.7528604118993,6.561190738699008,1.1529933481152994,0.022204220652558455,0.37312145848731215,0.0,0.0,0.0,11.428571428571429,12.277167277167278,3.860805860805861,0.07727498756837395,52.6765354089324,0.010829569401325534,0.007383591110221789,-274.4055362980224,3.67409E10,7.9157E9,-6.4713E10,97264200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09608351383020275,0.3472843697990826
5,2013-12-31,3.899854886194891,3.056439693788794,3.5078214617762,3.1237290129054354,13.21712688040159,33.06789396589217,430.2642063289801,33.06789396589217,1.6479613992355004,1.26190440198704E10,9.6285440198704E9,17.255632462560374,13.52378525331733,15.03520078621518,16.883922959419856,1.5949246738966631,1.5949246738966631,10.318876883367698,7.0132886735162066,11.472112498356248,12.882718784948354,0.0579520920006673,0.059227941421166067,12.011539433771487,0.9231451431946248,-2.178235851118071,645.384761904762,4.835881294964029,1.147682209763435,0.01748151442000165,0.30165458772049775,0.0,0.0,0.0,9.132752992383026,10.153427638737758,3.236126224156692,0.07909120137177152,47.687268043109945,0.010452423251709513,0.007103634578080241,-255.58489541691318,3.38302E10,7.3713E9,-6.11526E10,86741100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09242922143579373,0.38409244887076466
6,2012-12-31,4.119079283666199,2.8587732926020184,3.387436300734881,3.0825503959658893,15.60907687348697,31.307997342376535,405.3934358147892,31.307997342376535,7.321421140168883,1.0548379277936E10,8.258479277936001E9,15.347561876816528,10.651700775457943,12.952332119273084,14.233408821934963,1.4014055105534742,1.4014055105534742,8.339371178366152,7.501570785662641,10.140568857976426,11.143542407146136,0.06515692903056894,0.07025723862149663,11.948558522651787,0.9227713263796404,-2.080025433736034,574.0297029702971,3.3365837256220576,1.1849265240797322,0.03358809829118373,0.5154954168485377,0.0,0.0,0.0,11.11050477489768,13.510231923601637,1.4815825375170533,0.07462385135817429,44.87544428262435,0.010187550306355438,0.007051848994190663,-229.3948237319611,3.47256E10,6.9892E9,-5.51506E10,72641100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09131127939418095,0.30488590476899163
7,2011-12-31,4.1801761556306385,2.500400681338473,5.195912151429502,4.794505879027748,17.87604218054989,29.483269995510796,415.17463181952076,29.483269995510796,10.678069642621244,8.208899826812E9,6.071799826812E9,13.599900309496357,8.134872487178674,6.544606415380691,7.09253484258856,1.1533727434296714,1.1533727434296714,6.017044719861262,5.13254423230093,4.840787552269792,5.24606862520477,0.07352995075278114,0.14099331511144614,13.081702330940104,0.9289858586342352,-1.806508875739645,563.2376395534291,2.212015018773467,2.0780318091451293,0.033341861366859175,0.45344599072233266,0.0,0.0,0.0,12.944272445820433,10.413828689370485,3.08875128998968,0.06966603904469329,40.7271376192752,0.008822795299567697,0.006022527605745946,-239.39969505550735,3.52523E10,6.5853E9,-5.77914E10,72592600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08480744102398381,0.4014062724017529
8,2010-12-31,3.7958296330846215E-6,2.766199999292646E-6,3.264901029784987E-6,2.890978550418319E-6,1.1643243611660458E-5,2.822102442892989E-5,3.46421204063768E-4,2.822102442892989E-5,1.3037292722581054E-5,1.00182003134576E16,1.00182002728576E16,1.4963704725104706E7,1.0904757062651137E7,1.2678056584988106E7,1.4317850955348864E7,1466729.1793124168,1466729.1793124168,1.0904757018458256E7,7737256.929917825,1.2678056533608707E7,1.4317850897323996E7,6.682837027132014E-8,6.98428837622744E-8,11.275288054697452,0.918535516596914,-0.031356194006796415,174.63695652173914,2.6185185185185187,1.1802837938760269,2.727036707710928E-8,0.4080657206870799,0.0,0.0,0.0,8.731491712707182,10.151381215469613,3.3701657458563536,0.05736366604985305,4.191017119381918E-5,0.011824733979325232,0.007985077030052275,-2.1862565631452022E-4,2.39619E10,6.3762E9,-5.29137E10,64085100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980191206828397,3.739224793666684E-7
9,2009-12-31,14.790144254319427,3.118356515559775,4.20156201877374,2.9005560206474867,126.78804475692512,26.136473458856536,338.4598987467859,26.136473458856536,0.0,9.556345318858E9,-2.1063654681142E10,12.689344468009558,2.6754235333738343,9.417902157147925,13.64217747160314,1.5139724210418084,1.5139724210418084,-5.897044900792855,-15.177730711299898,-20.75850466260175,-30.069457075149177,0.07880627738659374,0.07330208114368464,12.013339459134045,0.9231557738780032,-22.06369793918432,,0.0,1.347364227858186,0.0272384464264113,0.34563802947815697,0.6154147652509868,0.6154147652509868,0.004889124255096388,-3.2294716740929346,-11.368236791852324,-0.7756206238064927,0.0,42.8230539761477,,0.00921337070390348,-187.19828316896573,,5.9105E9,,65551900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11931053056827363,-1.3010059981262532
