,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2020-01-26,17.666666666666668,4.524271844660194,7.703883495145631,6.912621359223301,17.631067961165048,19.74757281553398,26.93851132686084,19.74757281553398,3.3058252427184467,1.617278808E11,1.528228808E11,57.84258969957082,14.812958490566038,33.96930913673598,37.85765,13.252038741396264,13.252038741396264,13.997332918116872,44.908281163679106,32.09890375971435,35.77314625468165,0.017288299247905557,0.026414740481778453,0.4187971156997706,0.29517759168351143,-2.616808698207464,7.673766816143497,54.73076923076923,1.7027896995708154,0.002411458049600561,0.13948497854077252,0.10010991023997069,0.10010991023997069,0.03852151313889691,-9.736196319018404,-22.32719836400818,-0.7791411042944786,0.0773035354460524,44.83554642265657,0.18324641040499645,0.167948101874099,12.165453074433657,1.1906E10,1.1537E10,8.579E9,,1.5405E9,5.99E8,1.277E9,55.39521890456127,60.42289156626506,86.10481927710843,6.589016294508148,6.04075691411936,4.239019407558733,0.22910521140609635,-0.7912621359223301
1,2019-01-27,18.7456,6.6256,5.9888,5.0288,1.2512,14.9472,20.2064,14.9472,3.2736,9.767325E10,9.887925E10,23.586875150929725,8.33674035506999,26.094910499599248,31.07643970728603,10.455282594733461,10.455282594733461,8.439676510754524,21.570517015706805,26.41711194229228,31.460149538657333,0.0423964596243086,0.032178718328713336,0.4228216655962321,0.29717123081552815,0.2630890052356021,7.943566591422122,65.58620689655173,0.9038879497705868,0.0037983787782222872,0.08959188601787008,0.08458518265619665,0.08458518265619665,0.04987962684321396,-6.238333333333333,-19.526666666666667,-0.43666666666666665,0.04754182314783202,47.2045420187507,0.3179804396890412,0.32789611212289177,8.524,9.228E9,8.679E9,6.607E9,12506000000.0,1.424E9,5.11E8,1.575E9,44.36326391259816,41.03740374037404,126.48514851485149,8.22752808988764,8.894324853228962,2.8857142857142857,0.44326696638835367,-0.96
2,2018-01-28,15.370253164556962,4.82120253164557,5.541139240506329,4.602848101265823,6.332278481012659,11.82120253164557,16.72626582278481,11.82120253164557,3.2373417721518987,1.543608808E11,1.523438808E11,50.65995431572038,15.89055803994235,44.077921416333524,53.06321100034376,20.661341292999598,20.661341292999598,15.682919579987647,42.447445193647255,43.5019648201028,52.36984558267446,0.0197394572006096,0.018845448308688326,0.5046178557087405,0.3353794146428254,-0.561994984675397,8.026886383347788,52.622950819672134,1.14932720708894,0.002209108928588078,0.11191335740072202,0.08389952645666049,0.08389952645666049,0.059603238146072414,-5.905564924114671,-16.381112984822934,-0.33558178752107926,0.04025118385834878,35.809625247759215,0.31819984139571766,0.2882414151925078,7.412579113924051,8.102E9,6.801E9,5.485E9,7416000000.0,1.3445E9,5.535E8,1.1855E9,47.5319127033148,55.894141829393625,74.65056526207606,7.67905138339921,6.530201342281879,4.889447236180905,0.4078436621603534,-0.9382911392405063
3,2017-01-29,10.647149460708782,2.5670261941448382,2.5762711864406778,2.305084745762712,2.721109399075501,8.878274268104777,14.05084745762712,8.878274268104777,3.201848998459168,6.516187149999999E10,6.541587149999999E10,39.11276800720288,9.430082706222866,38.97241118421053,43.55740073529411,11.30889821242624,11.30889821242624,9.46684102749638,30.425986744186044,39.124325059808605,43.727186831550796,0.025567098698201143,0.022958211075935722,0.707913918778202,0.41449039731734577,0.11813953488372093,4.774049217002237,33.3448275862069,1.0036014405762306,0.004005409820066325,0.1566626650660264,0.0959479015918958,0.0959479015918958,0.07336652779189107,-9.5,-39.26136363636363,-1.0625,0.035745296671490595,22.644914630289705,0.24015894697628212,0.1826954709946266,5.7557781201849,6.748E9,5.04E9,4.457E9,8375000000.0,1.125E9,4.98E8,1.1845E9,43.63096960926194,62.17948717948718,101.7948717948718,8.365617433414043,5.870103092783505,3.5856423173803527,0.28913571676501215,-0.2711864406779661
4,2016-01-31,9.226519337016574,1.130755064456722,2.1639042357274403,2.005524861878453,1.0976058931860038,8.230202578268877,12.128913443830571,8.230202578268877,8.265193370165745,1.74685272E10,2.13135272E10,28.45037003257329,3.4867319760479045,14.866831659574467,16.04088815426997,3.9088223763705527,3.9088223763705527,4.2541970459081835,19.063977817531306,18.139172085106384,19.571650321395776,0.03514892772414151,0.06234068777131938,0.6491385097337212,0.39362279511533244,3.4391771019677995,2.4827727645611155,15.893617021276595,1.9136807817589576,0.012193357663260814,0.3469055374592834,0.12015968063872255,0.12015968063872255,0.10637720488466756,-13.662790697674419,-58.25581395348837,-2.2906976744186047,0.0407185628742515,14.470408531028134,0.15145985401459855,0.09322805952019435,5.016114180478821,3.615E9,3.685E9,3.152E9,5149000000.0,9.645E8,4.035E8,9.965E8,36.79141716566866,49.13142337426103,69.38153706230105,9.92079207920792,7.429054054054054,5.260765550239235,0.13739091519355562,-0.15837937384898712
5,2015-01-25,8.314283532361989,1.1199126926055112,1.6084309532774017,1.3910842029737083,0.8826642607997613,7.846299203648583,11.297036947580043,7.846299203648583,2.4008947409549113,1.2140928522800001E10,1.3041928522800001E10,19.253375859001217,2.5933804056685164,13.405673371346294,15.500211959784242,2.7480598738795834,2.7480598738795834,2.7858397996200797,14.04127408174603,14.400532346498009,16.65051038626281,0.05193894345196021,0.06451524679756185,0.629923042100498,0.38647410081933065,0.9700396628869931,6.376116071428571,-16.452192573645764,1.436211022428309,0.015357309751873865,0.29568005683593224,0.1026940683843899,0.1026940683843899,0.11665046521316484,-7.400299066031492,-38.2535442593213,-1.798686070550167,33.715852608999626,14.060985973014043,0.12037890563045202,0.09913331237226851,4.328074051446717,4.817E9,3.578E9,2.93E9,6366000000.0,9.49E8,4.02E8,1.029E9,36.956048554450526,51.365734403442794,84.67457241250126,9.876597046413503,7.105904436860068,4.310621118012422,0.1427313263920326,-0.21734675030369333
6,2014-01-26,6.9411764705882355,0.7394957983193278,1.403529411764706,0.9746218487394958,1.9361344537815126,7.489075630252101,10.608403361344537,7.489075630252101,2.3267949579831932,1.05940345E10,1.08160345E10,24.077351136363635,2.5651415254237286,12.685947191953058,18.268726504569752,2.3774763240574504,2.3774763240574504,2.6188945520581113,14.240187191508578,12.951783618728296,18.651551129505087,0.04153280792128816,0.054738352985352276,0.6270197486535009,0.3853261619087022,0.2922810163479882,5.9523809523809526,47.51766733697213,1.8979545454545454,0.017113404718476232,0.41204545454545455,0.10556900726392252,0.10556900726392252,0.12949937939594539,-3.272335423197492,-16.183385579937305,-0.9369122257053292,33.00121065375303,11.162802029150646,0.07869124643196955,0.0697084917617237,4.019327731092437,4.68E9,3.518E9,2.831E9,5588495000.0,9.25E8,4.175E8,9.815E8,37.648910411622275,63.51235230934479,76.05800214822771,9.694835680751174,5.746913580246914,4.798969072164948,0.09874326750448834,-0.4289075630252101
7,2013-01-27,6.848,0.9008,1.31872,1.02544,1.1728,7.7248,8.7344,7.7248,0.0356704,7.2000625E9,6.4860625E9,12.788743339253996,1.6822575934579438,8.735819582625577,11.234299422686847,1.4913136909693454,1.4913136909693454,1.5154351635514018,7.267345774873556,7.869524993933512,10.12024106724918,0.07819376567911737,0.0890131162055885,0.3282932891466446,0.2471927635683094,-0.8000053781874163,4.892418032786885,196.79386763812994,1.463943161634103,0.006513832345205336,0.08330373001776199,0.10070093457943925,0.10070093457943925,0.14862757330006238,-4.49645390070922,-23.349699945444627,-1.2340425531914894,31.9303738317757,12.512643461715035,0.11924926416482708,0.10313244183916469,4.3032,3.799E9,3.874E9,3.19E9,3768872000.0,9.39E8,4.335E8,9.935E8,38.717289719626166,63.26192794547225,73.21324245374879,9.427312775330396,5.769662921348314,4.985436893203883,0.11661143330571665,-0.29328
8,2012-01-29,6.490259740259741,0.9431818181818182,1.475974025974026,1.2508116883116882,1.0844155844155845,6.73051948051948,7.444805194805195,6.73051948051948,0.039105519480519484,8.6848608E9,8.0378608E9,14.948125301204819,2.1723013506753377,9.55220061592609,11.271720700843607,2.094756584659913,2.094756584659913,2.010470435217609,9.235852458206413,8.84058600967884,10.43200622972096,0.06689802097921937,0.08871759925041055,0.3393632416787265,0.25337655321447866,-0.7434312050364879,4.198924731182796,209.873421819359,1.5648881239242685,0.0,-0.0,0.10155077538769385,0.10155077538769385,0.1741401044480461,-6.555155010814708,-28.82480173035328,-1.4722422494592646,0.034105552776388194,11.951248094707577,0.14023339822626,0.12668992586131705,3.482142857142857,2.975E9,3.179E9,2.498E9,3009367000.0,8.8E8,4.23E8,9.575E8,30.675337668834416,62.995878413189075,63.9361154044307,11.898809523809524,5.794029850746269,5.708823529411765,0.1401350699469368,-0.22516233766233767
9,2011-01-30,6.01528013582343,0.4295415959252971,1.1473684210526316,0.9811544991511035,1.1290322580645162,5.400679117147708,6.512733446519524,5.400679117147708,0.04435823429541596,1.17276968E10,1.10856968E10,46.354532806324116,3.310103528083545,17.353798165137615,20.293643883024746,3.686795598868281,3.686795598868281,3.128901157211403,24.04044178718661,16.403812962414914,19.182725038934073,0.021572863309358405,0.04927651267382697,0.41307764853819556,0.29232480533926586,-1.3922411830146575,3.4220572640509013,81.7866965142309,2.6711462450592887,0.0,-0.0,0.1021732994637313,0.1021732994637313,0.14660734149054505,-6.902962206332993,-36.189989785495406,-1.9101123595505618,0.028324301439458088,7.2246707439751985,0.07200084459459459,0.0659541188738269,2.7347198641765704,2.284E9,2.522E9,1.913E9,2252003000.0,8.865E8,3.985E8,9.605E8,35.953993790572966,48.91752577319588,59.17994376757263,10.151862464183381,7.461538461538462,6.167630057803469,0.07953473750392959,-0.166213921901528
