,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,2029.2952485580884,241.29057951112333,237.99368305410601,231.7594067563856,0.07717659983521011,643.0222466355397,1046.3650096127437,643.0222466355397,6.970612469101895,1.444297316E10,1.444269216E10,16.439763243293697,1.9547475917161752,16.667501208837496,17.115853270066694,6.168931200677931,6.168931200677931,1.954709560483465,14.904246877296107,16.667176928802647,17.115520266971306,0.060828126609909175,0.05842536648458329,0.627260977497433,0.38547042310453394,-2.899801038562194E-4,5.526368223524357,37.36067769897557,0.9863364062380839,,0.0,0.06057211425502635,0.06057211425502635,0.0,38.17502973699282,325.5061456451826,0.9171329133442002,0.01062871447395632,1868.4197164737268,0.26734141040952647,0.23059886109955471,-202.46621807195825,1.190376E9,,-1.5208E7,,1.84595E7,2.537415E8,1.3742445E9,0.9029331960419367,16.408977681866684,89.52407082423483,404.23810044862677,22.24392080216893,4.077115759365042,0.3752445281226562,6.234276297720407
1,2018-12-31,1972.9204076012118,219.55301569815478,199.15340126686863,193.73753786835582,201.66565684384466,498.08923161663455,871.91765353897,498.08923161663455,6.9074635086752965,9.62131487E9,8.88906687E9,12.068930101342579,1.3430698926277216,13.305170703307585,13.677111979199983,5.319870079101518,5.319870079101518,1.240853069249103,9.711536932842424,12.292556027580256,12.636190023327519,0.08285738599884321,0.07311485067321156,0.7505250027369811,0.4287428066228818,-0.8,8.444203586152739,35.69004425660859,0.9070857015267243,0.0,0.0,0.0598678834352317,0.0598678834352317,0.0,36.77223493516399,364.28548182049326,1.02557843885075,0.010567342958375827,1568.6084087447377,0.3064046905683744,0.2518047602397145,12.586133296612504,1.820078E9,3117006000.0,7.07203E8,2982759000.0,1.8641E7,2.44496E8,1.313685E9,0.9497870785298159,15.677977669858736,84.23828649641865,384.2966579046188,23.281063902885936,4.332946634847776,0.4407905286078111,5.415863398512807
2,2017-12-31,1689.2151084918296,143.9916956871149,152.3986070184838,146.96892579694617,178.9078489150817,430.0809000803643,800.7712295740691,430.0809000803643,6.478703455665684,1.197087241E10,1.130300941E10,22.2705204261787,1.8983787108458192,21.041990230337632,21.819374283448923,7.456201843422453,7.456201843422453,1.792466889423138,13.74938194128509,19.86804348361059,20.602056759047453,0.04490240824478055,0.045830828465074254,0.8619083745045133,0.4629166431102617,-0.8124122645893193,7.579303974073664,33.05383502170767,1.058384695667704,0.0,0.0,0.06220773124595613,0.06220773124595613,0.0,28.06768957521338,311.10760274310525,1.1183087473481672,0.007066782538091673,1180.415925391248,0.2931123240296468,0.17981627007716577,-13.946557728368605,1.7236E9,2940352000.0,6.01786E8,2848930000.0,1.93335E7,2.532345E8,1.3056845E9,1.1591619831774989,17.4238,-91.1479,314.88265255168284,0.0,0.0,0.33480141912884026,5.4296812215376375
3,2016-12-31,1513.5284637379777,110.54380036391994,99.9389134390434,94.12425266441383,103.09825838315571,339.080062386275,686.598388354562,339.080062386275,5.642578632700806,7.22016501E9,6.82354601E9,16.97815701849683,1.2400361439947898,18.779771916819477,19.939919275551237,5.535064452895915,5.535064452895915,1.1719183247048026,10.59569996211133,17.748159156230084,18.844577156334232,0.05889920790051307,0.05015065438234354,1.0268781800020086,0.5066304379481706,-0.6158756630517149,6.252977564766014,28.64159027041968,0.9040661991901463,0.0,0.0,0.0656858926270029,0.0656858926270029,9.830015246168318E-4,17.18740220841343,260.2952300058116,0.9955295274710537,0.007487792277739764,918.3528577218088,0.25983823505442105,0.16100212619030313,-91.25207954250065,1.319611E9,1.301842E9,2.31321E8,2776648000.0,1.8789E7,2.47854E8,1.234476E9,1.1871108230354293,18.1317,-84.6704,307.4691873052754,0.0,0.0,0.3260109119538561,5.814660774629582
4,2015-12-31,1282.6971655892592,95.20810542018896,50.56961710591745,46.02536051715565,105.7473893585281,308.09671805072105,624.3533068125311,308.09671805072105,5.857533565390353,6.640322E9,6.215006E9,17.340960548616316,1.2871315570745383,32.64806210697622,35.8715278152922,5.358706871159208,5.358706871159208,1.2046901264739267,10.362125509144171,30.55693713094483,33.57393822185248,0.057666932416831594,0.027877262578531584,1.02969822420743,0.5073159211190192,-0.709118828372356,6.665740402836829,24.544632624474723,0.5311482345198955,0.0,0.0,0.0719376670863856,0.0719376670863856,0.0015832177329928342,11.128248618482246,282.2677682332987,1.1782021119439734,0.010484767614239016,812.4034455030419,0.2527641371617008,0.15249075224130468,-75.19132272501243,1.288599E9,1.235183E9,2.4007E8,2604852000.0,1.50615E7,2.359665E8,1.1964615E9,0.8123519095143873,18.7161,-89.1968,449.3126632990768,0.0,0.0,0.3090201869807491,4.54425658876181
5,2014-12-31,1038.9359513791492,65.83216456287985,43.13908368396447,35.73562412342216,127.4939223936419,262.7992052360916,536.9434315100515,262.7992052360916,5.4090696587190275,5.36559594E9,4.82017694E9,19.051933174732806,1.2072255256303874,29.074099236517128,35.09747012304009,4.772579121284762,4.772579121284762,1.0845096621313928,10.29756507843594,26.118683601645092,31.5297719081353,0.05248811187970297,0.028492082092935234,1.0914605672200701,0.521865238258266,-1.1652036258062035,7.191401706561367,19.467372515125323,0.6552888541703654,0.0,0.0,0.0807392304493935,0.0807392304493935,0.02308943642654067,5.826881788330386,140.3311442283405,0.5561379136145491,0.014225679526109173,623.9105800009881,0.20984407324127632,0.12260540068017853,-50.515603085554,1.266897E9,1.069964E9,2.44439E8,2351336000.0,1.4331E7,2.24559E8,1.114882E9,0.8229517469414349,19.2233,-88.9323,443.5253966669993,0.0,0.0,0.25050366687272907,7.403459560542309
6,2013-12-31,888.9923506330001,56.25290788250424,57.043471946269506,53.02922194985818,182.86475084882727,266.2695762238861,523.3979520063228,266.2695762238861,4.7254410059774665,5.3065263048E9,4.4402733048E9,19.913637217470928,1.260078333860095,19.63765461287386,21.124202068421933,4.207014619868205,4.207014619868205,1.0543794313682795,10.709750591050192,16.431945973310835,17.67582503921085,0.05021684331592951,0.047339066193410266,0.9710183993048729,0.4926480643952009,-2.0893654380959044,9.17299531612058,17.92316283225374,1.014053745726648,0.0,0.0,0.07433131169313179,0.07433131169313179,0.0027138368270915487,14.21024400504838,221.45913967185527,0.7041964661337821,0.008143867391927418,580.5298043363522,0.17410144931938532,0.10747636223426546,9.292505326016377,1.484927E9,1.254605E9,4.41818E8,2167329000.0,1.4085E7,2.130915E8,1.0522585E9,0.8258999013835979,17.9619,-78.7267,441.9421765138,0.0,0.0,0.2112629939937464,4.0142499964113245
7,2012-12-31,635.531829974057,36.038315705448014,52.76072640191578,50.29315505887048,230.19497106365995,295.44542007583317,517.9850329275594,295.44542007583317,1.5024945120734385,5.215749459999999E9,4.062242459999999E9,28.882037898420712,1.637777922220652,19.72793156923263,20.695858090064633,3.5230195808513063,3.5230195808513063,1.2755695162733736,15.867700726933244,15.36493305192447,16.118794455973553,0.03462359558965473,0.04831884697161049,0.7594613087538679,0.43164422256705015,-4.5057635142789065,11.757767091271734,32.92694913003055,1.4640175426938666,0.0,0.0,0.09457365801579451,0.09457365801579451,0.0035391781919978257,21.381641730691467,257.5535786494137,0.6550748079255965,0.020360479173535555,489.4542825989835,0.10154313351869176,0.06957404831133027,82.94227699062064,1.758314E9,1.471258E9,7.97395E8,1997657000.0,1.4031E7,2.03971E8,1.0362585E9,1.0797622972697156,21.5325,-96.0996,338.0373633372254,0.0,0.0,0.12197960522183053,2.4675713430453
8,2011-12-31,0.0,23.664289632473945,0.26750777107332235,-1.8250137136588043,87.91259828122143,251.38032547083563,325.3766684951545,251.38032547083563,0.9358200767964893,3.839238E9,3.36167E9,29.664951321279553,1.3401,2624.222829801777,-384.6546438232642,2.7925813155232144,2.7925813155232144,1.6488,17.483474362508257,2297.7922077922076,-336.80693317302877,0.03370981429127343,-0.0025997346348416014,0.2943601210067799,0.22741748314821422,-2.4837500065010376,3.831332212286464,98.09989429175475,0.011304280636686757,0.0,0.0,0.1128,0.0,0.0,0.1278399161132471,0.0,0.5830129325410696,0.0159,365.8504867723521,0.11233653084359678,0.07272890752099624,14.847275553117571,3.60321E8,1730558000.0,8.2897E7,1255209000.0,1.2715E7,1.850725E8,482239500.0,0.949,21.2531,-89.8585,0.0,0.0,5.4147,0.0941373975395676,2.0925214847321265
9,2010-12-31,0.0,34.957576786017306,9.398947904293228,8.220770405565926,202.5708467673511,295.32903444764975,383.51620566774136,295.32903444764975,0.7853385372475818,4.63961783E9,3.44936983E9,22.521870003155264,1.3074,83.76575846753809,95.77082939415833,2.6658740190326906,2.6658740190326906,1.6488,11.717763740314094,62.276482812161476,71.20177169986583,0.04440128638784889,0.010441592772308146,0.2986065064175861,0.2299437935524749,-4.043360249481097,10.962447476753402,261.43072824156303,0.26886726050338583,0.0,0.0,0.0975,0.0,0.0,7.977531326515916,0.0,0.0,-0.0035,481.9644348642247,0.1373811563928667,0.09115019461864082,122.52358730697438,1.168884E9,2211134000.0,7.66526E8,1117423000.0,1.27945E7,1.80037E8,6.996E8,0.8508,15.7656,-64.5678,0.0,0.0,0.0,0.11836823579299621,1.1781774987273035
