,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,68.03321201091902,6.092356687898089,8.444040036396725,7.979071883530482,19.589171974522294,12.98407643312102,77.36442220200182,12.98407643312102,24.470427661510463,1.635270238E10,1.718130238E10,12.211711134343963,1.0935556002862168,8.810723265086207,9.324154624244498,5.729949325484425,5.729949325484425,1.1489666356821389,7.345576049593843,9.257167230603448,9.796614425818223,0.08188860586356492,0.10724832870100826,8.384841795437822,0.8934451936647326,0.3542539546814878,0.9126332058895307,8.687269750307,1.3860055260996191,0.03450805786633536,0.4214024344709133,0.027143783812701872,0.027143783812701872,0.36510301156686603,18.16046966731898,146.31800391389433,2.120352250489237,0.0048482984144392356,42.188049968016514,0.19646378153205277,0.07874881650367252,-62.549818016378524,-1.3962E9,-6.9248E9,-9.3448E9,,7.74755E9,1.161635E10,,191.09551482241852,352.2606199770379,0.0,1.9100395963724615,1.0361646443016892,,0.46921756193279374,0.46496815286624205
1,2018-12-31,67.4766107678729,5.853486319505737,7.600617828773169,6.736981465136805,16.118270079435128,11.240511915269197,65.53353927625773,11.240511915269197,22.727714033539275,1.6612453880000002E10,1.784375388E10,12.524467641737035,1.086477212855293,9.645505359112814,10.881995205030789,6.522105092065487,6.522105092065487,1.1670059175157945,7.482912807179401,10.360421459676015,11.688558810428402,0.07984371301080775,0.09189491275806629,8.664716736680932,0.896530852662794,0.5163549442254466,0.8989338712001153,8.008633633633634,1.2984770808202655,0.03301739790894757,0.41352533172496986,0.029783783076741965,0.029783783076741965,0.3967623999675021,8.800715380684721,78.13081246806337,1.28308635666837,0.004610796457861898,38.47614990102392,0.2282599392305388,0.08932046680449027,-53.31718887908208,-1.5433E9,-7.22E9,-8.343E9,819100000.0,7.6661E9,1.14643E10,1.1615E9,183.0013014872271,336.4451689675412,34.08677928489302,1.9945213341855703,1.084872168383591,10.707963839862247,0.5207490871972047,0.8636363636363636
2,2017-12-31,65.74946190271201,4.685320705983642,8.712440809298322,8.040895393887215,16.340938441670254,11.257425742574258,65.5415411106328,11.257425742574258,22.115368058544984,1.6345673350000002E10,1.746257335E10,15.018075477765528,1.0701912679394512,8.076324596076882,8.750828925531346,6.250496481970097,6.250496481970097,1.1433174464435365,7.498206599682254,8.628179924897475,9.348773140960438,0.06658642790020027,0.11427488852883505,8.533555122175061,0.895107335386985,0.47958263557902875,0.934283766521719,9.174610244988864,1.859518559353179,0.03151904415121571,0.4733553840499816,0.029462602137020743,0.029462602137020743,0.3893073738929534,12.97371794871795,97.9076923076923,1.7256410256410257,0.0052508904253090296,34.449305121794836,0.20969630330981542,0.07148627613249,-51.233534222987515,-9.929E8,-7.0908E9,-8.2001E9,1245100000.0,7.87495E9,1.151945E10,1.13605E9,193.18215744814583,338.4711339710619,32.4768062298707,1.889408446522675,1.0783785184801202,11.23878984332793,0.4161982333371573,0.6715454154111064
3,2016-12-31,64.80411937788988,4.828079024800337,8.117696511139133,7.422026061370324,12.619588062211013,9.087852038671711,57.84741488020177,9.087852038671711,21.564943253467845,1.844329266E10,2.036169266E10,16.057193679261708,1.1963035798377106,9.55017225559238,10.44531497989466,8.530662654949122,8.530662654949122,1.3207384532558426,8.905568868089572,10.543544252278377,11.531796262105681,0.06227738295836379,0.09573670127945581,9.714801110083256,0.9066711561207663,0.8390482855143457,0.9080073371446516,9.579876013352408,1.6813512101689012,0.02740291602573312,0.44001393000174127,0.02879307772639117,0.02879307772639117,0.40592866948120904,11.668882175226585,93.15347432024168,1.6767371601208458,0.006058286685390707,31.42020887405106,0.2194439892948823,0.08346231261671717,-49.53678015973098,-1.2889E9,-7.2415E9,-8.2814E9,1698100000.0,7.58845E9,1.09705E10,1.14345E9,177.82057352645475,301.7863738241051,32.417687353999625,2.0526308782020557,1.2094648123932155,11.25928558734672,0.5312673450508788,0.6956704497688104
4,2015-12-31,61.975429975429975,4.47952497952498,8.895577395577396,8.065520065520065,10.668304668304668,10.042588042588042,53.6015561015561,10.042588042588042,19.437755937755938,1.554066822E10,1.750106822E10,14.206662601700337,1.02684402553124,7.1540156608203285,7.890266155564581,6.336922288370576,6.336922288370576,1.1563767456919336,7.947805731153497,8.056469281406804,8.88559515637693,0.07038950864366372,0.12673843699109613,8.01594356548687,0.8890853749542077,0.8902815622161672,0.8425342485020676,10.602429596907786,1.9858305146722735,0.031961302626664016,0.4540634427278545,0.0,0.0,0.40800155580782155,10.71682289097188,74.6640355204736,1.3907252096694622,0.006567819008351834,31.814863506019794,0.2433247582719773,0.0835708010237213,-45.29719492219492,-2.2391E9,-6.5688E9,-7.6778E9,835500000.0,7.4435E9,1.063815E10,1.1421E9,174.14819880537053,236.6384,0.0,2.0959160215485606,0.0,0.0,0.4460528461914859,0.8300573300573301
5,2014-12-31,60.33005120126034,4.348168570303269,5.815281606931863,4.9763686490744385,9.405671524222134,11.224891689641591,48.6337140606538,11.224891689641591,18.6695549428909,1.560522719E10,1.778012719E10,14.13516955615942,1.018764260533497,10.569066840501186,12.350793185595569,5.475518312280702,5.475518312280702,1.1607494020028986,7.942875671208398,12.042077338300034,14.072122825484765,0.07074552562153374,0.08096645980326801,6.56480701754386,0.8678089212744148,0.9715881170426625,0.9278175290810954,10.971218961625283,1.337409420289855,0.029989951078693653,0.42391304347826086,0.0,0.0,0.4272601195749477,6.931924882629108,71.91455399061033,1.3821596244131455,0.006104009714188722,33.13870438209758,0.20467226749205147,0.08940646739174447,-42.704115793619536,-8.706E8,-6.3616E9,-7.5192E9,2317300000.0,7.0954E9,9.81465E9,1.16405E9,155.47372990899478,209.6311,0.0,2.347663494107009,0.0,0.0,0.3873684210526316,0.8389129578574241
6,2013-12-31,56.33256083429896,3.828118964851294,6.987253765932793,6.168404789494013,10.469293163383545,13.83700270374662,49.42719196601004,13.83700270374662,15.366164542294323,1.567181247E10,1.674241247E10,15.81254411260216,1.0745526051630154,8.663246252072968,9.81328269881027,4.3746685099374725,4.3746685099374725,1.1479593040556755,7.9344166011089525,9.255064936428965,10.48366466499687,0.06324093029426098,0.10190269970733003,5.168685797230907,0.8378909166602561,0.5073693189896213,0.9490621207555161,9.25608519269777,1.8252446776309152,0.02031673111259479,0.32125920694178184,0.0,0.0,0.4209297379483861,8.533018867924529,68.79481132075472,1.3433962264150943,0.00591724090644177,34.52271832439472,0.1858568373892679,0.0774496549891769,-39.27829277713403,-6.254E8,-5.7196E9,-6.864E9,1848200000.0,7.14935E9,9.9116E9,1.22475E9,165.99122355925812,209.1946,0.0,2.1989114374453456,0.0,0.0,0.27665810629745424,0.8188489764387794
7,2012-12-31,52.99813641446142,3.720834886321282,5.409243384271338,4.565784569511741,9.982482295937384,12.898993663809168,47.90011181513231,12.898993663809168,14.79388743943347,1.162492923E10,1.273612923E10,11.64472526294701,0.8175400670914384,8.010011183077241,9.489738146938775,3.359029481622746,3.359029481622746,0.8956868243385797,6.1243168061165605,8.775669558327017,10.396840187755101,0.08587579160686211,0.10537698559391574,5.40080328247804,0.8437696089274509,0.534333525678015,0.9819464793950723,10.040066777963272,1.453771411399379,0.03421956315857933,0.3984774115997195,0.0,0.0,0.4198420902947377,6.413168360583296,62.83429076447194,1.2169686257180734,0.005682377596804366,32.86165054454222,0.17557244479909692,0.0776790438544617,-38.275624301155425,-2.144E8,-5.8395E9,-7.0297E9,2752800000.0,7.31215E9,9.8805E9,1.08495E9,178.61112283218702,212.9693,0.0,2.043545744589118,0.0,0.0,0.288459315765141,0.8434588147595975
8,2011-12-31,49.72222222222222,3.414336917562724,4.714336917562724,4.049462365591398,6.3842293906810035,12.560215053763441,41.507885304659496,12.560215053763441,9.613978494623655,1.00524258E10,1.07954258E10,10.552619987402897,0.7246297206703911,7.642686687447731,8.897526818906002,2.8685973803612703,2.8685973803612703,0.7781889205262209,5.558635394675866,8.207576826579487,9.555165338998053,0.09476319636201642,0.11239078233236001,4.85149673258568,0.8291035532103739,0.3825755625353998,0.8929397652300574,10.56989247311828,1.380747428091539,0.026769657926746397,0.28249002729372247,0.0,0.0,0.4352365718298595,7.090566037735849,74.78436657681941,1.4609164420485174,0.005370336997657235,31.062970461440273,0.1891582903196595,0.082257549198235,-35.490860215053765,-1.2495E9,-5.4204E9,-6.5796E9,1321600000.0,7.14905E9,9.76215E9,9.009E8,174.49486393944855,212.067,0.0,2.091752110977081,0.0,0.0,0.271837456838741,0.6648745519713262
9,2010-12-31,41.86415220293725,2.762683578104139,0.0,0.0,7.639185580774366,-2.767022696929239,34.02570093457944,-2.767022696929239,0.45427236315086783,1.0221573040000002E10,7.934273040000002E9,12.349369385042891,0.8149549962128764,9.272,10.3401,-12.330003667068759,-12.330003667068759,0.6325910336854695,4.6312590707448065,9.8609,10.9967,0.08097579470018637,0.0,-13.29686369119421,1.0813215487389765,-1.3351038991361195,0.9247942956155709,10.840386043058649,0.0,0.0175,0.0,0.0,0.0,0.0,0.1033,0.0123,-0.6075,0.0055252142714769786,13.114845927938926,-1.7613992762364294,0.0811940239942712,-12.97196261682243,-8.29E8,11478800000.0,-8.29E8,1343200000.0,6.82165E9,9.5956E9,9.3455E8,173.94283436316522,224.861,0.0,2.098390550759553,0.0,0.0,-0.998431845597105,0.0
