,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,19.99206349206349,3.359126984126984,6.704365079365079,0.22817460317460317,0.2916666666666667,29.938492063492063,94.40674603174604,29.938492063492063,31.10515873015873,2.9694672E10,4.4655672E10,17.539676314235084,2.9470694720127035,8.78800591891092,258.2145391304348,1.9679681887467693,1.9679681887467693,4.431884874950377,12.843161345987921,13.215647232909145,388.3101913043478,0.057013594896754546,0.00387274861968504,2.1632314931406986,0.6838675885187513,4.302847282139775,0.6401822865068357,3.414762741652021,1.995865327820437,0.031992271206093804,0.5611340815121086,0.0,0.0,0.003121726377540331,1.0352328431372548,3.0870098039215685,0.4699754901960784,0.0032751091703056767,47.56849716437681,0.04552163624862357,0.03558142956222021,-61.71180555555556,-1.816E9,1.494E10,-2.941E10,,1.374E9,1.4045E9,5.79E8,47.56302104009527,146.99584816132858,63.53944246737841,7.674028941355674,2.4830633284241532,5.744463373083475,0.11220094108290808,6.476190476190476
1,2018-12-31,19.238095238095237,2.8531746031746033,5.779761904761905,-2.2718253968253967,0.35119047619047616,28.525793650793652,89.6170634920635,28.525793650793652,29.63888888888889,2.55345048E10,3.98195048E10,17.756957440890123,2.6335091584158414,8.76570710607621,-22.300877554585153,1.776066272518606,1.776066272518606,4.106797112211221,10.646926417112299,13.669586268451768,-34.776860087336246,0.0563159540889158,-0.044841284723093594,2.1526744105167976,0.6828089838062039,3.81951871657754,0.7106382978723405,4.8277310924369745,2.025730180806676,0.035638051613987046,0.6328233657858137,0.0,0.0,0.0035079203988880553,0.7178413011335634,2.3893543617545587,0.35534746180384424,0.0,42.793154529042205,0.05689386249411998,0.03183740341399695,-58.33184523809524,-1.428E9,1.4218E10,-2.7442E10,55533000000.0,1.435E9,1.451E9,5.71E8,54.01969884488449,164.22170542635658,64.62480620155038,6.756794425087108,2.222605099931082,5.647985989492119,0.10002086666202963,8.051587301587302
2,2017-12-31,17.98811881188119,3.116831683168317,6.457425742574258,-2.0712871287128714,0.6198019801980198,27.41980198019802,84.32871287128712,27.41980198019802,26.65148514851485,2.36641485E10,3.64191485E10,15.034401842439642,2.605036162483487,7.256715271389144,-22.6234689292543,1.7089729544305625,1.7089729544305625,4.0091532915015415,9.79799529190207,11.168092149647347,-34.81754158699809,0.06651411944951242,-0.04420188624154383,2.084855925471221,0.6758357524112745,3.4315308044121604,0.7946257197696737,3.6547314578005117,2.071791613722999,0.036764475172220965,0.5527318932655655,0.0,0.0,0.0030433561194868433,0.7571395402832598,2.109124680752264,0.5312282331088926,0.0,43.85105950894296,0.03707066514475459,0.036960503451838635,-53.915841584158414,-8.56E8,1.3717E10,-2.5557E10,51715000000.0,1.3915E9,1.5725E9,5.74E8,54.163364156759144,67.991,-55.6594,6.738872403560831,0.0,0.0,0.11367083122698057,8.528712871287128
3,2016-12-31,17.942574257425743,1.7564356435643564,6.556435643564356,-1.9544554455445544,0.8376237623762376,26.0,79.12079207920792,26.0,23.326732673267326,1.93200375E10,3.02920375E10,21.78132750845547,2.1322191259242906,5.835106463304138,-19.574506079027355,1.4714423076923078,1.4714423076923078,3.343122999668911,9.00476739001189,9.148908939897312,-30.69102077001013,0.045910883972145496,-0.0510868573624663,2.0517897943640517,0.6723234339905166,3.2615933412604043,0.9932844932844933,4.093506493506493,3.7328072153325818,0.04296057913966264,0.9357384441939121,0.0,0.0,0.0028450212128774644,0.7703583061889251,2.108189855746859,0.4160074453234062,1.1036309458117205E-4,32.054872507703855,0.042833070609338476,0.022199419361297427,-49.90643564356436,-2.2E7,1.3016E10,-2.3686E10,48040000000.0,1.298E9,1.455E9,5.66E8,46.768016775190375,59.3949,-54.9482,7.804478897502153,0.0,0.0,0.06755521706016755,8.510891089108911
4,2015-12-31,20.623762376237625,3.3247524752475246,7.76039603960396,0.11089108910891089,0.7801980198019802,25.873267326732673,74.09306930693069,25.873267326732673,5.566336633663366,1.7780545E10,1.9804545E10,10.58996128648005,1.70720547287566,4.5370107170196485,317.50973214285716,1.3608254247665699,1.3608254247665699,1.9015405664906384,4.512313738892686,5.0534689971931614,353.65258928571427,0.09442905152794809,0.003149509759121557,1.872723098117251,0.6518982283202345,0.46115288220551376,0.9773426573426574,7.536895674300254,2.3341274568195356,0.044374342856194786,0.4699225729600953,0.0,0.0,0.003143732516318103,1.0144965053067565,2.6960911208904994,0.3694020191560963,9.601536245799327E-5,43.99431458397944,0.08722025912838634,0.044872651468583796,-45.1,-8.1E7,1.2948E10,-2.0975E10,43380000000.0,1.2515E9,1.41E9,5.42E8,37.42870859337494,47.9774,-57.0989,9.75187265917603,0.0,0.0,0.12850145415582429,7.649504950495049
5,2014-12-31,21.513833992094863,3.0,6.24505928853755,0.6719367588932806,0.7944664031620553,24.08102766798419,69.6304347826087,24.08102766798419,18.32806324110672,1.77043834E10,2.61873834E10,11.662966666666668,1.6263442403086532,5.6026529746835445,52.07171588235294,1.452965400082068,1.452965400082068,2.405602002572111,6.466020592592592,8.28714664556962,77.02171588235294,0.08574147801159795,0.019204283612610874,1.8997127615921214,0.6551382560212832,2.094567901234568,1.184301322599195,6.74293059125964,2.0816864295125166,0.04224942394774392,0.4927536231884058,0.0,0.0,0.0028302153793903716,1.1205673758865249,3.8602836879432623,0.5060283687943262,9.186110600771634E-5,40.317110109591596,0.08234186156019463,0.04308460817983141,-42.141304347826086,6.41E8,1.2085E10,-1.9029E10,40405000000.0,1.3445E9,1.3145E9,5.275E8,42.04574683079184,39.4975,-53.0173,8.681020733652312,0.0,0.0,0.12457940090274928,5.573122529644269
6,2013-12-31,19.703927146073546,2.457060738620527,6.242476116302193,0.6859212198723436,0.9745220789540788,22.945745015210846,64.18997052713145,22.945745015210846,17.410934019122774,1.33100407678E10,2.12230407678E10,10.707997399678199,1.3352769630617976,4.2147057529449015,38.357466189625356,1.1466265306512748,1.1466265306512748,2.129117251986356,5.784421032379394,6.7204055629512345,61.16150077175792,0.0933881437093039,0.026070543738639144,1.8016884906960717,0.6430723817723387,2.1567184518942493,1.179888997714659,5.718905472636816,2.5406275140788415,0.05469554997616512,0.585679806918745,0.0,0.0,0.001506672406371072,1.1234436143721096,3.546069014585557,0.48737104233368905,1.0032102728731942E-4,35.61642187100812,0.07804066668929699,0.03827795399254765,-37.915926220969425,5.51E8,1.1559E10,-1.73E10,37620000000.0,1.319E9,1.3365E9,5.25E8,44.05046147672552,44.7462,-57.5813,8.28595178719867,0.0,0.0,0.10708132322536182,5.55655489642985
7,2012-12-31,19.332599375806677,2.5200965345213695,5.508634542518476,0.4210043622376876,0.749111048300862,21.30716913109048,62.60710410271716,21.30716913109048,16.081180709698714,1.17863669479E10,1.91203669479E10,9.24420937090196,1.2050267813004805,4.229051649766774,55.33505609342723,1.0933550044434137,1.0933550044434137,1.9548478629894694,5.455168886704708,6.860555058449947,89.76698097605635,0.10817582768600034,0.018071726507543583,1.9429499072356216,0.6602048857368006,2.0924393723252495,1.0243579560497749,5.385342789598108,2.1858823529411766,0.06091783864984176,0.5631372549019608,0.0,0.0,0.0015760441292356187,1.0827505827505828,3.7999222999223,0.4766899766899767,1.0223903486351089E-4,34.758635897769935,0.08150851581508516,0.04025256511444357,-38.3751405818557,9.2E7,1.073E10,-1.7076E10,35721000000.0,1.252E9,1.3775E9,4.965E8,39.89213781821899,48.6617,-56.8809,9.149672591206736,0.0,0.0,0.11827458256029684,5.087630180280788
8,2011-12-31,21.897463973641614,2.9706551450837932,7.030352861652064,2.9133371150056626,1.6483874856951986,20.298488582841355,58.65018015649799,20.298488582841355,16.509569146297356,1.10086913165E10,1.80526913165E10,7.324478587159016,0.9936538781929777,3.0949371145628337,7.468582982700136,1.0719270999513146,1.0719270999513146,1.6294513328368987,4.65635576902244,5.075257609361822,12.247416089891452,0.1365284897894521,0.13389420755133224,1.9037000973709834,0.6556118171758157,1.8168687129223626,1.3226242813662497,5.772631578947369,2.366600133067199,0.06295026175920844,0.46107784431137727,0.0,0.0,0.004929412159216659,1.7076332213154104,5.3187710033605375,0.5448871819491119,9.026085386767759E-5,36.83402930424462,0.10206968433591423,0.050650401024465865,-34.88938608436819,9.54E8,1.0123E10,-1.564E10,33977000000.0,1.201E9,1.3175E9,4.69E8,31.858019676866146,39.0071,-52.1641,11.457083764219234,0.0,0.0,0.14634858812074003,4.117015746646401
9,2010-12-31,23.307015030089826,3.091000721365258,4.2768066247023135,0.007905372688913703,0.5533760882239592,19.038113778076426,58.810043776001265,19.038113778076426,18.194215243534888,1.1325765846E10,1.9779765846E10,7.241538264705882,0.960380382091071,5.233718043438078,2831.4414615,1.1757257184677672,1.1757257184677672,1.6772463195115748,4.887513181616012,9.140372387245842,4944.9414615,0.13809220685525375,3.53176999629805E-4,2.1048479186131006,0.6779230332007088,2.088954781319496,1.4493543758967002,6.2224576271186445,1.3836317135549872,0.06118791518586371,0.4430946291560102,0.0,0.0,0.005082082316359624,1.0018518518518518,5.459722222222222,0.5138888888888888,8.479606546256254E-5,36.387546317154055,0.11114895549500454,0.05255906173337366,-36.7486190302084,1.566E9,9.481E9,-1.5225E10,34996000000.0,1.411E9,1.3135E9,4.65E8,42.9284321207496,36.3979,-47.3516,8.50252343186734,0.0,0.0,0.1623585591196927,4.2689012520134
