,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-09-30,57.86343993085566,6.013828867761452,10.216076058772687,9.068280034572169,8.802074330164217,3.4935177182368196,41.899740708729475,3.4935177182368196,18.10025929127053,2.0270639652899998E10,2.1248239652899998E10,29.132853769617704,3.0278185536386446,17.149441330710662,19.32009116746092,50.150023881494306,50.150023881494306,3.173842333288522,13.980024773274556,17.976514088747884,20.25184869700724,0.03432550782384689,0.05175959012471998,14.12370113805047,0.9338786193358416,0.6432002105401671,1.5415634035522512,9.175152749490834,1.6987640126473125,0.02268305331618971,0.6608220753089968,0.22980522196331482,0.22980522196331482,0.20696875511205629,-8.900602409638553,-50.41265060240964,-1.1460843373493976,0.006437832347493577,21.74193869780926,0.2157463723001772,0.14352902347456578,-30.068496110630942,1.0489E9,-8.61E8,-2.7231E9,4149500000.0,1.1844E9,9.069E8,5.7865E8,64.26263667323893,85.9717500724695,55.37473318048858,5.679816747263935,4.245580666815843,6.591453882230328,1.7214250371103414,-1.1477960242005185
1,2018-09-30,55.04541701073493,4.421965317919075,10.734929810074318,9.698596201486374,5.109826589595376,13.356729975227084,41.051197357555736,13.356729975227084,13.122213047068538,1.98313353945E10,2.07286353945E10,37.03330605882353,2.9749978089558957,15.254873380384616,16.88491732183908,12.260485560741886,12.260485560741886,3.10960626980198,14.020992555803572,15.945104149615384,17.648901996168583,0.027002720157136516,0.05922445345388765,2.871406491499227,0.7416959437879271,0.606939935064935,1.2654566587688318,18.23013698630137,2.4276377217553686,0.022227449197508454,0.8231559290382819,0.23987398739873989,0.23987398739873989,0.20611625678696902,-10.358565737051793,-53.11553784860558,-1.3115537848605578,0.005775577557755775,36.45431971664601,0.3306253260788552,0.10771830305956188,-21.068744838976052,5.938E8,3.268E8,-1.8138E9,3891800000.0,1.1901E9,9.2E8,5.816E8,65.16449144914492,88.51283673361802,55.955506352469826,5.601209982354424,4.123695652173913,6.523039889958735,0.33106646058732614,-1.0363336085879438
2,2017-09-30,49.15342679127726,6.4306853582554515,8.052959501557632,6.9493769470404985,10.988317757009346,20.74454828660436,45.52959501557633,20.74454828660436,19.03582554517134,2.40108E10,2.49679E10,29.07932663194865,3.8044143045014494,23.22127659574468,26.90888714557884,9.014416579065927,9.014416579065927,3.9560629347361083,20.43701399688958,24.146905222437137,27.981508461279837,0.034388691755376746,0.03716244356706149,1.6887295389698154,0.6280771325244007,0.7834165507080298,2.060164041383167,13.614173228346457,1.252270800532881,0.016271844336715142,0.4731742763715635,0.2521667485304137,0.2521667485304137,0.18371336414538447,-7.297106563161609,-44.539872971065634,-1.191954834156669,0.006100169537179345,54.78628857598881,0.20682230506987778,0.14124187478617858,-6.476830218068536,2.2749E9,1.3479E9,-7.74E7,4133100000.0,1.1628E9,8.66E8,5.7015E8,65.66911729754567,80.38295679531339,55.307830001898516,5.558168207837957,4.540763546798029,6.599427241811348,0.3099939930920559,-1.103582554517134
3,2016-09-30,45.75486381322957,5.6785992217898835,7.371984435797665,6.4622568093385215,11.878599221789884,15.48715953307393,44.91828793774319,15.48715953307393,19.38054474708171,1.52658003855E10,1.61585003855E10,20.920652851171713,2.5964453415256403,16.115064272669695,18.38367098446532,7.670871004220894,7.670871004220894,2.748277980355472,13.617478834906455,17.05742677662831,19.45869506924374,0.047799655542011085,0.05439609971506921,2.5682629013617406,0.7197515912803469,0.7523175459295466,2.1180221671137205,13.227208976157083,1.2982047416746607,0.024774331541713844,0.518295189804029,0.24957904583723106,0.24957904583723106,0.18717963161155862,-8.103507271171942,-50.295124037639006,-1.473053892215569,0.006888340845309975,44.483377475475166,0.18400874095174916,0.12642065142065143,-12.524124513618677,2.2091E9,6.609E8,-9.261E8,4234600000.0,1.13455E9,8.198E8,5.541E8,66.9844374521643,77.16039952996474,56.46562867215041,5.44902687673772,4.730405780989439,6.464109380934295,0.36666499170895933,-0.909727626459144
4,2015-09-30,47.64274924471299,6.2507552870090635,8.970543806646525,8.042296072507552,10.780211480362539,17.045317220543808,38.87009063444109,17.045317220543808,17.26963746223565,1.44527845296E10,1.52482845296E10,17.463490248429192,2.2912196657524695,12.1687164516292,13.573238664162284,6.404105161999291,6.404105161999291,2.417331366952552,11.264985615839244,12.838498383093373,14.32032731930879,0.05726232189409835,0.07367438418660696,1.8379563984402694,0.6476337689509266,0.5876920803782506,3.048881524440762,17.70015698587127,1.4351135814403093,0.024223705769845134,0.42303044949250845,0.23881164888473183,0.23881164888473183,0.19646509594516526,-9.663954434499594,-51.32546786004882,-1.322213181448332,0.0065790516653719934,48.962101686292726,0.222079968485326,0.16081144100730607,-7.176359516616314,2.7203E9,9.985E8,-9.99E7,3892300000.0,1.11555E9,8.0695E8,5.586E8,60.2363702658571,70.26006990679095,54.231580115401684,6.059462055715658,5.194984868136619,6.7303958177744585,0.36671393123006024,-0.9282477341389728
5,2014-09-30,48.45281638624726,6.0482809070958305,7.558888076079005,6.527432333577177,8.714703730797366,19.444769568397952,36.08412582297001,19.444769568397952,11.656181419166057,1.5071175E10,1.5413975E10,18.228320029027575,2.275409526685287,14.58547856382464,16.890255519444132,5.669905195440352,5.669905195440352,2.327164641050804,11.446587702361503,14.917231201006484,17.27443124509694,0.05485969076730912,0.059205735451947177,1.3435912870095181,0.5733044385584718,0.2545670577751374,2.3250398912593817,13.942664418212479,1.2497581035316885,0.02126576063246562,0.38763909046927914,0.2370498980901336,0.2370498980901336,0.20817080022473713,-7.328368794326241,-46.97517730496454,-1.0815602836879432,0.006416547142749302,51.44090922385544,0.182218891876405,0.16761611287935613,-3.9908558888076078,2.2421E9,1.3613E9,3.628E8,3269500000.0,1.20295E9,8.123E8,5.85E8,66.99886766815128,66.46139135827993,55.5008269588588,5.447853265339694,5.491910303718422,6.576478585995921,0.3110492457018171,-1.031455742501829
6,2013-09-30,45.73002159827214,5.444924406047516,7.305975521958243,6.253419726421886,8.645788336933045,18.61411087113031,33.18070554355651,18.61411087113031,9.637868970482362,1.5287333722199999E10,1.5364233722199999E10,20.21331974375248,2.4067340043451564,15.064380885100512,17.599969746949114,5.912718515644942,5.912718515644942,2.418840618114265,12.93830208185263,15.140159363618446,17.688503018880958,0.04947232877514241,0.0568182794844489,1.260529878166699,0.5576258426581802,0.06475789473684211,2.382274875380333,12.41871921182266,1.341795583763057,0.018073786117376502,0.3653312177707259,0.24208504541948078,0.24208504541948078,0.21144304143996168,-6.9411764705882355,-43.44664842681259,-0.9931600547195623,0.0064705048883011386,47.753843803714545,0.17588781134444986,0.16409911473702482,-3.5149388048956083,2.1352E9,1.3497E9,4.208E8,2947300000.0,1.1881E9,8.209E8,5.985E8,68.15700813929689,69.73266986051189,59.45342897223472,5.355282016693365,5.234275422554724,6.139259018524537,0.29251595436085864,-1.0525557955363571
7,2012-09-30,44.77396280400572,5.271816881258942,5.1409155937052935,4.142346208869814,6.465665236051502,13.245350500715308,32.03290414878398,13.245350500715308,9.407010014306152,9.6965281398E9,1.00476281398E10,13.156754599457258,1.5491146339585264,13.491760316961178,16.74413424244517,5.2365545929686235,5.2365545929686235,1.6052062721347093,8.62013395658888,13.98028125754835,17.350419858055602,0.07600658600421505,0.059722406994628136,2.0439596046875845,0.6714805286968863,0.30121825669183255,2.2117393575346043,16.071547420965057,0.9751696065128901,0.02551428680792782,0.335685210312076,0.2383135763811228,0.2383135763811228,0.2054998669387031,-5.1482808022922635,-44.83810888252149,-0.9928366762177651,0.006949547879988497,39.637216139341916,0.23530414870033375,0.1645750524764414,-9.520207439198856,1.8559E9,6.934E8,-3.973E8,3104700000.0,1.1887E9,8.1815E8,6.003E8,69.23419177556954,69.96801991061632,60.46377820001606,5.271961593531542,5.216668993438503,6.036672051696284,0.39801263703623696,-0.9985693848354793
8,2011-09-30,42.2861169837914,4.91754756871036,4.536293164200141,3.689922480620155,6.9689922480620154,12.318534178999295,28.994362226920366,12.318534178999295,6.797040169133193,1.00876704324E10,1.00037704324E10,14.456392135855545,1.6811663276448237,15.671384856920925,19.26598631092437,5.770978508237986,5.770978508237986,1.6671839264715684,9.451786122826908,15.541044636321267,19.10574948892284,0.0691735524743926,0.05190494708453993,2.0233981693363843,0.6692463433555981,-0.07927059712773998,2.3122791187307317,14.581512605042017,0.9224706219547149,0.020916623061187786,0.3023789051304099,0.243517098860076,0.243517098860076,0.22149898768188614,-5.35970024979184,-49.96169858451291,-1.093255620316403,0.006582894473701753,36.9185861124895,0.21936788874841973,0.16960357776535498,-10.074700493305144,1.7452E9,5.774E8,-4.618E8,2700500000.0,1.12675E9,6.8755E8,6.1165E8,64.68585427638158,46.01426592797784,64.88102493074793,5.642655632875682,7.932322566468908,5.625681782764532,0.3991990846681922,-0.8463706835799859
9,2010-09-30,34.254840014240195,3.274556767266157,3.478379060124205,2.777343215484412,5.736645432897462,10.29972583010014,25.520102654216213,10.29972583010014,6.808651955887891,8.843453509549818E9,8.934953509549818E9,19.046852271268182,1.8207645685710971,17.930765428933128,22.456712822625235,6.055500896706257,6.055500896706257,1.839603357947255,12.06773839755513,18.11628854328836,22.689064270060484,0.05250211351239811,0.04453011479901438,2.2513694878115587,0.6924372933470927,0.12358184764991896,2.116174425263847,0.0,1.0622442386388111,0.01963034009423285,0.3738961878096059,0.2724521309450278,0.2724521309450278,0.23793778826106185,-4.961770623742455,-48.86317907444668,-1.2806841046277666,0.007473749227918468,27.547383372176387,0.0,0.12831283681083322,-10.780718230547162,1.3643E9,3.306E8,-7.013E8,2487700000.0,1.02455E9,6.7785E8,5.9245E8,64.55322215359276,54.45131137437512,75.39700746421968,5.6542491268917345,6.7032361716777595,4.84104094148848,0.3179265954533005,-0.7010358446397932
