,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2018-12-31,94.4432809773124,10.153577661431065,11.965095986038394,9.301919720767888,12.593368237347295,40.04188481675393,111.21815008726003,40.04188481675393,21.448516579406633,4.912329E10,5.147629E10,16.886658645582674,1.8154811885579125,14.330014585764296,18.432754221388368,4.282016213389121,4.282016213389121,1.9024425308596349,10.081529573051313,15.01642065344224,19.31568105065666,0.05921834632818771,0.05425125230822284,1.7775453277545328,0.6399698719558122,0.4608303956130043,1.4642857142857142,24.66304347826087,1.1784118253695428,0.019848019137154695,0.33516672396012376,0.10891418434474093,0.10891418434474093,0.0,4.492791612057667,35.462647444298824,0.744429882044561,0.006098011678616306,95.64407306222502,0.19248388191381066,0.09129425056490083,-36.86387434554974,3.848E9,-3.392E9,-8.256E9,11437000000.0,5.4205E9,1.7415E9,6.76E8,75.46049227585188,44.503352371492426,17.175937422398807,4.836968180193064,8.201629327902241,21.25065963060686,0.2535739191073919,2.663176265270506
1,2017-12-31,87.07660597732738,6.952937135005153,9.429749227069735,7.56441085537616,10.659567159051873,34.225352112676056,106.01167983510821,34.225352112676056,21.3500515286843,6.0892298E10,6.3799298E10,30.08512747035573,2.4022525643048764,22.18298652094718,27.653178019981834,6.111843621399177,6.111843621399177,2.5169361685340066,16.494130816959668,23.2420029143898,28.973341507720253,0.03323901489150566,0.03616220888888115,2.097460604235672,0.677154893065457,0.7515511892450879,1.5413718018508438,16.185365853658535,1.3562252964426877,0.014944418750627542,0.44960474308300397,0.11653779390878964,0.11653779390878964,0.0,5.05524861878453,46.68139963167587,1.0128913443830572,0.006824996054915575,73.1727492815063,0.14111942837699898,0.06558651976668826,-45.56767433871522,3.978E9,-4.908E9,-9.571E9,10588000000.0,5.247E9,1.519E9,5.94E8,75.55448161590658,34.931640625,13.659904233870966,4.830951019630265,10.448979591836734,26.72053872053872,0.20315166114624109,1.865338371693576
2,2016-12-31,81.17706576728499,7.456998313659359,9.618887015177066,7.72681281618887,11.139966273187184,33.94940978077572,101.35581787521079,33.94940978077572,18.775716694772346,4.3155575E10,4.5187575E10,19.518577566711897,1.7929941002949854,15.131688288920058,18.837003491924925,4.287261573614147,4.287261573614147,1.877418048111679,12.033974700399467,15.844170757363253,19.723952422522917,0.0512332415916136,0.053086999767700926,1.98549572819392,0.6650472514308532,0.5411451398135819,1.661428349152015,13.96551724137931,1.289914066033469,0.019696180620927886,0.38444142921754865,0.11973908346836179,0.11973908346836179,0.0,5.0837789661319075,42.903743315508024,0.9180035650623886,0.006273629980472807,75.4726146255179,0.13714285714285715,0.07357247437774524,-49.62984822934233,4.251E9,-4.722E9,-9.308E9,10943000000.0,3.649E9,1.5195E9,6.265E8,31.102870912792387,37.570258007719914,16.28868422834699,11.735251097025841,9.715131578947368,22.408194233687404,0.21965030796741505,1.8920741989881955
3,2015-12-31,76.26968503937007,6.804461942257218,7.739501312335958,6.40748031496063,7.637795275590551,33.22834645669291,96.06627296587926,33.22834645669291,18.251312335958005,3.9087552E10,4.2089552E10,18.846457087753134,1.6814019873532071,16.569543026706235,20.01410752688172,3.859355450236967,3.859355450236967,1.810536929496279,12.018718446601941,17.8421161509114,21.551229902713775,0.05306037072876807,0.0499647560430492,1.8910939968404423,0.6541101738328609,0.8572244431753284,1.6016976820111002,12.931330472103005,1.1374156219864995,0.020390123177834212,0.38428158148505304,0.11442336645588679,0.11442336645588679,0.0,5.810344827586207,57.258620689655174,1.2044334975369457,0.006022282445046673,71.32512127256321,0.1301230835672641,0.07083091424473208,-28.541666666666668,3.686E9,-5.055E9,-9.341E9,11426000000.0,7.2475E9,1.4605E9,6.145E8,145.20239170645675,35.42119471170485,16.043123139752197,2.5137326989619377,10.30456490727532,22.751181102362203,0.2047788309636651,1.332020997375328
4,2014-12-31,73.16025641025641,7.1923076923076925,7.0,5.955128205128205,10.326923076923077,30.528846153846153,89.42307692307692,30.528846153846153,17.766025641025642,3.12156E10,3.33236E10,13.910695187165775,1.3675457811267853,14.292857142857143,16.80064585575888,3.2772283464566927,3.2772283464566927,1.4598966091299395,9.210503040353787,15.258058608058608,17.935199138858987,0.07188713335639872,0.05952152129063673,1.9291338582677164,0.6586021505376344,0.5826423438363737,1.7355817875210793,14.924882629107982,0.9732620320855615,0.0235459193480183,0.32754010695187163,0.1030403925348287,0.1030403925348287,0.0,6.699386503067485,70.01840490797547,1.3466257668711656,0.006483834224130377,70.28790250224914,0.14469731451979972,0.08043010752688172,-33.42067307692308,4.362E9,-3.536E9,-8.083E9,11006000000.0,4.638E9,1.3845E9,5.04E8,64.42587400332954,31.995091164095374,10.596774193548388,5.66542566393646,11.408,34.44444444444444,0.23559055118110236,1.044871794871795
5,2013-12-31,73.30241187384044,6.171923314780457,7.353123067408782,6.487322201607916,10.191713048855906,34.12183055040198,80.29375386518244,34.12183055040198,15.287569573283859,2.9717226E10,3.1155226E10,14.88838977955912,1.2535740318906607,12.49673086627418,14.164550047664441,2.6929973719981875,2.6929973719981875,1.3142337804775162,9.209348507242092,13.10144070647603,14.84996472831268,0.06716643067559536,0.07059878334539031,1.3531490711372904,0.5750375476566412,0.42506650901566656,1.689500860585198,13.99047619047619,1.191382765531062,0.023353458361153896,0.34769539078156314,0.09432211254534717,0.09432211254534717,0.0,8.492857142857142,84.66428571428571,1.5892857142857142,0.0054416603391546445,68.8363256873347,0.1457558168378231,0.07686679246736242,-23.541280148423006,4.006E9,-1.729E9,-5.116E9,8831000000.0,4.517E9,1.3485E9,4.785E8,58.30823420231165,28.117316243787602,8.664334292440492,6.259836282017428,12.98132427843803,42.1267217630854,0.18087902129587677,0.8658008658008658
6,2012-12-31,73.27130852340936,5.666266506602641,5.873349339735895,4.855942376950781,9.567827130852342,24.087635054021607,80.09003601440577,24.087635054021607,14.801920768307323,1.804278E10,1.958578E10,9.556557203389831,0.7390341607274514,9.219611650485437,11.151285537700865,2.248041365561924,2.248041365561924,0.8022356025231424,5.686927990708479,10.008063362289219,12.104932014833127,0.1046401940277496,0.08967575950047608,2.3249439322202843,0.6992430487896275,0.44802555168408825,1.5665875974246017,14.870646766169154,1.0365466101694916,0.03563752370754396,0.3405720338983051,0.06672401081346768,0.06672401081346768,0.0,5.772861356932153,72.01769911504425,1.3421828908554572,0.0049971327926599494,55.416212374377245,0.1438125481139338,0.07074870718728922,-35.300870348139256,3.344E9,-4.73E9,-9.414E9,9571000000.0,4.399E9,1.4335E9,4.875E8,53.08900630785615,31.31491853360489,8.850878309572302,6.8752464094621235,11.655786350148368,41.23884514435696,0.23523548467480687,1.017406962785114
7,2011-12-31,70.6767131077623,5.305658231447256,5.990901336366221,5.024168325277225,11.373329542223486,23.261302246232585,73.51151549616151,23.261302246232585,13.582598805800398,1.68816E10,1.74866E10,9.04694533762058,0.6791487307398318,8.012149976269578,9.553820033955857,2.0635130179684635,2.0635130179684635,0.7034879510801786,5.292554479418886,8.299288087327955,9.896208262591964,0.1105345464884845,0.10467017344327552,2.1602493582691604,0.6835692736133674,0.18311138014527845,1.5185970636215333,16.61046511627907,1.1291532690246517,0.03483082172305942,0.31511254019292606,0.06750613509273042,0.06750613509273042,0.0,6.197058823529412,73.10882352941177,1.3147058823529412,0.004103471859033672,52.69603110368366,0.14484891502737782,0.07217451844975632,-37.96204151265283,3.179E9,-4.363E9,-8.364E9,7785000000.0,2.668E9,1.513E9,4.65E8,1.3068753268696947,33.797542242703535,7.535483870967742,279.29213483146066,10.799601857996018,48.4375,0.2280894756142281,0.9667330110889963
8,2010-12-31,67.56909042125034,4.936946605849209,5.210625167695198,4.354708881137644,9.761202039173599,26.17118325731151,65.52723370002683,26.17118325731151,10.024148108398176,1.8441196E10,1.8413196E10,10.022389130434782,0.7322874955327006,9.495981462409885,11.36241281577326,1.8906290752511787,1.8906290752511787,0.7311756343565103,6.082985133795837,9.48156333676622,11.345160813308688,0.09977660884901393,0.0880094761749726,1.503793315562846,0.6006060109737122,-0.009250082590023126,1.4802013422818792,20.69047619047619,1.0554347826086956,0.029065359969060577,0.29130434782608694,0.06544097208434262,0.06544097208434262,0.0,6.087774294670846,78.9435736677116,1.316614420062696,0.005082793948298455,53.91779875836864,0.14120896977575562,0.07534190483989846,-28.76509256774886,2.862E9,-2.291E9,-5.846E9,6389000000.0,2.654E9,1.5285E9,4.785E8,0.8841281817098837,32.979085888849724,7.7837504406062745,412.8360655737705,11.067620286085825,46.892561983471076,0.18864055771990978,0.855916286557553
9,2009-12-31,64.92666035170673,5.049358457479705,7.110853641670385,6.207970940746366,6.8942661729516175,25.64343439878711,30.491862312997597,25.64343439878711,6.398463533715884,2.009206731E10,1.977906731E10,10.383497317829457,0.8075265186286725,7.373235710091743,8.445593656998739,2.044577929174723,2.044577929174723,0.7949466383987782,5.795214564898916,7.258373324770642,8.314025771332492,0.09630666521990663,0.11840493878974567,1.3908619110613616,0.5789808107764646,-0.09170817462642836,1.4245880861850444,24.479674796747968,1.4082687338501292,0.02354162927597718,0.24444444444444444,0.06137213134520317,0.06137213134520317,0.5050196975473377,-7.875722543352601,-71.91040462427746,-1.1618497109826589,0.004581809412804952,53.97559706115059,0.16650077416500775,0.16559691912708602,-19.53005738263177,2.345E9,-1.983E9,-5.8E9,5849000000.0,4.87E9,1.458E9,4.69E8,65.91153892528435,25.821896997012203,6.358434192535575,5.537725350545292,14.13528990694345,57.40406976744186,0.19690648214103998,-0.9028827009240196
