,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,15.15905448227766,3.308749220021289,4.606132162039812,1.5108585271554942,2.031859836296233,66.57427232574358,156.19541678391838,66.57427232574358,10.282676519887929,7.3092514172E9,7.6112074172E9,27.027856768009936,5.899338913554937,19.41507469911521,59.19045257557475,1.3432876827016997,1.3432876827016997,6.143049340150687,13.727614853051248,20.217140185883185,61.63569782406245,0.0369988641194664,0.016894616555316815,1.3461828620471339,0.5737757631016612,0.544609474339204,0.38052119540944135,0.7261766664518485,1.3921067617237477,0.04191756207469043,1.1329418638188986,0.08143697109350724,0.08143697109350724,0.0,1.4881179195686718,4.897484445779608,1.1226352446380432,0.0179177478520898,70.40060625949184,0.022073812273749424,0.021183395058247012,-87.22361836712221,-3.19013E8,,-7.129048E9,,,1.569825E8,,0.0,259.5933329356219,0.0,,1.4060453551421468,,0.04970011844563309,3.0952736348843186
1,2018-12-31,14.148121678789206,2.850183855313361,5.089587679964958,2.1564326305718535,1.4924555923138105,68.02670801009764,146.98463453713416,68.02670801009764,8.581616774059686,7.2985992924E9,7.7049362924E9,29.517674743389602,5.946428926048076,16.529983426983467,39.01387820202376,1.2367319022333394,1.2367319022333394,6.277486159596934,14.290179834080458,17.45026190874151,41.18590897010322,0.03387800728524347,0.025631904493620097,1.1606901000606453,0.5371849021884572,0.7536245054963397,0.5545314576910801,1.1849484111200035,1.785705041615776,0.04291645389083972,1.2667939270894841,0.07544451976222755,0.07544451976222755,0.0,1.735192171657628,4.823516466242238,1.1471940580051874,0.019879549483783503,66.04917910361316,0.019834546597852488,0.019391032704124532,-77.13536131315344,-1.27016E8,12751358000.0,-6.691724E9,18061165000.0,425813500.0,1.4706E8,0.0,0.0,1628.299711815562,0.0,2.8825,0.22416020671834624,0.0,0.04189801239375408,2.9331550493931045
2,2017-12-31,15.333850726887219,1.0284363555203864,5.5632285357762425,2.1620963569406824,1.2974201337107263,63.15339197126944,141.85616459201998,63.15339197126944,3.3501131164338394,8.6419758546E9,8.5872668546E9,85.2484449128968,5.717585332056874,15.75930225339322,40.549811630067566,1.3882484734926852,1.3882484734926852,5.68138951512862,11.340128379152878,15.659536218231022,40.29310648742493,0.011730419258929087,0.024661027013464665,1.246216080627229,0.5548068555716323,-0.07224732781685211,0.4031574011089811,0.6420198797875858,5.409404778345532,0.038595687561711924,3.2902223449799752,0.06649142922169302,0.06649142922169302,0.0,1.6356990094048376,4.508454808756372,1.7664808368605203,0.017267923409812813,38.22771241191215,0.012139053167387531,0.0072498531063361375,-77.11541934240294,-2.31637E8,13982904000.0,-7.601344E9,19630853000.0,478913500.0,1.42101E8,0.0,0.0,1506.329331046312,0.0,3.156,0.242310889443059,0.0,0.0162847366296375,3.40113217883556
3,2016-12-31,18.605390028447374,2.49434546089734,6.3354194739731495,2.223526476019364,2.7892698507760643,73.10949742975495,158.28504267105853,73.10949742975495,15.668163896790936,9.4608402345E9,1.04030502345E10,37.8591103278964,5.075609802084892,14.90567442107784,42.47023861351026,1.291674861952563,1.291674861952563,5.581092422347653,10.265624321705332,16.39013828984393,46.699871767879905,0.02641372159406377,0.02354590020320462,1.1650407708402308,0.5381149336915674,0.9297632592484412,0.8089133956109792,-0.013267751147784015,2.5399126036431157,0.033197791339365,1.2568388449595032,0.05351932235360768,0.05351932235360768,0.0,1.5407549459885908,4.5247748513169075,2.4711858235222723,0.01421688311200597,64.05550498516024,-2.997316110470246E-4,0.015758567068658445,-81.53674701801667,-8.6117E7,15857787000.0,-8.168759E9,22011618000.0,542362000.0,1.688215E8,0.0,0.0,2091.4222362526684,0.0,3.4368,0.17452238657172991,0.0,0.034117940193665756,4.1118929979537855
4,2015-12-31,16.737923398258594,2.8595701847098494,5.299552066032513,1.208334591574815,2.5708289294881475,73.35512607579646,199.88868085963057,73.35512607579646,13.711590920529469,8.074682124E9,8.854643124E9,28.423572337759257,4.855990678536398,15.336994332211425,67.26547478382567,1.108023451776441,1.108023451776441,5.325047328378324,13.305268864416025,16.818446760015497,73.76287569350727,0.035182066072375826,0.01486646757811119,1.7249449568539952,0.633020110191686,1.171994247925241,0.4720414654258452,0.23640374765159813,1.8532687514960364,0.0318746912940396,0.9059925937398797,0.05705517524652264,0.05705517524652264,0.0,1.2953484137958184,4.091183981970367,1.447286451695445,0.018161819405362788,68.70002152106315,0.00401955833710433,0.014305813477842442,-123.5083698223363,-3.36138E8,19727646000.0,-1.2269939E10,29555482000.0,508482500.0,1.716365E8,0.0,0.0,2181.2068282877503,0.0,3.2702,0.1673385555493265,0.0,0.03898255429014067,4.091217474457698
5,2014-12-31,15.870465888445716,5.409150708960678,5.120189195397498,1.2581076283751331,2.938260905882599,72.43483617683296,178.50968947731118,72.43483617683296,7.5774218472654375,9.9329513976E9,1.00573643976E10,19.17350903686088,6.534931030317544,20.255579636242025,82.43523658937374,1.4318027826667554,1.4318027826667554,6.616782872910003,17.4921636791173,20.5092864478844,83.46776103042475,0.052155293956756166,0.01213073488199225,1.4644176600540781,0.5942246250669797,0.2163839823015006,0.8416173507932511,0.5469337101201008,0.9465791343020832,0.020837109909750396,0.3995205151566626,0.06084824911939515,0.06084824911939515,0.0,1.3257589480030387,4.109303652196481,1.0814140534811982,0.020658193737014614,93.89220560214649,0.01046719214308794,0.030301720454497732,-102.72490446258901,-6.0378E7,17096587000.0,-9.838375E9,24865611000.0,449739500.0,1.60153E8,0.0,0.0,1957.309251864921,0.0,3.3797,0.18648049594218624,0.0,0.0746760950180861,3.862081567022365
6,2013-12-31,15.921674668631935,1.4671341403938485,4.185620305844867,2.0552081414126087,2.2401023095514203,70.72153160866597,162.1238010599443,70.72153160866597,6.502151318427641,6.981441616E9,7.042420616E9,51.572653049766934,4.752263915369991,18.07712942675225,36.815735825177185,1.0698863313464835,1.0698863313464835,4.793772291037161,14.285698147960321,18.235023073357794,37.13730075092811,0.019390121331066934,0.02716229833755298,1.2924249146221576,0.5637806963178892,0.12369718238432359,0.522613890342169,0.40740528957854316,2.8529227087042277,0.021257357457503085,1.0962983209106825,0.05867085251487839,0.05867085251487839,0.0,1.9646997776884687,7.473518474240859,1.8191849255485295,0.018583096733527243,48.31722677669293,0.009334527636534645,0.009049467942411396,-88.81482404707974,-2.1808E8,14959001000.0,-8.194855E9,21577837000.0,429782000.0,1.464745E8,0.0,0.0,1333.704478284827,0.0,3.1901,0.27367382050737205,0.0,0.020745225775258395,2.130412164432258
7,2012-12-31,15.677011610071766,2.1989162440242276,3.960445146049553,2.301805886765414,2.1270278440197496,71.87498740469553,161.08279313471937,71.87498740469553,4.922871953335797,5.694229160400001E9,5.611763160400001E9,28.992282072248674,4.0665658472206845,16.0970794062356,27.696340671708946,0.8869789380420144,0.8869789380420144,4.007672288547443,10.241490299008658,15.863955358551266,27.295231695323334,0.03449193814781476,0.03610585282197488,1.2411522972203817,0.5538009615677332,-0.1505007811017184,0.407441026827012,0.5912465230532108,1.80108958529569,0.02129138055123223,0.6172857106489142,0.059160652881082375,0.059160652881082375,0.0,2.3877676377676376,9.451730701730702,2.372890622890623,0.0036421937432824735,59.63270277475682,0.014161567838888722,0.013650845017227846,-86.84086252645014,-3.07467E8,14386296000.0,-7.756539E9,20618179000.0,361107500.0,1.53329E8,0.0,0.0,1538.4056937622142,0.0,3.5725,0.23725861226331157,0.0,0.030593622669359586,1.6586392592841388
8,2011-12-31,15.083546238150952,7.729161194813877,3.735106611589981,1.8356772760917839,1.6498173396050715,71.33959313292424,160.978152384136,71.33959313292424,7.8201690504047185,4.769492042E9,4.998412042E9,7.3670348650777715,3.775040637060442,15.244812510388035,31.019068951612905,0.798168275138661,0.798168275138661,3.956230226020003,12.047530657449789,15.976513590743464,32.50788268730489,0.1357398218298568,0.032238233892832646,1.2565050530102098,0.5568368000479388,0.5517593777642803,0.3164400183460317,0.4257417833364013,0.4832486368761681,0.013390524491412916,0.09864846078991675,0.06340131768490172,0.06340131768490172,0.0,1.9664362036455059,7.941093651791326,1.8372784412319296,0.0037200378652364834,111.3839859907078,0.0094531406706455,0.048013727827923354,-87.6864210501182,-3.53218E8,13483852000.0,-7.34479E9,19311585000.0,276374000.0,1.44744E8,0.0,0.0,1579.2162580880342,0.0,4.5115,0.23112730642851126,0.0,0.10834321945756598,1.8994293354981973
9,2010-12-31,14.100280406140767,3.8485422721860156,4.110805239369534,2.726123865251405,4.2615331429815235,62.471466434488676,144.68821141854778,62.471466434488676,8.540786929744817,4.3574344223E9,4.6916484223E9,14.496995499625717,3.95682202005728,13.572109781721682,20.46579787190073,0.8930845261733554,0.8930845261733554,4.260309160986737,13.344582900189717,14.613086801450207,22.03551883774124,0.06897981033558423,0.04886200900933292,1.3160687538890496,0.5682338884280356,0.9506139480113887,0.8008583072661429,2.3032,1.0681460533976546,0.01353640566525526,0.19623721201031358,0.06896370111673504,0.06896370111673504,0.0,2.9687734060751767,10.18305053400527,2.223357529243146,0.0,73.54958725933163,0.010249965343695084,0.026598865480845012,-77.51921230201918,-9.1229E7,11300294000.0,-6.054328E9,16097848000.0,216350000.0,1.402245E8,0.0,0.0,1560.930556891411,0.0,5.0122,0.23383487394013,0.0,0.06160480122908316,1.3846813741181292
