,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2020-02-01,127.90573997233749,12.205134854771785,19.04033540802213,13.878959197787,6.782935684647303,32.885442600276626,83.84528008298756,32.885442600276626,33.51222337482711,1.50956616E10,1.66416836E10,21.38362280347619,2.0404870028228994,13.707216517311924,18.804724207389764,7.93633837234122,7.93633837234122,2.2494634545127186,13.906393369059566,15.111040930978405,20.730609809419764,0.04676476054550666,0.05317812635651557,1.5571144223156164,0.6089341989262875,1.291911960711728,1.80725180939116,,1.5600266309698347,,0.0,0.23799673103842786,0.23799673103842786,0.0029320261717413615,3.689003597580175,24.781324740230595,0.9901686240093256,0.003466040052619143,95.0308023124226,0.24179985514989355,0.14556734550461883,-31.338217496542185,9.18056E8,1.887833E9,-9.06461E8,,1.054665E8,4.090125E8,1.254015E9,0.0,32.03586111014533,100.10609806563657,65.44183001910693,11.39348178421242,3.6461315249814295,0.37114096359065324,5.161376210235131
1,2019-02-02,112.1978985700922,11.000918749164773,15.971652412134171,10.636225444340505,6.836345716958439,30.405886676466658,53.053337565147665,30.405886676466658,7.266136576239476,1.8647636E10,1.8673365E10,28.31581680608723,2.776344334162372,19.503304477334076,29.28670529127868,10.244726730534474,10.244726730534474,2.7801749839763037,16.473320147642102,19.53021408243884,29.327113503903558,0.03531595104065738,0.03414518601714448,0.7531812123602777,0.4296083069167065,0.02269767950654227,2.3246052133207726,0.0,1.451847138980714,0.0,0.0,0.22860682054874368,0.22860682054874368,0.004759066574913543,2.9935097056981843,21.028850970569817,0.8749906073888541,0.004092686569053013,86.75301434845208,0.3607616003135882,0.20735582819188378,-5.922399104637178,1.091125E9,1.805031E9,5.43907E8,1942998000.0,9.7885E7,4.04016E8,1.214329E9,0.0,34.236227579943275,102.90197418152978,68.61740818307197,10.6612213377688,3.5470650869739586,0.36180226764046947,5.335426967793666
2,2018-02-03,95.59597764637078,9.019981805185521,12.661089089609462,5.5015270647865355,4.507196698940802,28.822811748651635,47.25269673143154,28.822811748651635,6.626746377282474,1.218070128E10,1.231117228E10,21.93795999524525,2.069961570266051,15.628987253742144,35.96819531554516,6.865395427954979,6.865395427954979,2.092133524887221,11.860428553261837,15.79639383806838,36.353461016028255,0.04558308977756985,0.027802340129303296,0.6394200934834916,0.3900282154800431,0.12569412063922683,2.6375469894077233,0.0,1.4036712449165578,0.0,0.0,0.21874937335436484,0.21874937335436484,0.0,1.7684167056186098,13.352210276959662,0.5734172274990129,0.004146312366747523,76.48253293929483,0.34647417782583967,0.19088819113228753,-3.0673370589382025,1.051577E9,2908687000.0,5.59273E8,1989076000.0,8.80615E7,3.64887E8,1.1553765E9,0.0,31.391547423143933,105.6564873061388,75.21288887752755,11.627333787658323,3.454591471912326,0.3129459361509894,7.159562024822925
3,2017-01-28,77.65218573553639,6.554167533069947,10.151873830355571,4.17373918328828,6.158287880484333,24.795950031190518,40.817639437610964,24.795950031190518,5.857275388281963,1.723586311E10,1.721704411E10,42.06331293928153,3.550318608402474,27.156562877647968,66.05348055860013,11.118347942031379,11.118347942031379,3.5464421883203974,19.901359362122438,27.126911948446867,65.98135997823238,0.023773686144110948,0.015139247645138671,0.646141381405712,0.39251876461178786,-0.0217530767443554,2.902157958072554,0.0,1.5489188793440063,0.0,0.0,0.2211930327018745,0.2211930327018745,0.0,1.6981674769295807,12.989367138732886,0.5626667237462776,0.003983737945021533,60.47006068738651,0.3237639892511131,0.1605719395676439,-2.313896575441066,1.006894E9,2551878000.0,5.34577E8,1637525000.0,6.05355E7,3.31767E8,1.079152E9,0.0,30.48232538741654,110.87690683338548,209.3822565341154,11.974152081936513,3.2919388754998806,0.26432411441487585,5.978134647067291
4,2016-01-30,61.36321130901187,5.004112652269778,5.877715054183803,1.1995027287369622,5.408059547451876,22.563073699354174,34.88589344634005,22.563073699354174,5.031962970492111,1.056373531E10,1.053968431E10,33.010847572560685,2.692003832200679,28.10445870158617,137.71540159307494,7.321254284815294,7.321254284815294,2.6858748084918997,15.699332847741701,28.040471833646382,137.40185784869698,0.030293072536290197,0.00726135195070502,0.5461498690818263,0.35323216720650424,-0.035825044016051334,3.470669590916318,0.0,1.1745768855778607,0.0,0.0,0.22001235437484518,0.22001235437484518,0.0,1.2564019427276405,13.116807669295076,0.551695207024839,0.003973888641416309,50.40271478693641,0.2759576408234411,0.14344229595171135,-0.9585059969663325,9.78946E8,2230918000.0,5.87141E8,1488851000.0,7.24085E7,3.00095E8,9.88061E8,0.0,28.1927668623658,109.47960711604101,83.61280150004262,12.946583135379816,3.333954236912127,0.2217832871065351,4.67821232544684
5,2015-01-31,50.38266884277609,3.996813554053004,6.164482785420067,2.2930753089298204,6.0487914820859565,19.390829253128157,30.82567809124116,19.390829253128157,4.571803839278775,9.2397927E9,9.1447707E9,35.9336251385459,2.8505834108982966,23.297980544236896,62.632046771733606,7.406594020564181,7.406594020564181,2.821268019778063,16.866700296396576,23.058384183241216,61.98793899339095,0.02782908755084949,0.015966267295152627,0.5897039620555844,0.3709520615983501,-0.17525946228090722,3.5049389033187426,0.0,1.5423493495634588,0.0,0.0,0.21966212424441647,0.21966212424441647,0.0,1.5923105027964364,13.014044413752123,0.5290303412334834,0.004603918899699479,41.758644693316825,0.2527845940073024,0.12965857692482238,-0.8688505479132665,9.00761E8,1983170000.0,5.24694E8,1234427000.0,6.8757E7,2.97397E8,8.97779E8,0.0,33.08684099740471,100.80319274801361,81.79285371823664,11.031575967878895,3.6209170567882882,0.2061187534518789,3.8714074764902464
6,2014-02-01,41.73291973996749,3.169911863982998,5.121343292911614,1.5892767845980749,6.555131891486436,15.675303162895363,25.045740092511565,15.675303162895363,4.088479809976247,5.65817264E9,5.50032664E9,27.893520007493258,2.1187110930875135,17.26500157143947,55.635368777101505,5.64072025154173,5.64072025154173,2.0596054255023173,12.677331833655625,16.78335995117858,54.0833093086597,0.03585062049290882,0.017974177613640292,0.5977834579810067,0.3741329621326651,-0.36380859748634964,3.7580796893681296,0.0,1.6156106266237447,0.0,0.0,0.2233191154108126,0.2233191154108126,0.0,1.4499566417725551,11.815439953279299,0.47022882525749476,0.005992346960745878,33.436655230761716,0.2452160165758925,0.1265649109299338,0.7627437804725591,7.35886E8,1602727000.0,4.03064E8,916440000.0,5.60065E7,2.76149E8,8.36131E8,0.0,31.297141948448093,96.65363364318448,189.02696772366932,11.662406765487383,3.7763712158765586,0.20222332104468774,3.532066508313539
7,2013-02-02,35.10286166007905,2.7280474308300393,3.7786719367588932,0.797201581027668,5.066798418972332,12.441770750988143,20.1620395256917,12.441770750988143,3.291509881422925,5.6792175E9,5.5667455E9,32.91365061518758,2.5579111147543347,23.762316894071574,112.63148761477898,7.216818393223389,7.216818393223389,2.507253893244743,15.118357409202876,23.29172472081707,110.40091823175932,0.030382530691948312,0.00887851187245426,0.6205120580678118,0.3829111020671257,-0.3054552960123407,3.5705193448140156,1513.3945945945945,1.3851195892181352,0.011001867774917936,0.36211163205814,0.22019082484182004,0.22019082484182004,0.0,1.2673853789943683,11.77367455376555,0.46788596761021967,0.006024080106077858,27.634926569012528,0.2655879155591729,0.13530612452940563,0.20127272727272727,5.68257E8,1275249000.0,3.01017E8,733707000.0,33834000.0,2.61451E8,7.87727E8,0.0,30.2059958985982,91.7529420527335,65.622,12.083693622461855,3.978074074074074,0.21926520633032676,2.981470355731225
8,2012-01-28,28.994123312492857,1.9632054065525066,3.6057885371945346,1.5059174978370524,4.142052596353189,9.54478525604401,15.625736626454888,9.54478525604401,2.677973848740593,5.0773051934E9,4.9870301934E9,42.21799701822656,2.8585999689215615,22.985984659124348,55.03794206458466,8.683547903554619,8.683547903554619,2.807773772274992,18.326180495064786,22.577291526436593,54.05936188659201,0.023686580857170344,0.018169283997329387,0.6370967190236427,0.3891625409912277,-0.33173970881135945,3.5196506020442206,334.23339011925043,1.8366842945519857,0.0,0.0,0.2312066935750395,0.2312066935750395,0.0,1.717147610311266,13.807573307627726,0.5902779937187101,0.0065337913274265535,20.533227107023038,0.2476077853304424,0.12563922287213872,0.05792618227525751,4.15377E8,957217000.0,2.07719E8,538624000.0,24222500.0,2.45229E8,7.29488E8,0.0,27.215587534319955,77.02519427487533,73.3265,13.411431942805581,4.738709242296043,0.2056835595446585,2.099871039357482
9,2011-01-29,24.46914254798761,1.1946644198072636,2.9693036838805256,1.3359116645987799,1.870037498469247,6.770264013772733,12.286189253782464,6.770264013772733,0.012698460325981754,2.4536432134414E9,2.3424582134414E9,34.54375916431649,1.6865405037821393,13.89827528387645,30.891413776519617,6.0955082277512656,6.0955082277512656,1.6101161871228276,12.743217350894353,13.268485374335997,29.49159255478421,0.02894878913563624,0.03237145464543595,0.8147282334616044,0.44895330244986914,-0.6048580132738549,2.475492326622061,157.46225165562913,2.4854709277769955,0.0,-0.0,0.24614836840940366,0.24614836840940366,0.0,-1.8178757143592648,-14.980569427997734,-0.6686505689131442,3.539913034990837E-4,13.49015768714382,0.2096235261341736,0.09723636801699685,-1.5270613355984919,2.41032E8,730488000.0,7.6434E7,455946000.0,6.00885E7,2.455545E8,7.164225E8,5.5927739033486885,32.74668736537513,82.1613118888121,65.26278485555356,11.146165593101626,4.442480184517381,0.17645758235970715,-1.6333920192817457
