,date,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share
0,2019-12-31,6.766295088351264,0.7012987227287616,3.0469366859262546,1.3068907962380687,0.23844156572777894,11.02524097861699,31.419007835569378,11.02524097861699,19.367395549805824,2.4637076099000004E10,4.6636076099E10,28.984795410588237,3.0041551151079138,6.671290576496075,15.553709658459598,1.8436785227119659,1.8436785227119659,5.68663286172418,12.829732076753782,12.628236149201191,29.44196723421717,0.034500847283355215,0.0642933436433349,2.445334131557285,0.7097523892267593,6.051994497936726,0.39818548387096775,1.6197301854974704,4.344705882352941,0.07476536552463565,2.1670588235294117,0.06804048286794294,0.06804048286794294,0.17287141615986099,1.7510668563300142,3.8885727833096255,0.8127074442863916,0.0069503719058651384,13.189758028933669,0.04565982125879445,0.022320842414852552,-26.6703904253748,-2.388E9,5.404E9,-3.1097E10,,,6.07E8,1.275E8,0.0,102.74349821519633,23.26619071902091,,3.552536231884058,15.688,0.0636084711516875,1.740045889688186
1,2018-12-31,8.92129010523548,-0.1591987066902486,3.3822022008450885,0.038002271919607734,0.17255085628362432,15.05711638760674,38.55176422979666,15.05711638760674,24.16328241028896,2.36865680532E10,4.59325680532E10,-152.8165680851613,2.7269822764448537,7.193005785970239,640.1775149513513,1.6157276980354707,1.6157276980354707,5.288115133916647,18.42461614649017,13.948547844883084,1241.4207581945946,-0.0065437930751246955,0.001562066734062024,2.0901773533424284,0.6763939781908084,8.923385479342159,0.8083931529541689,0.6906474820143885,-21.24516129032258,0.058514175497566635,-8.941935483870967,0.06550771356205388,0.06550771356205388,0.17144938413315086,1.0113636363636365,2.6676904176904177,0.5297911547911548,0.006332028551692378,7.34398752356713,0.01765882596399255,-0.004129479152790729,-31.232732075766258,-3.47E8,6.893E9,-2.9178E10,57970000000.0,984000000.0,6.62E8,1.3E8,0.0,89.26117473217585,17.528629479128185,8.8272,4.089123867069486,20.823076923076922,-0.010572987721691678,3.3441999289254807
2,2017-12-31,9.720677288280841,2.631397388211001,3.0937680424412686,0.1900319180998745,1.0881445501387716,11.687568160333681,45.46362341241647,11.687568160333681,26.650463520528895,2.22676182102E10,4.23036182102E10,10.242694668905244,2.7727080326484868,8.711900708215962,141.831963122293,2.3060913639395197,2.3060913639395197,5.267540556618105,16.024097806893938,16.550711349843503,269.44979751719745,0.09763055839551661,0.007050596903448071,3.8003314001657,0.7916810493614084,7.58939393939394,0.8235071806500378,0.8347183748845799,1.1757129714811407,0.04454899444726425,0.4563017479300828,0.07570663678246793,0.07570663678246793,0.18965740421125302,1.0654439349729055,3.3476448520216757,0.7236348478532721,0.009712364587224505,26.305499756931102,0.02068365899418844,0.05787918319533559,-43.26010043852588,-4.67E8,8.65E8,-3.4517E10,54951000000.0,957000000.0,8.2E8,1.215E8,0.0,225.21766561514195,26.022082018927446,8.3918,1.6206543967280163,14.026548672566372,0.2251449875724938,2.903736124341394
3,2016-12-31,9.989702573557327,-0.5648264956911998,4.880953491067349,2.148738531957324,0.22646345346109426,6.185116555410945,49.518232306210564,6.185116555410945,32.754608198243446,1.73599136634E10,4.05989136634E10,-40.943192602358494,2.314963816962262,4.737967702893013,10.762500721264725,3.738943283092828,3.738943283092828,5.413910343165756,16.483521584815268,11.080489536954149,25.169816282331062,-0.02442408460209808,0.09291520863958537,9.087228085289683,0.9008647379096829,9.435241575314658,0.49576127500847744,0.5937234944868532,-8.641509433962264,0.07263861010199452,-2.974056603773585,0.09641285504733965,0.09641285504733965,0.2063200597843493,1.7864456362749879,3.6562652364700146,0.8595806923451975,0.009734631284171224,8.865898062930441,0.015950416989472724,-0.011406434951038416,-55.88718390031345,-1.487E9,-5.02E9,-4.073E10,57555000000.0,989500000.0,6.425E8,1.34E8,0.0,143.92088607594937,31.879746835443036,7.5786,2.536115569823435,11.44927536231884,-0.09132026706870558,2.732214959110025
4,2015-12-31,9.8228811738343,-0.7620740693287209,3.5741407314576437,-0.6526343605985018,0.13346305942709646,8.205308893577891,52.05459706835044,8.205308893577891,33.40847303579079,1.09653563037E10,3.48533563037E10,-19.20377636374781,1.4898581934375,4.094606536109037,-22.424041520858896,1.783564785897853,1.783564785897853,4.735510367350543,17.746108097606925,13.014696155227782,-71.27475726728015,-0.052073091305508204,-0.04459499413028636,6.973324658425504,0.8745818033455732,12.162932790224033,0.6115338406087305,0.2164750957854406,-4.690017513134851,0.16743641967935735,-3.2154115586690017,0.10067934782608695,0.10067934782608695,0.2043451652386781,0.84559520050521,2.323965898326492,0.5487843384906852,0.011141304347826087,11.861437333608903,0.004857812264901232,-0.014639899494910649,-55.89966781044509,-9.7E8,-3.869E9,-4.1345E10,60893000000.0,1006500000.0,7.03E8,1.285E8,51.278532608695656,164.08459214501508,28.009063444108758,7.117988394584139,2.224462365591398,13.031496062992126,-0.09287573194534808,4.226775092056145
5,2014-12-31,10.616897786118932,2.938866298265735,2.940256490459806,-2.6636082438397106,0.33364612657699927,12.201716887359677,54.20359364682167,12.201716887359677,29.043895318527788,2.24798413725E10,4.31318413725E10,10.633794405156102,2.943543455872725,10.62876660638298,-11.732693826983299,2.561221530420417,2.561221530420417,5.647746677032866,15.712874816939891,20.393305613475178,-22.511399463726512,0.0940398094884288,-0.0852319181550755,4.760852227412555,0.8264145719201788,7.523497267759563,0.7362680171406311,4.7872,1.000473036896878,0.0628118311247216,0.6679280983916746,0.08655231111693074,0.08655231111693074,0.22888277989834463,0.5246837013148102,1.8945671049367403,0.2917390225750434,0.006939897865654052,28.40479408793396,0.03269022418534878,0.05421903052064632,-56.257602613561325,-6.77E8,-2.796E9,-3.9896E10,57657000000.0,786000000.0,7.635E8,1.805E8,46.45541442974991,211.61193029490616,56.511394101876675,7.856995884773663,1.7248554913294798,6.458874458874459,0.2408567847783981,5.603864734299517
6,2013-12-31,10.044688614652946,0.6296233388193537,3.246220795726761,-1.984045637442382,0.9971476598511161,7.122064930272876,36.38930050311298,7.122064930272876,16.62498462547661,1.87599669068E10,2.94329669068E10,43.627830015813956,2.734689053469388,8.461870503743798,-13.844994027158672,3.8569010910361845,3.8569010910361845,4.290519957259475,13.439710916347032,13.276033787460532,-21.721746794686347,0.022921149175595623,-0.0722282724021676,4.580180921052632,0.8207943408739223,4.87351598173516,0.848714069591528,2.3601,5.155813953488372,0.052345508117290475,2.2837209302325583,0.07463556851311953,0.07463556851311953,0.08437108540269693,0.6206606942889138,1.9204927211646137,0.22816349384098544,0.005393586005830904,10.044645925339992,0.05465241066815056,0.017302430387896348,-30.674370523085212,-3.0E8,2.574E9,-2.0595E10,33767000000.0,610000000.0,8.11E8,1.62E8,31.924198250728864,319.41659070191434,64.54876937101186,11.433333333333334,1.1427083333333334,5.654639175257732,0.0884046052631579,5.2302664331691435
7,2012-12-31,12.078245604977154,1.3859488344476856,2.96067067661409,-1.11973049022898,1.3536799442393577,7.667088313498722,35.45382967188993,7.667088313498722,17.321940263830445,1.4281247264000002E10,2.4178247264E10,16.62543336903376,1.9077273930002674,7.78269605667575,-20.578166086455333,3.005312976430977,3.005312976430977,3.2297952530056104,10.210408472972974,13.176156547138964,-34.83897300288184,0.060148808022206644,-0.04859519530548476,4.119318181818182,0.804661487236404,4.179476351351352,1.2420916720464816,3.1461,2.136204889406286,0.05195624627762204,0.8637951105937136,0.0762757146673791,0.0762757146673791,0.0967238048259136,0.7255832344800316,2.9600632661130883,0.298932384341637,0.004808976756612343,15.462513460407175,0.07077004126789006,0.03909165377264039,-29.004085241500373,3.75E8,2.399E9,-1.7651E10,30322000000.0,628500000.0,7.91E8,1.525E8,33.545284531124764,96.05263157894737,18.270881006864986,10.880813953488373,3.8,19.97714285714286,0.18076599326599327,4.08040116684307
8,2011-12-31,13.473722842292878,0.6388549544391074,5.843144117861943,1.0925099353838992,1.5104841874903365,2.2020106940241577,28.038256537644017,2.2020106940241577,14.81939604419653,1.06694064946E10,1.85024064946E10,28.376081102659573,1.3454484860781841,3.1024735372492,16.59316717667185,8.232566739660493,8.232566739660493,2.333216455813367,5.315256103016374,5.380170542192498,28.77512674121306,0.03524094804995021,0.06026577020244145,11.733024691358025,0.9214640649618228,2.2502154553289286,1.1307462686567165,1.8361,9.14627659574468,0.042832748028795865,1.2154255319148937,0.040983606557377046,0.040983606557377046,0.0,1.2299713876967096,2.836194563662375,0.5772532188841202,0.006557377049180328,5.626030788763752,0.12591893167869428,0.022785116955520542,-23.30248932551529,2.19E8,16458000000.0,-1.3312E10,22616000000.0,567000000.0,6.765E8,1.495E8,29.31967213114754,31.8052,-12.5274,12.448979591836734,0.0,0.0,0.29012345679012347,4.750634182478044
9,2010-12-31,16.450204601130437,-1.876650836880209,4.535096963144425,-0.2343675156359058,1.3600158754054388,12.467667547113003,42.71989489386744,12.467667547113003,16.662332863457827,7.7467169248E9,1.60597169248E10,-7.061729193072015,0.8056070013311148,2.922186693625047,-56.545379013138685,1.062941400219539,1.062941400219539,1.670103673544093,10.354427417666022,6.057984505771406,-117.224211129927,-0.14160837560594375,-0.01768491108296654,2.4264544456641053,0.7081531315072882,5.359767891682785,0.9829059829059829,0.06962025316455696,-2.416590701914312,0.03666069158804743,-0.25888787602552416,0.05178868552412646,0.05178868552412646,0.0,0.9508608321377331,3.4490674318507892,0.5405308464849354,0.004991680532445923,22.94434182026718,0.0019644611125993394,-0.04392920070478937,-26.846627844913712,-4.4E7,7.28E9,-1.5154E10,30748000000.0,656500000.0,7.9E8,2.165E8,32.60555324459234,23.7541,-19.885,11.19441210710128,0.0,0.0,-0.15052140504939626,4.769464478780331
10,2009-12-31,9.051151248818789,0.4887415888430002,4.410678478962093,0.31725331205598256,3.2016861276136184,14.485614740199376,41.6184898934413,14.485614740199376,15.317332882616412,5.881626539712E9,1.2290626539712E10,20.63728610425263,1.114366528933687,2.2867910341026434,31.792575890335133,0.6962976843508938,0.6962976843508938,2.3286522432194015,4.70184641917062,4.7786261818475895,66.43581913357838,0.048455983744584256,0.03145388418508101,1.9250621522434,0.6432357594936708,2.451798010711553,1.531287848203472,1.7454268292682926,9.024561403508772,0.04352537487232831,0.8982456140350877,0.06252368321333839,0.06252368321333839,0.039992088607594935,-1.077503142019271,-2.2111436950146626,-0.6154168412232929,0.0081470253884047,12.621162909121493,0.050212691312546597,0.011743376323705139,-22.32948852043756,1.316E9,8.008E9,-1.2468E10,28201000000.0,850000000.0,7.98E8,1.76E8,56.4304660856385,91.83997844827586,21.829202586206897,6.4681372549019605,3.9743040685224837,16.72072072072072,0.03373978927429857,-4.09342516690611
